,symbol,date,rate
9840,Food price inflation,Jan 1 2001,-0.88632
9841,Food price inflation,Jan 1 2002,-2.468896
9842,Food price inflation,Jan 1 2003,-1.375324
9843,Food price inflation,Jan 1 2004,0.141471
9844,Food price inflation,Jan 1 2005,3.572149
9845,Food price inflation,Jan 1 2006,3.780203
9846,Food price inflation,Jan 1 2007,4.280886
9847,Food price inflation,Jan 1 2008,14.404033
9848,Food price inflation,Jan 1 2009,12.259994
9849,Food price inflation,Jan 1 2010,3.602972
9850,Food price inflation,Jan 1 2011,6.129905
9851,Food price inflation,Jan 1 2012,10.212929
9852,Food price inflation,Jan 1 2013,6.536326
9853,Food price inflation,Jan 1 2014,6.721685
9854,Food price inflation,Jan 1 2015,5.42328
9855,Food price inflation,Jan 1 2016,4.169482
9856,Food price inflation,Jan 1 2017,1.686278
9857,Food price inflation,Jan 1 2018,2.259681
9858,Food price inflation,Jan 1 2019,3.132017
9859,Food price inflation,Jan 1 2020,5.378482
9860,Food price inflation,Jan 1 2021,-0.062461
9861,Food price inflation,Feb 1 2001,-1.894374
9862,Food price inflation,Feb 1 2002,-1.228789
9863,Food price inflation,Feb 1 2003,-2.369668
9864,Food price inflation,Feb 1 2004,1.597896
9865,Food price inflation,Feb 1 2005,3.444157
9866,Food price inflation,Feb 1 2006,3.194765
9867,Food price inflation,Feb 1 2007,5.688176
9868,Food price inflation,Feb 1 2008,17.434269
9869,Food price inflation,Feb 1 2009,7.693464
9870,Food price inflation,Feb 1 2010,4.827682
9871,Food price inflation,Feb 1 2011,5.976308
9872,Food price inflation,Feb 1 2012,9.143431
9873,Food price inflation,Feb 1 2013,7.422325
9874,Food price inflation,Feb 1 2014,6.738082
9875,Food price inflation,Feb 1 2015,4.817342
9876,Food price inflation,Feb 1 2016,5.266182
9877,Food price inflation,Feb 1 2017,0.136438
9878,Food price inflation,Feb 1 2018,3.151967
9879,Food price inflation,Feb 1 2019,2.508448
9880,Food price inflation,Feb 1 2020,6.086727
9881,Food price inflation,Feb 1 2021,-1.233806
9882,Food price inflation,Mar 1 2001,-2.18768
9883,Food price inflation,Mar 1 2002,-1.530312
9884,Food price inflation,Mar 1 2003,-1.275154
9885,Food price inflation,Mar 1 2004,0.645812
9886,Food price inflation,Mar 1 2005,4.912773
9887,Food price inflation,Mar 1 2006,2.274465
9888,Food price inflation,Mar 1 2007,6.540833
9889,Food price inflation,Mar 1 2008,16.330468
9890,Food price inflation,Mar 1 2009,9.499397
9891,Food price inflation,Mar 1 2010,4.117323
9892,Food price inflation,Mar 1 2011,6.890623
9893,Food price inflation,Mar 1 2012,9.490225
9894,Food price inflation,Mar 1 2013,6.204091
9895,Food price inflation,Mar 1 2014,6.501383
9896,Food price inflation,Mar 1 2015,5.485063
9897,Food price inflation,Mar 1 2016,3.788596
9898,Food price inflation,Mar 1 2017,0.36503
9899,Food price inflation,Mar 1 2018,3.027823
9900,Food price inflation,Mar 1 2019,3.022963
9901,Food price inflation,Mar 1 2020,5.398233
9902,Food price inflation,Mar 1 2021,-0.866873
9903,Food price inflation,Apr 1 2001,-1.844026
9904,Food price inflation,Apr 1 2002,-2.446184
9905,Food price inflation,Apr 1 2003,-1.12337
9906,Food price inflation,Apr 1 2004,1.27815
9907,Food price inflation,Apr 1 2005,3.605769
9908,Food price inflation,Apr 1 2006,4.389018
9909,Food price inflation,Apr 1 2007,6.001111
9910,Food price inflation,Apr 1 2008,18.609121
9911,Food price inflation,Apr 1 2009,6.703005
9912,Food price inflation,Apr 1 2010,5.039348
9913,Food price inflation,Apr 1 2011,6.519453
9914,Food price inflation,Apr 1 2012,9.52616
9915,Food price inflation,Apr 1 2013,7.368184
9916,Food price inflation,Apr 1 2014,5.750262
9917,Food price inflation,Apr 1 2015,4.723159
9918,Food price inflation,Apr 1 2016,3.591056
9919,Food price inflation,Apr 1 2017,0.695143
9920,Food price inflation,Apr 1 2018,2.870379
9921,Food price inflation,Apr 1 2019,3.205554
9922,Food price inflation,Apr 1 2020,5.332685
9923,Food price inflation,Apr 1 2021,-0.680693
9924,Food price inflation,May 1 2001,-1.446201
9925,Food price inflation,May 1 2002,-3.463119
9926,Food price inflation,May 1 2003,-0.08107
9927,Food price inflation,May 1 2004,0.588235
9928,Food price inflation,May 1 2005,5.162331
9929,Food price inflation,May 1 2006,3.988495
9930,Food price inflation,May 1 2007,5.992993
9931,Food price inflation,May 1 2008,18.597773
9932,Food price inflation,May 1 2009,6.557137
9933,Food price inflation,May 1 2010,4.942181
9934,Food price inflation,May 1 2011,6.808343
9935,Food price inflation,May 1 2012,9.899288
9936,Food price inflation,May 1 2013,5.990165
9937,Food price inflation,May 1 2014,6.03121
9938,Food price inflation,May 1 2015,5.161098
9939,Food price inflation,May 1 2016,3.101655
9940,Food price inflation,May 1 2017,1.623406
9941,Food price inflation,May 1 2018,2.476561
9942,Food price inflation,May 1 2019,3.01284
9943,Food price inflation,May 1 2020,4.86566
9944,Food price inflation,May 1 2021,-0.186335
9945,Food price inflation,Jun 1 2001,-0.597763
9946,Food price inflation,Jun 1 2002,-3.608147
9947,Food price inflation,Jun 1 2003,-1.026363
9948,Food price inflation,Jun 1 2004,1.504677
9949,Food price inflation,Jun 1 2005,5.56891
9950,Food price inflation,Jun 1 2006,4.59203
9951,Food price inflation,Jun 1 2007,6.730769
9952,Food price inflation,Jun 1 2008,18.171001
9953,Food price inflation,Jun 1 2009,5.09206
9954,Food price inflation,Jun 1 2010,4.489461
9955,Food price inflation,Jun 1 2011,7.518994
9956,Food price inflation,Jun 1 2012,8.942495
9957,Food price inflation,Jun 1 2013,6.463878
9958,Food price inflation,Jun 1 2014,6.039916
9959,Food price inflation,Jun 1 2015,5.151065
9960,Food price inflation,Jun 1 2016,2.571832
9961,Food price inflation,Jun 1 2017,1.772594
9962,Food price inflation,Jun 1 2018,2.57191
9963,Food price inflation,Jun 1 2019,3.352958
9964,Food price inflation,Jun 1 2020,3.700591
9965,Food price inflation,Jun 1 2021,0.78507
9966,Food price inflation,Jul 1 2001,-0.309598
9967,Food price inflation,Jul 1 2002,-3.454969
9968,Food price inflation,Jul 1 2003,-1.407318
9969,Food price inflation,Jul 1 2004,2.977162
9970,Food price inflation,Jul 1 2005,5.009901
9971,Food price inflation,Jul 1 2006,3.262304
9972,Food price inflation,Jul 1 2007,7.925493
9973,Food price inflation,Jul 1 2008,19.966159
9974,Food price inflation,Jul 1 2009,3.215797
9975,Food price inflation,Jul 1 2010,4.591418
9976,Food price inflation,Jul 1 2011,8.322446
9977,Food price inflation,Jul 1 2012,8.201664
9978,Food price inflation,Jul 1 2013,6.420689
9979,Food price inflation,Jul 1 2014,6.096156
9980,Food price inflation,Jul 1 2015,5.025175
9981,Food price inflation,Jul 1 2016,2.415868
9982,Food price inflation,Jul 1 2017,1.808169
9983,Food price inflation,Jul 1 2018,2.687058
9984,Food price inflation,Jul 1 2019,3.615027
9985,Food price inflation,Jul 1 2020,3.21985
