,symbol,date,rate
10578,Food price inflation,Jan 1 2001,4.763671
10579,Food price inflation,Jan 1 2002,4.052654
10580,Food price inflation,Jan 1 2003,1.491661
10581,Food price inflation,Jan 1 2004,5.648456
10582,Food price inflation,Jan 1 2005,0.143287
10583,Food price inflation,Jan 1 2006,4.686765
10584,Food price inflation,Jan 1 2007,7.672388
10585,Food price inflation,Jan 1 2008,2.519601
10586,Food price inflation,Jan 1 2009,-2.95555
10587,Food price inflation,Jan 1 2010,1.462189
10588,Food price inflation,Jan 1 2011,2.724852
10589,Food price inflation,Jan 1 2012,4.68199
10590,Food price inflation,Jan 1 2013,-0.1319
10591,Food price inflation,Jan 1 2014,1.277381
10592,Food price inflation,Jan 1 2015,0.075419
10593,Food price inflation,Jan 1 2016,4.730524
10594,Food price inflation,Jan 1 2017,-1.305799
10595,Food price inflation,Jan 1 2018,6.453591
10596,Food price inflation,Jan 1 2019,-1.502754
10597,Food price inflation,Jan 1 2020,9.45908
10598,Food price inflation,Jan 1 2021,-6.414836
10599,Food price inflation,Feb 1 2001,6.538458
10600,Food price inflation,Feb 1 2002,8.83218
10601,Food price inflation,Feb 1 2003,-1.475775
10602,Food price inflation,Feb 1 2004,7.508121
10603,Food price inflation,Feb 1 2005,0.151372
10604,Food price inflation,Feb 1 2006,2.764269
10605,Food price inflation,Feb 1 2007,10.96344
10606,Food price inflation,Feb 1 2008,2.934219
10607,Food price inflation,Feb 1 2009,-2.37151
10608,Food price inflation,Feb 1 2010,-2.514519
10609,Food price inflation,Feb 1 2011,3.44432
10610,Food price inflation,Feb 1 2012,5.553072
10611,Food price inflation,Feb 1 2013,-0.56927
10612,Food price inflation,Feb 1 2014,0.079259
10613,Food price inflation,Feb 1 2015,1.865276
10614,Food price inflation,Feb 1 2016,4.549927
10615,Food price inflation,Feb 1 2017,-0.667215
10616,Food price inflation,Feb 1 2018,3.815269
10617,Food price inflation,Feb 1 2019,-0.035675
10618,Food price inflation,Feb 1 2020,10.320855
10619,Food price inflation,Feb 1 2021,-7.008898
10620,Food price inflation,Mar 1 2001,2.740272
10621,Food price inflation,Mar 1 2002,7.736569
10622,Food price inflation,Mar 1 2003,-7.317875
