,symbol,date,price
12792,Food price inflation,Jan 1 2001,573.217928
12793,Food price inflation,Jan 1 2002,98.137488
12794,Food price inflation,Jan 1 2003,13.061669
12795,Food price inflation,Jan 1 2004,4.54164
12796,Food price inflation,Jan 1 2005,10.965429
12797,Food price inflation,Jan 1 2006,19.519435
12798,Food price inflation,Jan 1 2007,18.888935
12799,Food price inflation,Jan 1 2008,9.885479
12800,Food price inflation,Jan 1 2009,33.32474
12801,Food price inflation,Jan 1 2010,19.249522
12802,Food price inflation,Jan 1 2011,9.275742
12803,Food price inflation,Jan 1 2012,8.488382
12804,Food price inflation,Jan 1 2013,-0.544047
12805,Food price inflation,Jan 1 2014,1.104564
12806,Food price inflation,Jan 1 2015,1.142794
12807,Food price inflation,Jan 1 2016,1.028194
12808,Food price inflation,Jan 1 2017,11.451576
12809,Food price inflation,Jan 1 2018,3.619277
12810,Food price inflation,Jan 1 2019,1.556448
12811,Food price inflation,Jan 1 2020,1.532594
12812,Food price inflation,Jan 1 2021,1.50946
12813,Food price inflation,Feb 1 2001,281.854487
12814,Food price inflation,Feb 1 2002,215.230939
12815,Food price inflation,Feb 1 2003,12.485073
12816,Food price inflation,Feb 1 2004,3.317693
12817,Food price inflation,Feb 1 2005,14.208808
12818,Food price inflation,Feb 1 2006,16.390503
12819,Food price inflation,Feb 1 2007,20.352589
12820,Food price inflation,Feb 1 2008,9.261256
12821,Food price inflation,Feb 1 2009,35.041318
12822,Food price inflation,Feb 1 2010,17.167526
12823,Food price inflation,Feb 1 2011,9.204592
12824,Food price inflation,Feb 1 2012,6.536166
12825,Food price inflation,Feb 1 2013,0.651686
12826,Food price inflation,Feb 1 2014,1.15838
12827,Food price inflation,Feb 1 2015,1.061008
12828,Food price inflation,Feb 1 2016,1.091356
12829,Food price inflation,Feb 1 2017,13.70232
12830,Food price inflation,Feb 1 2018,1.578976
12831,Food price inflation,Feb 1 2019,1.554432
12832,Food price inflation,Feb 1 2020,1.530639
12833,Food price inflation,Feb 1 2021,1.507563
12834,Food price inflation,Mar 1 2001,556.061919
12835,Food price inflation,Mar 1 2002,74.969453
12836,Food price inflation,Mar 1 2003,15.499463
12837,Food price inflation,Mar 1 2004,1.879271
12838,Food price inflation,Mar 1 2005,17.946096
12839,Food price inflation,Mar 1 2006,13.470584
12840,Food price inflation,Mar 1 2007,21.051026
12841,Food price inflation,Mar 1 2008,8.423856
12842,Food price inflation,Mar 1 2009,39.870629
12843,Food price inflation,Mar 1 2010,12.786483
12844,Food price inflation,Mar 1 2011,9.134526
12845,Food price inflation,Mar 1 2012,5.788602
12846,Food price inflation,Mar 1 2013,0.715193
12847,Food price inflation,Mar 1 2014,1.331072
12848,Food price inflation,Mar 1 2015,0.891354
12849,Food price inflation,Mar 1 2016,1.252894
12850,Food price inflation,Mar 1 2017,13.600522
12851,Food price inflation,Mar 1 2018,1.576901
12852,Food price inflation,Mar 1 2019,1.552421
12853,Food price inflation,Mar 1 2020,1.528689
12854,Food price inflation,Mar 1 2021,1.505672
12855,Food price inflation,Apr 1 2001,622.49295
12856,Food price inflation,Apr 1 2002,49.912503
12857,Food price inflation,Apr 1 2003,17.493072
12858,Food price inflation,Apr 1 2004,2.510964
