,symbol,date,rate
13284,Food price inflation,Jan 1 2001,3.176825
13285,Food price inflation,Jan 1 2002,3.07901
13286,Food price inflation,Jan 1 2003,2.987039
13287,Food price inflation,Jan 1 2004,2.900403
13288,Food price inflation,Jan 1 2005,-0.588813
13289,Food price inflation,Jan 1 2006,6.910168
13290,Food price inflation,Jan 1 2007,7.663897
13291,Food price inflation,Jan 1 2008,17.409949
13292,Food price inflation,Jan 1 2009,19.211103
13293,Food price inflation,Jan 1 2010,0.367647
13294,Food price inflation,Jan 1 2011,5.555556
13295,Food price inflation,Jan 1 2012,11.856564
13296,Food price inflation,Jan 1 2013,-4.136505
13297,Food price inflation,Jan 1 2014,5.79352
13298,Food price inflation,Jan 1 2015,-2.736878
13299,Food price inflation,Jan 1 2016,2.62962
13300,Food price inflation,Jan 1 2017,8.158414
13301,Food price inflation,Jan 1 2018,-0.193506
13302,Food price inflation,Jan 1 2019,3.281199
13303,Food price inflation,Jan 1 2020,5.820395
13304,Food price inflation,Jan 1 2021,1.285575
13305,Food price inflation,Feb 1 2001,3.168437
13306,Food price inflation,Feb 1 2002,3.07113
13307,Food price inflation,Feb 1 2003,2.979622
13308,Food price inflation,Feb 1 2004,6.27887
13309,Food price inflation,Feb 1 2005,-3.127962
13310,Food price inflation,Feb 1 2006,7.827789
13311,Food price inflation,Feb 1 2007,6.442831
13312,Food price inflation,Feb 1 2008,17.391304
13313,Food price inflation,Feb 1 2009,18.59114
13314,Food price inflation,Feb 1 2010,0.673607
13315,Food price inflation,Feb 1 2011,4.927007
13316,Food price inflation,Feb 1 2012,9.73913
13317,Food price inflation,Feb 1 2013,-2.958267
13318,Food price inflation,Feb 1 2014,3.665054
13319,Food price inflation,Feb 1 2015,2.674956
13320,Food price inflation,Feb 1 2016,1.156288
13321,Food price inflation,Feb 1 2017,6.243396
13322,Food price inflation,Feb 1 2018,-0.173662
13323,Food price inflation,Feb 1 2019,4.655075
13324,Food price inflation,Feb 1 2020,5.723093
13325,Food price inflation,Feb 1 2021,1.090603
13326,Food price inflation,Mar 1 2001,3.160093
13327,Food price inflation,Mar 1 2002,3.063291
13328,Food price inflation,Mar 1 2003,2.972242
13329,Food price inflation,Mar 1 2004,3.309838
13330,Food price inflation,Mar 1 2005,2.918288
13331,Food price inflation,Mar 1 2006,5.293006
13332,Food price inflation,Mar 1 2007,7.001795
13333,Food price inflation,Mar 1 2008,16.610738
13334,Food price inflation,Mar 1 2009,17.194245
13335,Food price inflation,Mar 1 2010,1.16636
13336,Food price inflation,Mar 1 2011,5.643204
13337,Food price inflation,Mar 1 2012,7.352096
13338,Food price inflation,Mar 1 2013,-3.049759
13339,Food price inflation,Mar 1 2014,6.302735
13340,Food price inflation,Mar 1 2015,1.721121
13341,Food price inflation,Mar 1 2016,1.699662
13342,Food price inflation,Mar 1 2017,12.140384
13343,Food price inflation,Mar 1 2018,-5.628996
13344,Food price inflation,Mar 1 2019,4.768583
13345,Food price inflation,Mar 1 2020,5.822993
13346,Food price inflation,Mar 1 2021,0.641783
13347,Food price inflation,Apr 1 2001,3.151793
13348,Food price inflation,Apr 1 2002,3.055491
13349,Food price inflation,Apr 1 2003,2.964898
13350,Food price inflation,Apr 1 2004,3.162191
13351,Food price inflation,Apr 1 2005,1.846453
13352,Food price inflation,Apr 1 2006,7.156489
13353,Food price inflation,Apr 1 2007,7.123776
13354,Food price inflation,Apr 1 2008,18.703242
13355,Food price inflation,Apr 1 2009,12.745098
13356,Food price inflation,Apr 1 2010,1.242236
13357,Food price inflation,Apr 1 2011,8.773006
13358,Food price inflation,Apr 1 2012,5.245347
13359,Food price inflation,Apr 1 2013,-2.036442
13360,Food price inflation,Apr 1 2014,8.253641
13361,Food price inflation,Apr 1 2015,-2.423661
13362,Food price inflation,Apr 1 2016,6.155737
13363,Food price inflation,Apr 1 2017,5.007701
13364,Food price inflation,Apr 1 2018,-1.67133
13365,Food price inflation,Apr 1 2019,5.331678
13366,Food price inflation,Apr 1 2020,5.54648
13367,Food price inflation,Apr 1 2021,0.287178
13368,Food price inflation,May 1 2001,3.143537
13369,Food price inflation,May 1 2002,3.04773
13370,Food price inflation,May 1 2003,2.957591
13371,Food price inflation,May 1 2004,2.715205
13372,Food price inflation,May 1 2005,1.655307
13373,Food price inflation,May 1 2006,6.800766
13374,Food price inflation,May 1 2007,8.699552
13375,Food price inflation,May 1 2008,24.669967
13376,Food price inflation,May 1 2009,6.022502
13377,Food price inflation,May 1 2010,2.309613
13378,Food price inflation,May 1 2011,8.968883
13379,Food price inflation,May 1 2012,6.606943
13380,Food price inflation,May 1 2013,-2.888655
13381,Food price inflation,May 1 2014,3.114217
13382,Food price inflation,May 1 2015,2.135063
13383,Food price inflation,May 1 2016,7.530153
13384,Food price inflation,May 1 2017,1.009076
13385,Food price inflation,May 1 2018,0.794467
13386,Food price inflation,May 1 2019,5.649309
13387,Food price inflation,May 1 2020,3.895197
13388,Food price inflation,May 1 2021,1.126675
13389,Food price inflation,Jun 1 2001,3.135324
13390,Food price inflation,Jun 1 2002,3.040009
13391,Food price inflation,Jun 1 2003,2.95032
13392,Food price inflation,Jun 1 2004,1.372371
13393,Food price inflation,Jun 1 2005,2.362205
13394,Food price inflation,Jun 1 2006,6.730769
13395,Food price inflation,Jun 1 2007,9.81982
13396,Food price inflation,Jun 1 2008,28.301887
13397,Food price inflation,Jun 1 2009,3.132992
13398,Food price inflation,Jun 1 2010,4.773714
13399,Food price inflation,Jun 1 2011,6.686391
13400,Food price inflation,Jun 1 2012,6.04548
13401,Food price inflation,Jun 1 2013,0.732218
13402,Food price inflation,Jun 1 2014,3.844559
13403,Food price inflation,Jun 1 2015,-1.975474
13404,Food price inflation,Jun 1 2016,7.611313
13405,Food price inflation,Jun 1 2017,1.127725
13406,Food price inflation,Jun 1 2018,-1.359055
13407,Food price inflation,Jun 1 2019,7.231775
13408,Food price inflation,Jun 1 2020,6.33071
13409,Food price inflation,Jun 1 2021,-1.106205
13410,Food price inflation,Jul 1 2001,3.127153
13411,Food price inflation,Jul 1 2002,3.032328
13412,Food price inflation,Jul 1 2003,2.943084
13413,Food price inflation,Jul 1 2004,0.93178
13414,Food price inflation,Jul 1 2005,4.33925
13415,Food price inflation,Jul 1 2006,3.875236
13416,Food price inflation,Jul 1 2007,10.919017
13417,Food price inflation,Jul 1 2008,30.270714
13418,Food price inflation,Jul 1 2009,2.329975
13419,Food price inflation,Jul 1 2010,4.307692
13420,Food price inflation,Jul 1 2011,9.085546
13421,Food price inflation,Jul 1 2012,5.354246
13422,Food price inflation,Jul 1 2013,2.5154
13423,Food price inflation,Jul 1 2014,-6.642475
13424,Food price inflation,Jul 1 2015,9.648065
13425,Food price inflation,Jul 1 2016,4.590242
13426,Food price inflation,Jul 1 2017,-0.687349
13427,Food price inflation,Jul 1 2018,0.277339
13428,Food price inflation,Jul 1 2019,5.331188
13429,Food price inflation,Jul 1 2020,11.561859
13430,Food price inflation,Aug 1 2001,3.119025
13431,Food price inflation,Aug 1 2002,3.024684
13432,Food price inflation,Aug 1 2003,2.935883
13433,Food price inflation,Aug 1 2004,0.592585
13434,Food price inflation,Aug 1 2005,4.738401
13435,Food price inflation,Aug 1 2006,5.843544
13436,Food price inflation,Aug 1 2007,9.973286
13437,Food price inflation,Aug 1 2008,31.255061
13438,Food price inflation,Aug 1 2009,0.863664
13439,Food price inflation,Aug 1 2010,6.055046
13440,Food price inflation,Aug 1 2011,8.650519
13441,Food price inflation,Aug 1 2012,5.467091
13442,Food price inflation,Aug 1 2013,-0.251636
13443,Food price inflation,Aug 1 2014,-6.557534
13444,Food price inflation,Aug 1 2015,4.753196
13445,Food price inflation,Aug 1 2016,9.799639
13446,Food price inflation,Aug 1 2017,-0.837105
13447,Food price inflation,Aug 1 2018,1.242983
13448,Food price inflation,Aug 1 2019,5.200831
13449,Food price inflation,Aug 1 2020,5.331386
13450,Food price inflation,Sep 1 2001,3.110939
13451,Food price inflation,Sep 1 2002,3.01708
13452,Food price inflation,Sep 1 2003,2.928718
13453,Food price inflation,Sep 1 2004,-0.240333
13454,Food price inflation,Sep 1 2005,5.461768
13455,Food price inflation,Sep 1 2006,6.873823
13456,Food price inflation,Sep 1 2007,9.867841
13457,Food price inflation,Sep 1 2008,32.317562
13458,Food price inflation,Sep 1 2009,0.363636
13459,Food price inflation,Sep 1 2010,10.628019
13460,Food price inflation,Sep 1 2011,5.349345
13461,Food price inflation,Sep 1 2012,2.53886
13462,Food price inflation,Sep 1 2013,-0.151592
13463,Food price inflation,Sep 1 2014,-7.584288
13464,Food price inflation,Sep 1 2015,11.074013
13465,Food price inflation,Sep 1 2016,5.325462
13466,Food price inflation,Sep 1 2017,-2.146038
13467,Food price inflation,Sep 1 2018,1.336381
13468,Food price inflation,Sep 1 2019,6.757784
13469,Food price inflation,Sep 1 2020,2.367569
13470,Food price inflation,Oct 1 2001,3.102895
13471,Food price inflation,Oct 1 2002,3.009513
13472,Food price inflation,Oct 1 2003,2.921587
13473,Food price inflation,Oct 1 2004,0.215504
