,symbol,date,price
14760,Food price inflation,Jan 1 2001,12.905971
14761,Food price inflation,Jan 1 2002,11.323153
14762,Food price inflation,Jan 1 2003,9.293531
14763,Food price inflation,Jan 1 2004,6.25229
14764,Food price inflation,Jan 1 2005,4.573548
14765,Food price inflation,Jan 1 2006,6.542883
14766,Food price inflation,Jan 1 2007,6.14108
14767,Food price inflation,Jan 1 2008,7.424063
14768,Food price inflation,Jan 1 2009,6.910987
14769,Food price inflation,Jan 1 2010,6.481012
14770,Food price inflation,Jan 1 2011,6.370434
14771,Food price inflation,Jan 1 2012,6.665255
14772,Food price inflation,Jan 1 2013,2.845905
14773,Food price inflation,Jan 1 2014,6.696273
14774,Food price inflation,Jan 1 2015,0.655136
14775,Food price inflation,Jan 1 2016,-1.436865
14776,Food price inflation,Jan 1 2017,-0.213952
14777,Food price inflation,Jan 1 2018,-0.368951
14778,Food price inflation,Jan 1 2019,2.143569
14779,Food price inflation,Jan 1 2020,4.211113
14780,Food price inflation,Jan 1 2021,-1.411655
14781,Food price inflation,Feb 1 2001,12.766052
14782,Food price inflation,Feb 1 2002,11.149632
14783,Food price inflation,Feb 1 2003,9.013065
14784,Food price inflation,Feb 1 2004,6.073366
14785,Food price inflation,Feb 1 2005,4.76245
14786,Food price inflation,Feb 1 2006,6.507403
14787,Food price inflation,Feb 1 2007,6.253983
14788,Food price inflation,Feb 1 2008,7.378415
14789,Food price inflation,Feb 1 2009,6.871413
14790,Food price inflation,Feb 1 2010,6.363232
14791,Food price inflation,Feb 1 2011,6.846817
14792,Food price inflation,Feb 1 2012,5.815384
14793,Food price inflation,Feb 1 2013,2.827791
14794,Food price inflation,Feb 1 2014,6.834279
14795,Food price inflation,Feb 1 2015,0.832646
14796,Food price inflation,Feb 1 2016,-2.046839
14797,Food price inflation,Feb 1 2017,0.84743
14798,Food price inflation,Feb 1 2018,-1.358485
14799,Food price inflation,Feb 1 2019,3.332382
14800,Food price inflation,Feb 1 2020,3.438989
14801,Food price inflation,Feb 1 2021,-3.137726
14802,Food price inflation,Mar 1 2001,12.629076
14803,Food price inflation,Mar 1 2002,10.979344
14804,Food price inflation,Mar 1 2003,8.736971
14805,Food price inflation,Mar 1 2004,5.896331
14806,Food price inflation,Mar 1 2005,4.949987
14807,Food price inflation,Mar 1 2006,6.472304
14808,Food price inflation,Mar 1 2007,6.365742
14809,Food price inflation,Mar 1 2008,7.333325
14810,Food price inflation,Mar 1 2009,6.832291
14811,Food price inflation,Mar 1 2010,6.247443
14812,Food price inflation,Mar 1 2011,7.087651
14813,Food price inflation,Mar 1 2012,5.205441
14814,Food price inflation,Mar 1 2013,2.932789
14815,Food price inflation,Mar 1 2014,6.84116
14816,Food price inflation,Mar 1 2015,0.327687
14817,Food price inflation,Mar 1 2016,-3.203242
14818,Food price inflation,Mar 1 2017,2.553335
14819,Food price inflation,Mar 1 2018,-2.119979
14820,Food price inflation,Mar 1 2019,3.199687
14821,Food price inflation,Mar 1 2020,4.48
14822,Food price inflation,Mar 1 2021,-3.608762
14823,Food price inflation,Apr 1 2001,12.494952
14824,Food price inflation,Apr 1 2002,10.812199
14825,Food price inflation,Apr 1 2003,8.465149
14826,Food price inflation,Apr 1 2004,5.721154
14827,Food price inflation,Apr 1 2005,5.136173
14828,Food price inflation,Apr 1 2006,6.437583
14829,Food price inflation,Apr 1 2007,6.476375
14830,Food price inflation,Apr 1 2008,7.288782
14831,Food price inflation,Apr 1 2009,6.793611
14832,Food price inflation,Apr 1 2010,6.500381
14833,Food price inflation,Apr 1 2011,6.751407
14834,Food price inflation,Apr 1 2012,4.821553
14835,Food price inflation,Apr 1 2013,2.833255
14836,Food price inflation,Apr 1 2014,5.52187
14837,Food price inflation,Apr 1 2015,2.601132
14838,Food price inflation,Apr 1 2016,-4.795065
14839,Food price inflation,Apr 1 2017,2.52914
14840,Food price inflation,Apr 1 2018,-0.181636
14841,Food price inflation,Apr 1 2019,-0.335495
14842,Food price inflation,Apr 1 2020,6.536273
14843,Food price inflation,Apr 1 2021,-3.217022
14844,Food price inflation,May 1 2001,12.363591
14845,Food price inflation,May 1 2002,10.648111
14846,Food price inflation,May 1 2003,8.197499
14847,Food price inflation,May 1 2004,5.547806
14848,Food price inflation,May 1 2005,5.321024
14849,Food price inflation,May 1 2006,6.403231
14850,Food price inflation,May 1 2007,6.585898
14851,Food price inflation,May 1 2008,7.244777
14852,Food price inflation,May 1 2009,6.755366
14853,Food price inflation,May 1 2010,6.307015
14854,Food price inflation,May 1 2011,6.990432
14855,Food price inflation,May 1 2012,4.248032
14856,Food price inflation,May 1 2013,2.840515
14857,Food price inflation,May 1 2014,6.003056
14858,Food price inflation,May 1 2015,2.354978
14859,Food price inflation,May 1 2016,-5.398933
14860,Food price inflation,May 1 2017,3.114402
14861,Food price inflation,May 1 2018,0.495593
14862,Food price inflation,May 1 2019,-0.900791
14863,Food price inflation,May 1 2020,7.758865
14864,Food price inflation,May 1 2021,-4.454097
14865,Food price inflation,Jun 1 2001,12.234909
14866,Food price inflation,Jun 1 2002,10.486998
14867,Food price inflation,Jun 1 2003,7.933927
14868,Food price inflation,Jun 1 2004,5.376259
14869,Food price inflation,Jun 1 2005,5.504553
14870,Food price inflation,Jun 1 2006,6.369245
14871,Food price inflation,Jun 1 2007,6.694328
14872,Food price inflation,Jun 1 2008,7.201301
14873,Food price inflation,Jun 1 2009,6.71755
14874,Food price inflation,Jun 1 2010,5.772826
14875,Food price inflation,Jun 1 2011,7.552922
14876,Food price inflation,Jun 1 2012,3.964135
14877,Food price inflation,Jun 1 2013,2.586631
14878,Food price inflation,Jun 1 2014,6.200995
14879,Food price inflation,Jun 1 2015,2.410376
14880,Food price inflation,Jun 1 2016,-5.821862
14881,Food price inflation,Jun 1 2017,3.184203
14882,Food price inflation,Jun 1 2018,0.96636
14883,Food price inflation,Jun 1 2019,-1.811533
14884,Food price inflation,Jun 1 2020,8.808845
14885,Food price inflation,Jun 1 2021,-4.70425
14886,Food price inflation,Jul 1 2001,12.108825
14887,Food price inflation,Jul 1 2002,10.328778
14888,Food price inflation,Jul 1 2003,7.67434
14889,Food price inflation,Jul 1 2004,5.206484
14890,Food price inflation,Jul 1 2005,5.686774
14891,Food price inflation,Jul 1 2006,6.335617
14892,Food price inflation,Jul 1 2007,6.801682
14893,Food price inflation,Jul 1 2008,7.158343
14894,Food price inflation,Jul 1 2009,6.680155
14895,Food price inflation,Jul 1 2010,6.625467
14896,Food price inflation,Jul 1 2011,7.372545
14897,Food price inflation,Jul 1 2012,2.80314
14898,Food price inflation,Jul 1 2013,4.860256
14899,Food price inflation,Jul 1 2014,3.02337
14900,Food price inflation,Jul 1 2015,2.301383
14901,Food price inflation,Jul 1 2016,-4.540711
14902,Food price inflation,Jul 1 2017,2.395678
14903,Food price inflation,Jul 1 2018,1.922668
14904,Food price inflation,Jul 1 2019,-3.125435
14905,Food price inflation,Jul 1 2020,8.435726
14906,Food price inflation,Aug 1 2001,11.985262
14907,Food price inflation,Aug 1 2002,10.173375
14908,Food price inflation,Aug 1 2003,7.418648
14909,Food price inflation,Aug 1 2004,5.038456
14910,Food price inflation,Aug 1 2005,5.867703
14911,Food price inflation,Aug 1 2006,6.302343
14912,Food price inflation,Aug 1 2007,6.907974
14913,Food price inflation,Aug 1 2008,7.115895
14914,Food price inflation,Aug 1 2009,6.643173
14915,Food price inflation,Aug 1 2010,6.372064
14916,Food price inflation,Aug 1 2011,7.148428
14917,Food price inflation,Aug 1 2012,2.727528
14918,Food price inflation,Aug 1 2013,6.432278
14919,Food price inflation,Aug 1 2014,2.83728
14920,Food price inflation,Aug 1 2015,1.743012
14921,Food price inflation,Aug 1 2016,-5.152251
14922,Food price inflation,Aug 1 2017,1.716969
14923,Food price inflation,Aug 1 2018,1.655015
14924,Food price inflation,Aug 1 2019,-1.473684
14925,Food price inflation,Aug 1 2020,6.766382
14926,Food price inflation,Sep 1 2001,11.864143
14927,Food price inflation,Sep 1 2002,10.020713
14928,Food price inflation,Sep 1 2003,7.166764
14929,Food price inflation,Sep 1 2004,4.872145
14930,Food price inflation,Sep 1 2005,6.047351
14931,Food price inflation,Sep 1 2006,6.269416
14932,Food price inflation,Sep 1 2007,7.013222
14933,Food price inflation,Sep 1 2008,7.073947
14934,Food price inflation,Sep 1 2009,6.606599
14935,Food price inflation,Sep 1 2010,5.898633
14936,Food price inflation,Sep 1 2011,7.086855
14937,Food price inflation,Sep 1 2012,2.743521
14938,Food price inflation,Sep 1 2013,6.790549
14939,Food price inflation,Sep 1 2014,2.74854
14940,Food price inflation,Sep 1 2015,1.319366
14941,Food price inflation,Sep 1 2016,-4.342487
14942,Food price inflation,Sep 1 2017,1.153429
14943,Food price inflation,Sep 1 2018,2.286325
14944,Food price inflation,Sep 1 2019,-2.583386
14945,Food price inflation,Sep 1 2020,6.826305
14946,Food price inflation,Oct 1 2001,11.745398
14947,Food price inflation,Oct 1 2002,9.870722
14948,Food price inflation,Oct 1 2003,6.918605
14949,Food price inflation,Oct 1 2004,4.707527
14950,Food price inflation,Oct 1 2005,6.225734
14951,Food price inflation,Oct 1 2006,6.236832
14952,Food price inflation,Oct 1 2007,7.11744
14953,Food price inflation,Oct 1 2008,7.032491
14954,Food price inflation,Oct 1 2009,6.570426
14955,Food price inflation,Oct 1 2010,5.598042
14956,Food price inflation,Oct 1 2011,7.414295
14957,Food price inflation,Oct 1 2012,2.765083
14958,Food price inflation,Oct 1 2013,6.840758
14959,Food price inflation,Oct 1 2014,2.239593
14960,Food price inflation,Oct 1 2015,1.070919
14961,Food price inflation,Oct 1 2016,-3.52317
14962,Food price inflation,Oct 1 2017,0.346989
14963,Food price inflation,Oct 1 2018,2.730254
14964,Food price inflation,Oct 1 2019,1.225453
14965,Food price inflation,Oct 1 2020,1.222956
14966,Food price inflation,Nov 1 2001,11.628957
14967,Food price inflation,Nov 1 2002,9.723332
14968,Food price inflation,Nov 1 2003,6.674087
14969,Food price inflation,Nov 1 2004,4.544576
14970,Food price inflation,Nov 1 2005,6.402864
14971,Food price inflation,Nov 1 2006,6.204585
14972,Food price inflation,Nov 1 2007,7.220643
14973,Food price inflation,Nov 1 2008,6.991517
14974,Food price inflation,Nov 1 2009,6.534647
14975,Food price inflation,Nov 1 2010,5.186512
14976,Food price inflation,Nov 1 2011,7.373229
14977,Food price inflation,Nov 1 2012,2.864054
14978,Food price inflation,Nov 1 2013,6.813813
14979,Food price inflation,Nov 1 2014,2.21575
14980,Food price inflation,Nov 1 2015,1.077456
14981,Food price inflation,Nov 1 2016,-4.957623
14982,Food price inflation,Nov 1 2017,1.648589
14983,Food price inflation,Nov 1 2018,3.003281
14984,Food price inflation,Nov 1 2019,2.212757
14985,Food price inflation,Nov 1 2020,0.118576
14986,Food price inflation,Dec 1 2001,11.5
14987,Food price inflation,Dec 1 2002,9.578475
14988,Food price inflation,Dec 1 2003,6.433131
14989,Food price inflation,Dec 1 2004,4.383267
14990,Food price inflation,Dec 1 2005,6.578753
14991,Food price inflation,Dec 1 2006,6.172669
14992,Food price inflation,Dec 1 2007,7.322846
14993,Food price inflation,Dec 1 2008,6.951019
14994,Food price inflation,Dec 1 2009,6.499255
14995,Food price inflation,Dec 1 2010,4.924214
14996,Food price inflation,Dec 1 2011,7.114539
14997,Food price inflation,Dec 1 2012,2.958664
14998,Food price inflation,Dec 1 2013,6.72253
14999,Food price inflation,Dec 1 2014,2.163214
15000,Food price inflation,Dec 1 2015,1.034077
15001,Food price inflation,Dec 1 2016,-3.39902
15002,Food price inflation,Dec 1 2017,-0.008154
15003,Food price inflation,Dec 1 2018,2.970156
15004,Food price inflation,Dec 1 2019,3.320621
15005,Food price inflation,Dec 1 2020,-1.979075
