,symbol,date,rate
15006,Food price inflation,Jan 1 2001,5.190972
15007,Food price inflation,Jan 1 2002,8.286792
15008,Food price inflation,Jan 1 2003,-2.32159
15009,Food price inflation,Jan 1 2004,0.0
15010,Food price inflation,Jan 1 2005,6.602114
15011,Food price inflation,Jan 1 2006,2.97276
15012,Food price inflation,Jan 1 2007,7.85886
15013,Food price inflation,Jan 1 2008,16.133827
15014,Food price inflation,Jan 1 2009,2.752881
15015,Food price inflation,Jan 1 2010,-5.732093
15016,Food price inflation,Jan 1 2011,11.434237
15017,Food price inflation,Jan 1 2012,3.973901
15018,Food price inflation,Jan 1 2013,5.476328
15019,Food price inflation,Jan 1 2014,2.487879
15020,Food price inflation,Jan 1 2015,-1.847012
15021,Food price inflation,Jan 1 2016,-0.806448
15022,Food price inflation,Jan 1 2017,3.685684
15023,Food price inflation,Jan 1 2018,5.697814
15024,Food price inflation,Jan 1 2019,1.730929
15025,Food price inflation,Jan 1 2020,2.771051
15026,Food price inflation,Jan 1 2021,0.141926
15027,Food price inflation,Feb 1 2001,7.100598
15028,Food price inflation,Feb 1 2002,8.287286
15029,Food price inflation,Feb 1 2003,-3.316333
15030,Food price inflation,Feb 1 2004,0.263864
15031,Food price inflation,Feb 1 2005,6.403512
15032,Food price inflation,Feb 1 2006,3.462476
15033,Food price inflation,Feb 1 2007,6.85259
15034,Food price inflation,Feb 1 2008,17.076806
15035,Food price inflation,Feb 1 2009,1.337592
15036,Food price inflation,Feb 1 2010,-4.714017
15037,Food price inflation,Feb 1 2011,13.192605
15038,Food price inflation,Feb 1 2012,2.855483
15039,Food price inflation,Feb 1 2013,5.949
15040,Food price inflation,Feb 1 2014,1.657735
15041,Food price inflation,Feb 1 2015,-1.683306
15042,Food price inflation,Feb 1 2016,-0.374535
15043,Food price inflation,Feb 1 2017,4.135307
15044,Food price inflation,Feb 1 2018,4.951057
15045,Food price inflation,Feb 1 2019,1.621612
15046,Food price inflation,Feb 1 2020,4.013578
15047,Food price inflation,Feb 1 2021,-0.743862
15048,Food price inflation,Mar 1 2001,7.254924
15049,Food price inflation,Mar 1 2002,8.135278
15050,Food price inflation,Mar 1 2003,-3.634827
15051,Food price inflation,Mar 1 2004,0.614024
15052,Food price inflation,Mar 1 2005,6.015687
15053,Food price inflation,Mar 1 2006,3.618436
15054,Food price inflation,Mar 1 2007,7.777776
15055,Food price inflation,Mar 1 2008,16.715758
15056,Food price inflation,Mar 1 2009,0.06309
15057,Food price inflation,Mar 1 2010,-2.143756
15058,Food price inflation,Mar 1 2011,11.59793
15059,Food price inflation,Mar 1 2012,2.944576
15060,Food price inflation,Mar 1 2013,5.159806
15061,Food price inflation,Mar 1 2014,1.706718
15062,Food price inflation,Mar 1 2015,-1.678077
15063,Food price inflation,Mar 1 2016,0.480052
15064,Food price inflation,Mar 1 2017,3.980921
15065,Food price inflation,Mar 1 2018,3.8795
15066,Food price inflation,Mar 1 2019,2.211264
15067,Food price inflation,Mar 1 2020,2.259649
15068,Food price inflation,Mar 1 2021,0.517186
15069,Food price inflation,Apr 1 2001,8.235299
15070,Food price inflation,Apr 1 2002,6.793479
15071,Food price inflation,Apr 1 2003,-2.968614
15072,Food price inflation,Apr 1 2004,1.048949
15073,Food price inflation,Apr 1 2005,4.930808
15074,Food price inflation,Apr 1 2006,4.20444
15075,Food price inflation,Apr 1 2007,8.702529
15076,Food price inflation,Apr 1 2008,17.612818
15077,Food price inflation,Apr 1 2009,-3.650996
15078,Food price inflation,Apr 1 2010,0.963386
15079,Food price inflation,Apr 1 2011,12.340968
15080,Food price inflation,Apr 1 2012,1.359012
15081,Food price inflation,Apr 1 2013,5.195503
