,symbol,date,price
17220,Food price inflation,Jan 1 2001,1.783208
17221,Food price inflation,Jan 1 2002,6.713488
17222,Food price inflation,Jan 1 2003,7.456274
17223,Food price inflation,Jan 1 2004,7.133614
17224,Food price inflation,Jan 1 2005,7.671097
17225,Food price inflation,Jan 1 2006,5.190365
17226,Food price inflation,Jan 1 2007,16.415861
17227,Food price inflation,Jan 1 2008,13.329221
17228,Food price inflation,Jan 1 2009,3.43904
17229,Food price inflation,Jan 1 2010,3.096885
17230,Food price inflation,Jan 1 2011,25.231194
17231,Food price inflation,Jan 1 2012,-1.573978
17232,Food price inflation,Jan 1 2013,-2.716643
17233,Food price inflation,Jan 1 2014,5.176736
17234,Food price inflation,Jan 1 2015,1.698654
17235,Food price inflation,Jan 1 2016,5.137577
17236,Food price inflation,Jan 1 2017,3.293421
17237,Food price inflation,Jan 1 2018,4.685246
17238,Food price inflation,Jan 1 2019,3.212372
17239,Food price inflation,Jan 1 2020,11.336471
17240,Food price inflation,Jan 1 2021,6.423209
17241,Food price inflation,Feb 1 2001,2.229445
17242,Food price inflation,Feb 1 2002,6.788266
17243,Food price inflation,Feb 1 2003,7.419619
17244,Food price inflation,Feb 1 2004,7.190072
17245,Food price inflation,Feb 1 2005,7.384338
17246,Food price inflation,Feb 1 2006,5.101584
17247,Food price inflation,Feb 1 2007,17.417609
17248,Food price inflation,Feb 1 2008,13.488826
17249,Food price inflation,Feb 1 2009,0.090242
17250,Food price inflation,Feb 1 2010,8.665789
17251,Food price inflation,Feb 1 2011,28.434298
17252,Food price inflation,Feb 1 2012,-7.061745
17253,Food price inflation,Feb 1 2013,-3.299874
17254,Food price inflation,Feb 1 2014,5.663898
17255,Food price inflation,Feb 1 2015,1.90915
17256,Food price inflation,Feb 1 2016,4.577578
17257,Food price inflation,Feb 1 2017,5.483962
17258,Food price inflation,Feb 1 2018,3.383281
17259,Food price inflation,Feb 1 2019,2.89622
17260,Food price inflation,Feb 1 2020,12.669239
17261,Food price inflation,Feb 1 2021,6.211235
17262,Food price inflation,Mar 1 2001,2.674691
