,symbol,date,price
17958,Food price inflation,Jan 1 2001,1.941909
17959,Food price inflation,Jan 1 2002,12.85227
17960,Food price inflation,Jan 1 2003,-1.415426
17961,Food price inflation,Jan 1 2004,3.519749
17962,Food price inflation,Jan 1 2005,0.553992
17963,Food price inflation,Jan 1 2006,1.602806
17964,Food price inflation,Jan 1 2007,4.368254
17965,Food price inflation,Jan 1 2008,5.532678
17966,Food price inflation,Jan 1 2009,3.785851
17967,Food price inflation,Jan 1 2010,-1.889968
17968,Food price inflation,Jan 1 2011,2.40285
17969,Food price inflation,Jan 1 2012,3.007494
17970,Food price inflation,Jan 1 2013,0.207069
17971,Food price inflation,Jan 1 2014,-0.75649
17972,Food price inflation,Jan 1 2015,-0.475741
17973,Food price inflation,Jan 1 2016,1.638872
17974,Food price inflation,Jan 1 2017,1.081554
17975,Food price inflation,Jan 1 2018,-1.18532
17976,Food price inflation,Jan 1 2019,1.870038
17977,Food price inflation,Jan 1 2020,-0.068747
17978,Food price inflation,Jan 1 2021,-0.434327
17979,Food price inflation,Feb 1 2001,1.726871
17980,Food price inflation,Feb 1 2002,8.639021
17981,Food price inflation,Feb 1 2003,3.712292
17982,Food price inflation,Feb 1 2004,3.728561
17983,Food price inflation,Feb 1 2005,-0.870308
17984,Food price inflation,Feb 1 2006,2.032285
17985,Food price inflation,Feb 1 2007,2.275472
17986,Food price inflation,Feb 1 2008,6.581066
17987,Food price inflation,Feb 1 2009,3.666924
17988,Food price inflation,Feb 1 2010,-1.657029
17989,Food price inflation,Feb 1 2011,2.419093
17990,Food price inflation,Feb 1 2012,2.22182
17991,Food price inflation,Feb 1 2013,0.057336
17992,Food price inflation,Feb 1 2014,-1.292203
17993,Food price inflation,Feb 1 2015,0.944299
17994,Food price inflation,Feb 1 2016,0.475484
17995,Food price inflation,Feb 1 2017,1.383953
17996,Food price inflation,Feb 1 2018,-0.996968
17997,Food price inflation,Feb 1 2019,2.059046
17998,Food price inflation,Feb 1 2020,-0.143201
17999,Food price inflation,Feb 1 2021,-0.487601
18000,Food price inflation,Mar 1 2001,2.061172
18001,Food price inflation,Mar 1 2002,8.136453
18002,Food price inflation,Mar 1 2003,4.720542
18003,Food price inflation,Mar 1 2004,2.807306
18004,Food price inflation,Mar 1 2005,-1.340819
18005,Food price inflation,Mar 1 2006,2.148489
18006,Food price inflation,Mar 1 2007,2.674425
18007,Food price inflation,Mar 1 2008,6.138084
18008,Food price inflation,Mar 1 2009,3.448535
18009,Food price inflation,Mar 1 2010,-1.605219
18010,Food price inflation,Mar 1 2011,2.547895
18011,Food price inflation,Mar 1 2012,2.376913
18012,Food price inflation,Mar 1 2013,0.305668
18013,Food price inflation,Mar 1 2014,-1.238199
18014,Food price inflation,Mar 1 2015,0.697656
18015,Food price inflation,Mar 1 2016,-0.373413
18016,Food price inflation,Mar 1 2017,1.558486
18017,Food price inflation,Mar 1 2018,-0.780347
18018,Food price inflation,Mar 1 2019,1.39774
18019,Food price inflation,Mar 1 2020,-0.10581
18020,Food price inflation,Mar 1 2021,-0.259739
18021,Food price inflation,Apr 1 2001,2.541437
18022,Food price inflation,Apr 1 2002,7.216623
18023,Food price inflation,Apr 1 2003,5.819994
18024,Food price inflation,Apr 1 2004,0.352248
18025,Food price inflation,Apr 1 2005,-0.116897
18026,Food price inflation,Apr 1 2006,3.804743
18027,Food price inflation,Apr 1 2007,1.680154
18028,Food price inflation,Apr 1 2008,6.605475
18029,Food price inflation,Apr 1 2009,2.408228
18030,Food price inflation,Apr 1 2010,-0.906604
18031,Food price inflation,Apr 1 2011,2.728352
18032,Food price inflation,Apr 1 2012,1.650415
18033,Food price inflation,Apr 1 2013,0.638139
18034,Food price inflation,Apr 1 2014,-1.679697
18035,Food price inflation,Apr 1 2015,0.935629
18036,Food price inflation,Apr 1 2016,-1.022434
18037,Food price inflation,Apr 1 2017,1.856604
18038,Food price inflation,Apr 1 2018,-1.036053
18039,Food price inflation,Apr 1 2019,1.342407
18040,Food price inflation,Apr 1 2020,0.985763
18041,Food price inflation,Apr 1 2021,-1.192335
18042,Food price inflation,May 1 2001,4.585
18043,Food price inflation,May 1 2002,2.988324
18044,Food price inflation,May 1 2003,10.252418
18045,Food price inflation,May 1 2004,-0.972932
18046,Food price inflation,May 1 2005,-0.395094
18047,Food price inflation,May 1 2006,2.89906
18048,Food price inflation,May 1 2007,2.01674
18049,Food price inflation,May 1 2008,6.64484
18050,Food price inflation,May 1 2009,2.641998
18051,Food price inflation,May 1 2010,-1.123734
18052,Food price inflation,May 1 2011,3.478991
18053,Food price inflation,May 1 2012,1.74855
18054,Food price inflation,May 1 2013,0.507783
18055,Food price inflation,May 1 2014,-2.927639
18056,Food price inflation,May 1 2015,0.532448
18057,Food price inflation,May 1 2016,0.750445
18058,Food price inflation,May 1 2017,-0.132192
18059,Food price inflation,May 1 2018,0.399058
18060,Food price inflation,May 1 2019,0.455823
18061,Food price inflation,May 1 2020,1.479827
18062,Food price inflation,May 1 2021,-0.153195
18063,Food price inflation,Jun 1 2001,6.832576
18064,Food price inflation,Jun 1 2002,3.885592
18065,Food price inflation,Jun 1 2003,8.861249
18066,Food price inflation,Jun 1 2004,-1.529059
18067,Food price inflation,Jun 1 2005,-0.489473
18068,Food price inflation,Jun 1 2006,3.484678
18069,Food price inflation,Jun 1 2007,2.297356
18070,Food price inflation,Jun 1 2008,5.961553
18071,Food price inflation,Jun 1 2009,3.000409
18072,Food price inflation,Jun 1 2010,-0.817336
18073,Food price inflation,Jun 1 2011,4.11075
18074,Food price inflation,Jun 1 2012,1.956303
18075,Food price inflation,Jun 1 2013,0.843302
18076,Food price inflation,Jun 1 2014,-2.952456
18077,Food price inflation,Jun 1 2015,1.04521
18078,Food price inflation,Jun 1 2016,0.344776
18079,Food price inflation,Jun 1 2017,-0.788402
18080,Food price inflation,Jun 1 2018,1.28383
18081,Food price inflation,Jun 1 2019,-1.135782
