,symbol,date,price
18450,Food price inflation,Jan 1 2001,4.073508
18451,Food price inflation,Jan 1 2002,0.840105
18452,Food price inflation,Jan 1 2003,-1.447692
18453,Food price inflation,Jan 1 2004,2.813193
18454,Food price inflation,Jan 1 2005,2.695781
18455,Food price inflation,Jan 1 2006,6.483791
18456,Food price inflation,Jan 1 2007,4.05522
18457,Food price inflation,Jan 1 2008,12.497039
18458,Food price inflation,Jan 1 2009,12.003791
18459,Food price inflation,Jan 1 2010,-5.988531
18460,Food price inflation,Jan 1 2011,7.13
18461,Food price inflation,Jan 1 2012,6.067395
18462,Food price inflation,Jan 1 2013,0.686438
18463,Food price inflation,Jan 1 2014,0.620575
18464,Food price inflation,Jan 1 2015,1.954482
18465,Food price inflation,Jan 1 2016,-1.610292
18466,Food price inflation,Jan 1 2017,-1.05177
18467,Food price inflation,Jan 1 2018,1.334248
18468,Food price inflation,Jan 1 2019,0.362726
18469,Food price inflation,Jan 1 2020,0.679804
18470,Food price inflation,Jan 1 2021,1.435897
18471,Food price inflation,Feb 1 2001,3.221451
18472,Food price inflation,Feb 1 2002,0.442845
18473,Food price inflation,Feb 1 2003,-0.661339
18474,Food price inflation,Feb 1 2004,2.760055
18475,Food price inflation,Feb 1 2005,3.009853
18476,Food price inflation,Feb 1 2006,5.699686
18477,Food price inflation,Feb 1 2007,4.77253
18478,Food price inflation,Feb 1 2008,12.636062
18479,Food price inflation,Feb 1 2009,11.228992
18480,Food price inflation,Feb 1 2010,-1.954859
18481,Food price inflation,Feb 1 2011,3.303795
18482,Food price inflation,Feb 1 2012,6.265734
18483,Food price inflation,Feb 1 2013,0.48697
18484,Food price inflation,Feb 1 2014,0.388561
18485,Food price inflation,Feb 1 2015,1.957032
18486,Food price inflation,Feb 1 2016,-2.269237
18487,Food price inflation,Feb 1 2017,-0.126277
18488,Food price inflation,Feb 1 2018,1.253908
18489,Food price inflation,Feb 1 2019,0.198533
18490,Food price inflation,Feb 1 2020,0.964852
18491,Food price inflation,Feb 1 2021,1.37372
18492,Food price inflation,Mar 1 2001,2.076171
18493,Food price inflation,Mar 1 2002,0.41841
18494,Food price inflation,Mar 1 2003,0.111111
18495,Food price inflation,Mar 1 2004,2.91343
18496,Food price inflation,Mar 1 2005,2.871394
18497,Food price inflation,Mar 1 2006,5.923208
18498,Food price inflation,Mar 1 2007,4.948658
18499,Food price inflation,Mar 1 2008,13.084994
18500,Food price inflation,Mar 1 2009,9.486084
18501,Food price inflation,Mar 1 2010,-0.476054
18502,Food price inflation,Mar 1 2011,4.065818
18503,Food price inflation,Mar 1 2012,4.384997
18504,Food price inflation,Mar 1 2013,0.72391
18505,Food price inflation,Mar 1 2014,0.27804
18506,Food price inflation,Mar 1 2015,2.179789
18507,Food price inflation,Mar 1 2016,-2.67941
18508,Food price inflation,Mar 1 2017,0.356125
