,symbol,date,rate
20172,Food price inflation,Jan 1 2001,10.093634
20173,Food price inflation,Jan 1 2002,6.050498
20174,Food price inflation,Jan 1 2003,3.084833
20175,Food price inflation,Jan 1 2004,5.486284
20176,Food price inflation,Jan 1 2005,9.535067
20177,Food price inflation,Jan 1 2006,5.899281
20178,Food price inflation,Jan 1 2007,7.133152
20179,Food price inflation,Jan 1 2008,12.428662
20180,Food price inflation,Jan 1 2009,15.736041
20181,Food price inflation,Jan 1 2010,-4.385965
20182,Food price inflation,Jan 1 2011,7.747197
20183,Food price inflation,Jan 1 2012,3.358562
20184,Food price inflation,Jan 1 2013,4.02746
20185,Food price inflation,Jan 1 2014,6.24725
20186,Food price inflation,Jan 1 2015,5.093168
20187,Food price inflation,Jan 1 2016,2.324665
20188,Food price inflation,Jan 1 2017,-0.462072
20189,Food price inflation,Jan 1 2018,5.299807
20190,Food price inflation,Jan 1 2019,1.138868
20191,Food price inflation,Jan 1 2020,3.450781
20192,Food price inflation,Jan 1 2021,3.686798
20193,Food price inflation,Feb 1 2001,10.176559
20194,Food price inflation,Feb 1 2002,5.578743
20195,Food price inflation,Feb 1 2003,3.477463
20196,Food price inflation,Feb 1 2004,5.298013
20197,Food price inflation,Feb 1 2005,10.77044
20198,Food price inflation,Feb 1 2006,4.684173
20199,Food price inflation,Feb 1 2007,7.79661
20200,Food price inflation,Feb 1 2008,12.578616
20201,Food price inflation,Feb 1 2009,14.189944
20202,Food price inflation,Feb 1 2010,-3.424658
20203,Food price inflation,Feb 1 2011,6.990881
20204,Food price inflation,Feb 1 2012,3.787879
20205,Food price inflation,Feb 1 2013,5.018248
20206,Food price inflation,Feb 1 2014,5.299739
20207,Food price inflation,Feb 1 2015,5.239274
20208,Food price inflation,Feb 1 2016,2.038416
20209,Food price inflation,Feb 1 2017,0.422589
20210,Food price inflation,Feb 1 2018,4.437643
20211,Food price inflation,Feb 1 2019,1.282051
20212,Food price inflation,Feb 1 2020,3.001808
20213,Food price inflation,Feb 1 2021,4.073034
