,symbol,date,price
21402,Food price inflation,Jan 1 2001,11.465794
21403,Food price inflation,Jan 1 2002,7.452945
21404,Food price inflation,Jan 1 2003,16.452418
21405,Food price inflation,Jan 1 2004,17.221301
21406,Food price inflation,Jan 1 2005,15.540901
21407,Food price inflation,Jan 1 2006,5.737705
21408,Food price inflation,Jan 1 2007,23.255814
21409,Food price inflation,Jan 1 2008,18.238994
21410,Food price inflation,Jan 1 2009,26.595745
21411,Food price inflation,Jan 1 2010,7.983193
21412,Food price inflation,Jan 1 2011,25.291829
21413,Food price inflation,Jan 1 2012,22.30121
21414,Food price inflation,Jan 1 2013,48.93706
21415,Food price inflation,Jan 1 2014,37.956794
21416,Food price inflation,Jan 1 2015,10.055451
21417,Food price inflation,Jan 1 2016,7.52742
21418,Food price inflation,Jan 1 2017,7.39482
21419,Food price inflation,Jan 1 2018,12.066412
21420,Food price inflation,Jan 1 2019,56.06989
21421,Food price inflation,Jan 1 2020,24.483813
21422,Food price inflation,Jan 1 2021,60.026798
21423,Food price inflation,Feb 1 2001,10.97956
21424,Food price inflation,Feb 1 2002,8.30314
21425,Food price inflation,Feb 1 2003,16.578385
21426,Food price inflation,Feb 1 2004,16.779593
21427,Food price inflation,Feb 1 2005,17.129564
21428,Food price inflation,Feb 1 2006,5.6
21429,Food price inflation,Feb 1 2007,22.727273
21430,Food price inflation,Feb 1 2008,20.987654
21431,Food price inflation,Feb 1 2009,19.387755
21432,Food price inflation,Feb 1 2010,11.111111
21433,Food price inflation,Feb 1 2011,26.538462
21434,Food price inflation,Feb 1 2012,25.60975
21435,Food price inflation,Feb 1 2013,51.900154
21436,Food price inflation,Feb 1 2014,28.397944
21437,Food price inflation,Feb 1 2015,9.958636
21438,Food price inflation,Feb 1 2016,7.452608
21439,Food price inflation,Feb 1 2017,9.59419
21440,Food price inflation,Feb 1 2018,10.783749
21441,Food price inflation,Feb 1 2019,62.779872
21442,Food price inflation,Feb 1 2020,19.971421
21443,Food price inflation,Feb 1 2021,67.139061
21444,Food price inflation,Mar 1 2001,10.502738
21445,Food price inflation,Mar 1 2002,9.144144
21446,Food price inflation,Mar 1 2003,16.701059
21447,Food price inflation,Mar 1 2004,16.350348
21448,Food price inflation,Mar 1 2005,20.539415
21449,Food price inflation,Mar 1 2006,4.615385
21450,Food price inflation,Mar 1 2007,21.323529
21451,Food price inflation,Mar 1 2008,24.242424
21452,Food price inflation,Mar 1 2009,14.634146
21453,Food price inflation,Mar 1 2010,14.468085
21454,Food price inflation,Mar 1 2011,25.650558
21455,Food price inflation,Mar 1 2012,28.345202
21456,Food price inflation,Mar 1 2013,53.750939
21457,Food price inflation,Mar 1 2014,21.905155
21458,Food price inflation,Mar 1 2015,9.552752
21459,Food price inflation,Mar 1 2016,7.006717
21460,Food price inflation,Mar 1 2017,14.183998
21461,Food price inflation,Mar 1 2018,6.288348
21462,Food price inflation,Mar 1 2019,73.235262
21463,Food price inflation,Mar 1 2020,14.720559
21464,Food price inflation,Mar 1 2021,67.07264
21465,Food price inflation,Apr 1 2001,10.035057
21466,Food price inflation,Apr 1 2002,9.976105
21467,Food price inflation,Apr 1 2003,16.820569
21468,Food price inflation,Apr 1 2004,15.956816
21469,Food price inflation,Apr 1 2005,31.192661
21470,Food price inflation,Apr 1 2006,-4.195804
21471,Food price inflation,Apr 1 2007,24.817518
21472,Food price inflation,Apr 1 2008,28.070175
21473,Food price inflation,Apr 1 2009,10.045662
21474,Food price inflation,Apr 1 2010,14.107884
21475,Food price inflation,Apr 1 2011,19.728615
21476,Food price inflation,Apr 1 2012,36.349898
21477,Food price inflation,Apr 1 2013,59.040554
21478,Food price inflation,Apr 1 2014,15.903802
21479,Food price inflation,Apr 1 2015,10.014957
21480,Food price inflation,Apr 1 2016,4.585691
21481,Food price inflation,Apr 1 2017,17.463447
21482,Food price inflation,Apr 1 2018,5.864185
21483,Food price inflation,Apr 1 2019,84.453033
21484,Food price inflation,Apr 1 2020,10.714286
21485,Food price inflation,Apr 1 2021,63.482217
21486,Food price inflation,May 1 2001,9.576257
21487,Food price inflation,May 1 2002,10.799168
21488,Food price inflation,May 1 2003,16.937034
21489,Food price inflation,May 1 2004,16.464396
21490,Food price inflation,May 1 2005,22.522523
21491,Food price inflation,May 1 2006,2.205882
21492,Food price inflation,May 1 2007,22.302158
21493,Food price inflation,May 1 2008,30.588235
21494,Food price inflation,May 1 2009,12.162162
21495,Food price inflation,May 1 2010,10.040161
21496,Food price inflation,May 1 2011,24.779825
21497,Food price inflation,May 1 2012,34.972658
21498,Food price inflation,May 1 2013,55.415671
21499,Food price inflation,May 1 2014,10.816898
21500,Food price inflation,May 1 2015,14.830894
21501,Food price inflation,May 1 2016,3.933052
