,symbol,date,price
22140,Food price inflation,Jan 1 2001,1.5361
22141,Food price inflation,Jan 1 2002,2.874426
22142,Food price inflation,Jan 1 2003,2.352937
22143,Food price inflation,Jan 1 2004,1.867815
22144,Food price inflation,Jan 1 2005,1.551477
22145,Food price inflation,Jan 1 2006,1.666671
22146,Food price inflation,Jan 1 2007,5.601093
22147,Food price inflation,Jan 1 2008,8.279431
22148,Food price inflation,Jan 1 2009,3.584233
22149,Food price inflation,Jan 1 2010,2.53749
22150,Food price inflation,Jan 1 2011,5.736772
22151,Food price inflation,Jan 1 2012,0.744684
22152,Food price inflation,Jan 1 2013,2.956706
22153,Food price inflation,Jan 1 2014,2.666695
22154,Food price inflation,Jan 1 2015,-3.996036
22155,Food price inflation,Jan 1 2016,2.185232
22156,Food price inflation,Jan 1 2017,-1.629335
22157,Food price inflation,Jan 1 2018,-1.138713
22158,Food price inflation,Jan 1 2019,4.712036
22159,Food price inflation,Jan 1 2020,-0.900024
22160,Food price inflation,Jan 1 2021,-0.104415
22161,Food price inflation,Feb 1 2001,0.918846
22162,Food price inflation,Feb 1 2002,2.731411
22163,Food price inflation,Feb 1 2003,3.397327
22164,Food price inflation,Feb 1 2004,1.428573
22165,Food price inflation,Feb 1 2005,1.690145
22166,Food price inflation,Feb 1 2006,2.354576
22167,Food price inflation,Feb 1 2007,4.194856
22168,Food price inflation,Feb 1 2008,11.818175
22169,Food price inflation,Feb 1 2009,0.929162
22170,Food price inflation,Feb 1 2010,2.761791
22171,Food price inflation,Feb 1 2011,6.494953
22172,Food price inflation,Feb 1 2012,-1.261823
22173,Food price inflation,Feb 1 2013,5.00531
22174,Food price inflation,Feb 1 2014,0.608536
22175,Food price inflation,Feb 1 2015,-2.620976
22176,Food price inflation,Feb 1 2016,1.242239
22177,Food price inflation,Feb 1 2017,0.0
22178,Food price inflation,Feb 1 2018,-1.431488
22179,Food price inflation,Feb 1 2019,4.460624
22180,Food price inflation,Feb 1 2020,-1.29103
22181,Food price inflation,Feb 1 2021,-0.129506
