,symbol,date,rate
22386,Food price inflation,Jan 1 2001,3.013186
22387,Food price inflation,Jan 1 2002,4.936021
22388,Food price inflation,Jan 1 2003,2.526129
22389,Food price inflation,Jan 1 2004,3.993202
22390,Food price inflation,Jan 1 2005,-0.653596
22391,Food price inflation,Jan 1 2006,1.069074
22392,Food price inflation,Jan 1 2007,2.603746
22393,Food price inflation,Jan 1 2008,4.520222
22394,Food price inflation,Jan 1 2009,3.793631
22395,Food price inflation,Jan 1 2010,0.292398
22396,Food price inflation,Jan 1 2011,1.621721
22397,Food price inflation,Jan 1 2012,2.366861
22398,Food price inflation,Jan 1 2013,3.082855
22399,Food price inflation,Jan 1 2014,1.308406
22400,Food price inflation,Jan 1 2015,0.092259
22401,Food price inflation,Jan 1 2016,0.376769
22402,Food price inflation,Jan 1 2017,2.297702
22403,Food price inflation,Jan 1 2018,1.269531
22404,Food price inflation,Jan 1 2019,0.675024
22405,Food price inflation,Jan 1 2020,0.574713
22406,Food price inflation,Jan 1 2021,0.666667
22407,Food price inflation,Feb 1 2001,3.568079
22408,Food price inflation,Feb 1 2002,4.351759
22409,Food price inflation,Feb 1 2003,2.345796
22410,Food price inflation,Feb 1 2004,3.989811
22411,Food price inflation,Feb 1 2005,-0.40817
22412,Food price inflation,Feb 1 2006,0.901634
22413,Food price inflation,Feb 1 2007,2.518287
22414,Food price inflation,Feb 1 2008,4.912831
22415,Food price inflation,Feb 1 2009,3.474325
22416,Food price inflation,Feb 1 2010,0.145986
22417,Food price inflation,Feb 1 2011,2.022599
22418,Food price inflation,Feb 1 2012,2.750492
22419,Food price inflation,Feb 1 2013,2.390053
22420,Food price inflation,Feb 1 2014,0.933709
22421,Food price inflation,Feb 1 2015,1.017527
22422,Food price inflation,Feb 1 2016,-0.366254
22423,Food price inflation,Feb 1 2017,3.8
22424,Food price inflation,Feb 1 2018,-0.770713
22425,Food price inflation,Feb 1 2019,1.747573
22426,Food price inflation,Feb 1 2020,0.28626
22427,Food price inflation,Feb 1 2021,0.38059
22428,Food price inflation,Mar 1 2001,3.461176
22429,Food price inflation,Mar 1 2002,4.249546
22430,Food price inflation,Mar 1 2003,2.428451
22431,Food price inflation,Mar 1 2004,3.725661
22432,Food price inflation,Mar 1 2005,-0.244904
22433,Food price inflation,Mar 1 2006,0.981998
22434,Food price inflation,Mar 1 2007,2.350078
22435,Food price inflation,Mar 1 2008,5.463184
22436,Food price inflation,Mar 1 2009,3.003007
