,symbol,date,price
23124,Food price inflation,Jan 1 2001,2.711718
23125,Food price inflation,Jan 1 2002,2.641723
23126,Food price inflation,Jan 1 2003,1.004584
23127,Food price inflation,Jan 1 2004,4.603059
23128,Food price inflation,Jan 1 2005,9.434644
23129,Food price inflation,Jan 1 2006,0.687701
23130,Food price inflation,Jan 1 2007,12.550448
23131,Food price inflation,Jan 1 2008,8.991596
23132,Food price inflation,Jan 1 2009,13.42969
23133,Food price inflation,Jan 1 2010,1.946586
23134,Food price inflation,Jan 1 2011,4.703864
23135,Food price inflation,Jan 1 2012,3.482506
23136,Food price inflation,Jan 1 2013,4.913571
23137,Food price inflation,Jan 1 2014,2.49732
23138,Food price inflation,Jan 1 2015,1.466839
23139,Food price inflation,Jan 1 2016,-2.427819
23140,Food price inflation,Jan 1 2017,-1.411195
23141,Food price inflation,Jan 1 2018,-1.404499
23142,Food price inflation,Jan 1 2019,3.327635
23143,Food price inflation,Jan 1 2020,1.70159
23144,Food price inflation,Jan 1 2021,-0.765842
23145,Food price inflation,Feb 1 2001,2.705604
23146,Food price inflation,Feb 1 2002,1.916551
23147,Food price inflation,Feb 1 2003,3.212039
23148,Food price inflation,Feb 1 2004,3.501926
23149,Food price inflation,Feb 1 2005,10.251032
23150,Food price inflation,Feb 1 2006,-2.216878
23151,Food price inflation,Feb 1 2007,14.199033
23152,Food price inflation,Feb 1 2008,15.369343
23153,Food price inflation,Feb 1 2009,6.87799
23154,Food price inflation,Feb 1 2010,3.228931
23155,Food price inflation,Feb 1 2011,2.411438
23156,Food price inflation,Feb 1 2012,3.548049
23157,Food price inflation,Feb 1 2013,7.107237
23158,Food price inflation,Feb 1 2014,1.800457
23159,Food price inflation,Feb 1 2015,-0.07338
23160,Food price inflation,Feb 1 2016,-3.122509
23161,Food price inflation,Feb 1 2017,0.736222
23162,Food price inflation,Feb 1 2018,1.283577
23163,Food price inflation,Feb 1 2019,0.031065
23164,Food price inflation,Feb 1 2020,2.282322
23165,Food price inflation,Feb 1 2021,0.89157
23166,Food price inflation,Mar 1 2001,2.699517
23167,Food price inflation,Mar 1 2002,2.479815
23168,Food price inflation,Mar 1 2003,3.396807
23169,Food price inflation,Mar 1 2004,3.601966
23170,Food price inflation,Mar 1 2005,8.740768
23171,Food price inflation,Mar 1 2006,-1.883223
23172,Food price inflation,Mar 1 2007,15.248874
23173,Food price inflation,Mar 1 2008,16.775541
23174,Food price inflation,Mar 1 2009,4.301254
23175,Food price inflation,Mar 1 2010,3.502714
23176,Food price inflation,Mar 1 2011,3.534385
23177,Food price inflation,Mar 1 2012,3.195264
23178,Food price inflation,Mar 1 2013,6.580169
23179,Food price inflation,Mar 1 2014,1.779961
23180,Food price inflation,Mar 1 2015,0.114293
23181,Food price inflation,Mar 1 2016,-3.425992
23182,Food price inflation,Mar 1 2017,-0.186944
