,symbol,date,price
24600,Food price inflation,Jan 1 2001,16.961014
24601,Food price inflation,Jan 1 2002,6.902522
24602,Food price inflation,Jan 1 2003,10.20983
24603,Food price inflation,Jan 1 2004,14.758497
24604,Food price inflation,Jan 1 2005,10.132502
24605,Food price inflation,Jan 1 2006,11.018673
24606,Food price inflation,Jan 1 2007,10.982071
24607,Food price inflation,Jan 1 2008,6.46239
24608,Food price inflation,Jan 1 2009,8.580576
24609,Food price inflation,Jan 1 2010,2.873333
24610,Food price inflation,Jan 1 2011,9.693658
24611,Food price inflation,Jan 1 2012,9.097007
24612,Food price inflation,Jan 1 2013,9.161226
24613,Food price inflation,Jan 1 2014,11.485855
24614,Food price inflation,Jan 1 2015,4.533914
24615,Food price inflation,Jan 1 2016,4.366091
24616,Food price inflation,Jan 1 2017,3.461236
24617,Food price inflation,Jan 1 2018,-0.4905
24618,Food price inflation,Jan 1 2019,0.833877
24619,Food price inflation,Jan 1 2020,11.277032
24620,Food price inflation,Jan 1 2021,2.463172
24621,Food price inflation,Feb 1 2001,15.884576
24622,Food price inflation,Feb 1 2002,7.171732
24623,Food price inflation,Feb 1 2003,10.701313
24624,Food price inflation,Feb 1 2004,14.310954
24625,Food price inflation,Feb 1 2005,9.961995
24626,Food price inflation,Feb 1 2006,10.656049
24627,Food price inflation,Feb 1 2007,10.86886
24628,Food price inflation,Feb 1 2008,7.816024
24629,Food price inflation,Feb 1 2009,6.042788
24630,Food price inflation,Feb 1 2010,4.251499
24631,Food price inflation,Feb 1 2011,9.713305
24632,Food price inflation,Feb 1 2012,8.813613
24633,Food price inflation,Feb 1 2013,10.124668
24634,Food price inflation,Feb 1 2014,10.980285
24635,Food price inflation,Feb 1 2015,4.045385
24636,Food price inflation,Feb 1 2016,4.886945
24637,Food price inflation,Feb 1 2017,1.610349
24638,Food price inflation,Feb 1 2018,0.951134
24639,Food price inflation,Feb 1 2019,1.247404
24640,Food price inflation,Feb 1 2020,9.553292
24641,Food price inflation,Feb 1 2021,2.479274
24642,Food price inflation,Mar 1 2001,14.839156
24643,Food price inflation,Mar 1 2002,7.438017
