,symbol,date,price
25338,Food price inflation,Jan 1 2001,4.808133
25339,Food price inflation,Jan 1 2002,8.260296
25340,Food price inflation,Jan 1 2003,24.466967
25341,Food price inflation,Jan 1 2004,5.442765
25342,Food price inflation,Jan 1 2005,3.91815
25343,Food price inflation,Jan 1 2006,4.147168
25344,Food price inflation,Jan 1 2007,10.582584
25345,Food price inflation,Jan 1 2008,18.200925
25346,Food price inflation,Jan 1 2009,14.224751
25347,Food price inflation,Jan 1 2010,2.820448
25348,Food price inflation,Jan 1 2011,4.420936
25349,Food price inflation,Jan 1 2012,10.326151
25350,Food price inflation,Jan 1 2013,7.646749
25351,Food price inflation,Jan 1 2014,3.248397
25352,Food price inflation,Jan 1 2015,5.22594
25353,Food price inflation,Jan 1 2016,10.195629
25354,Food price inflation,Jan 1 2017,8.539046
25355,Food price inflation,Jan 1 2018,7.2288
25356,Food price inflation,Jan 1 2019,5.281044
25357,Food price inflation,Jan 1 2020,5.639227
25358,Food price inflation,Jan 1 2021,13.432037
25359,Food price inflation,Feb 1 2001,4.966054
25360,Food price inflation,Feb 1 2002,10.020622
25361,Food price inflation,Feb 1 2003,22.384644
25362,Food price inflation,Feb 1 2004,5.309796
25363,Food price inflation,Feb 1 2005,3.787517
25364,Food price inflation,Feb 1 2006,5.233494
25365,Food price inflation,Feb 1 2007,9.93114
25366,Food price inflation,Feb 1 2008,18.262806
25367,Food price inflation,Feb 1 2009,13.488701
25368,Food price inflation,Feb 1 2010,3.047681
25369,Food price inflation,Feb 1 2011,4.605529
25370,Food price inflation,Feb 1 2012,10.516724
25371,Food price inflation,Feb 1 2013,7.069552
25372,Food price inflation,Feb 1 2014,3.912388
25373,Food price inflation,Feb 1 2015,5.033058
25374,Food price inflation,Feb 1 2016,11.488132
25375,Food price inflation,Feb 1 2017,6.956547
25376,Food price inflation,Feb 1 2018,6.951328
25377,Food price inflation,Feb 1 2019,5.935531
25378,Food price inflation,Feb 1 2020,5.499755
25379,Food price inflation,Feb 1 2021,13.457336
25380,Food price inflation,Mar 1 2001,5.122766
25381,Food price inflation,Mar 1 2002,11.762238
25382,Food price inflation,Mar 1 2003,20.389009
25383,Food price inflation,Mar 1 2004,5.178046
25384,Food price inflation,Mar 1 2005,3.307954
25385,Food price inflation,Mar 1 2006,5.611093
25386,Food price inflation,Mar 1 2007,10.824427
25387,Food price inflation,Mar 1 2008,17.771043
25388,Food price inflation,Mar 1 2009,12.958768
25389,Food price inflation,Mar 1 2010,3.141416
25390,Food price inflation,Mar 1 2011,4.802982
25391,Food price inflation,Mar 1 2012,10.988201
25392,Food price inflation,Mar 1 2013,6.363499
25393,Food price inflation,Mar 1 2014,4.651094
25394,Food price inflation,Mar 1 2015,4.332435
25395,Food price inflation,Mar 1 2016,13.94342
25396,Food price inflation,Mar 1 2017,5.172054
25397,Food price inflation,Mar 1 2018,6.309377
25398,Food price inflation,Mar 1 2019,6.478523
25399,Food price inflation,Mar 1 2020,5.196835
25400,Food price inflation,Mar 1 2021,14.290456
25401,Food price inflation,Apr 1 2001,5.278281
25402,Food price inflation,Apr 1 2002,13.485439
25403,Food price inflation,Apr 1 2003,18.474758
25404,Food price inflation,Apr 1 2004,5.047499
25405,Food price inflation,Apr 1 2005,2.848183
25406,Food price inflation,Apr 1 2006,5.90799
25407,Food price inflation,Apr 1 2007,15.180613
25408,Food price inflation,Apr 1 2008,14.331084
25409,Food price inflation,Apr 1 2009,12.226344
25410,Food price inflation,Apr 1 2010,2.890545
25411,Food price inflation,Apr 1 2011,5.584845
25412,Food price inflation,Apr 1 2012,10.716747
25413,Food price inflation,Apr 1 2013,6.24549
25414,Food price inflation,Apr 1 2014,5.491214
25415,Food price inflation,Apr 1 2015,4.168281
25416,Food price inflation,Apr 1 2016,14.799664
25417,Food price inflation,Apr 1 2017,4.834545
25418,Food price inflation,Apr 1 2018,4.878067
25419,Food price inflation,Apr 1 2019,6.701392
25420,Food price inflation,Apr 1 2020,8.715447
25421,Food price inflation,Apr 1 2021,11.223959
25422,Food price inflation,May 1 2001,5.432615
25423,Food price inflation,May 1 2002,15.190516
25424,Food price inflation,May 1 2003,16.637013
25425,Food price inflation,May 1 2004,4.918137
25426,Food price inflation,May 1 2005,2.606567
25427,Food price inflation,May 1 2006,9.369457
25428,Food price inflation,May 1 2007,13.329401
25429,Food price inflation,May 1 2008,13.791309
25430,Food price inflation,May 1 2009,11.278401
25431,Food price inflation,May 1 2010,2.988449
25432,Food price inflation,May 1 2011,5.583236
25433,Food price inflation,May 1 2012,10.853452
25434,Food price inflation,May 1 2013,5.926499
25435,Food price inflation,May 1 2014,6.438057
25436,Food price inflation,May 1 2015,4.133305
25437,Food price inflation,May 1 2016,14.631966
25438,Food price inflation,May 1 2017,4.365966
25439,Food price inflation,May 1 2018,4.297399
25440,Food price inflation,May 1 2019,7.063374
25441,Food price inflation,May 1 2020,9.874584
25442,Food price inflation,May 1 2021,10.564001
25443,Food price inflation,Jun 1 2001,5.58578
25444,Food price inflation,Jun 1 2002,16.877753
25445,Food price inflation,Jun 1 2003,14.871277
25446,Food price inflation,Jun 1 2004,4.789946
25447,Food price inflation,Jun 1 2005,2.580946
25448,Food price inflation,Jun 1 2006,10.016077
25449,Food price inflation,Jun 1 2007,13.912027
25450,Food price inflation,Jun 1 2008,13.636947
25451,Food price inflation,Jun 1 2009,10.25081
25452,Food price inflation,Jun 1 2010,2.618543
25453,Food price inflation,Jun 1 2011,6.829156
25454,Food price inflation,Jun 1 2012,10.099412
25455,Food price inflation,Jun 1 2013,5.702081
25456,Food price inflation,Jun 1 2014,6.64099
25457,Food price inflation,Jun 1 2015,4.686562
25458,Food price inflation,Jun 1 2016,13.748984
25459,Food price inflation,Jun 1 2017,4.769411
25460,Food price inflation,Jun 1 2018,4.467274
25461,Food price inflation,Jun 1 2019,6.724796
25462,Food price inflation,Jun 1 2020,11.41415
25463,Food price inflation,Jun 1 2021,9.239696
25464,Food price inflation,Jul 1 2001,5.73779
25465,Food price inflation,Jul 1 2002,18.54743
25466,Food price inflation,Jul 1 2003,13.173399
25467,Food price inflation,Jul 1 2004,4.662908
25468,Food price inflation,Jul 1 2005,2.539055
25469,Food price inflation,Jul 1 2006,9.955114
25470,Food price inflation,Jul 1 2007,14.812655
25471,Food price inflation,Jul 1 2008,14.793651
25472,Food price inflation,Jul 1 2009,8.189937
25473,Food price inflation,Jul 1 2010,3.103325
25474,Food price inflation,Jul 1 2011,7.121157
25475,Food price inflation,Jul 1 2012,9.791654
25476,Food price inflation,Jul 1 2013,5.179073
25477,Food price inflation,Jul 1 2014,6.526486
25478,Food price inflation,Jul 1 2015,5.310304
25479,Food price inflation,Jul 1 2016,12.072625
25480,Food price inflation,Jul 1 2017,6.155178
25481,Food price inflation,Jul 1 2018,4.350178
25482,Food price inflation,Jul 1 2019,6.621416
25483,Food price inflation,Jul 1 2020,12.289637
25484,Food price inflation,Aug 1 2001,5.888657
25485,Food price inflation,Aug 1 2002,20.199818
25486,Food price inflation,Aug 1 2003,11.539541
25487,Food price inflation,Aug 1 2004,4.537008
25488,Food price inflation,Aug 1 2005,2.49744
25489,Food price inflation,Aug 1 2006,11.381074
25490,Food price inflation,Aug 1 2007,14.767509
25491,Food price inflation,Aug 1 2008,15.068151
25492,Food price inflation,Aug 1 2009,6.307323
25493,Food price inflation,Aug 1 2010,3.215154
25494,Food price inflation,Aug 1 2011,7.946926
25495,Food price inflation,Aug 1 2012,9.15976
25496,Food price inflation,Aug 1 2013,4.873478
25497,Food price inflation,Aug 1 2014,6.05338
25498,Food price inflation,Aug 1 2015,6.771287
25499,Food price inflation,Aug 1 2016,11.303736
25500,Food price inflation,Aug 1 2017,5.841446
25501,Food price inflation,Aug 1 2018,3.997792
25502,Food price inflation,Aug 1 2019,7.470103
25503,Food price inflation,Aug 1 2020,12.930886
25504,Food price inflation,Sep 1 2001,6.038394
25505,Food price inflation,Sep 1 2002,21.835186
25506,Food price inflation,Sep 1 2003,9.966149
25507,Food price inflation,Sep 1 2004,4.412232
25508,Food price inflation,Sep 1 2005,2.815362
25509,Food price inflation,Sep 1 2006,11.261118
