,symbol,date,price
25584,Food price inflation,Jan 1 2001,24.979285
25585,Food price inflation,Jan 1 2002,19.516562
25586,Food price inflation,Jan 1 2003,12.808989
25587,Food price inflation,Jan 1 2004,4.249668
25588,Food price inflation,Jan 1 2005,15.732484
25589,Food price inflation,Jan 1 2006,3.512667
25590,Food price inflation,Jan 1 2007,17.405384
25591,Food price inflation,Jan 1 2008,28.270988
25592,Food price inflation,Jan 1 2009,5.207633
25593,Food price inflation,Jan 1 2010,9.375998
25594,Food price inflation,Jan 1 2011,6.341606
25595,Food price inflation,Jan 1 2012,11.910384
25596,Food price inflation,Jan 1 2013,13.375859
25597,Food price inflation,Jan 1 2014,5.548342
25598,Food price inflation,Jan 1 2015,11.768083
25599,Food price inflation,Jan 1 2016,7.404583
25600,Food price inflation,Jan 1 2017,11.394533
25601,Food price inflation,Jan 1 2018,8.032461
25602,Food price inflation,Jan 1 2019,30.170187
25603,Food price inflation,Jan 1 2020,22.180761
25604,Food price inflation,Jan 1 2021,16.31
25605,Food price inflation,Feb 1 2001,21.883308
25606,Food price inflation,Feb 1 2002,22.392086
25607,Food price inflation,Feb 1 2003,11.021308
25608,Food price inflation,Feb 1 2004,3.904699
25609,Food price inflation,Feb 1 2005,16.11465
25610,Food price inflation,Feb 1 2006,1.574597
25611,Food price inflation,Feb 1 2007,19.467571
25612,Food price inflation,Feb 1 2008,24.649402
25613,Food price inflation,Feb 1 2009,5.91524
25614,Food price inflation,Feb 1 2010,6.653633
25615,Food price inflation,Feb 1 2011,12.629842
25616,Food price inflation,Feb 1 2012,13.953236
25617,Food price inflation,Feb 1 2013,7.736253
25618,Food price inflation,Feb 1 2014,6.403005
25619,Food price inflation,Feb 1 2015,12.400847
25620,Food price inflation,Feb 1 2016,5.470547
25621,Food price inflation,Feb 1 2017,9.869647
25622,Food price inflation,Feb 1 2018,11.581091
25623,Food price inflation,Feb 1 2019,27.612052
25624,Food price inflation,Feb 1 2020,25.265355
25625,Food price inflation,Feb 1 2021,14.008308
25626,Food price inflation,Mar 1 2001,20.200052
25627,Food price inflation,Mar 1 2002,23.771224
25628,Food price inflation,Mar 1 2003,10.180505
25629,Food price inflation,Mar 1 2004,3.079948
25630,Food price inflation,Mar 1 2005,16.783217
25631,Food price inflation,Mar 1 2006,2.178475
25632,Food price inflation,Mar 1 2007,18.140337
25633,Food price inflation,Mar 1 2008,22.470174
25634,Food price inflation,Mar 1 2009,5.83783
25635,Food price inflation,Mar 1 2010,10.94557
25636,Food price inflation,Mar 1 2011,8.105043
25637,Food price inflation,Mar 1 2012,12.786397
25638,Food price inflation,Mar 1 2013,13.676636
25639,Food price inflation,Mar 1 2014,5.477329
25640,Food price inflation,Mar 1 2015,14.28863
25641,Food price inflation,Mar 1 2016,5.608081
25642,Food price inflation,Mar 1 2017,4.675248
25643,Food price inflation,Mar 1 2018,17.402551
25644,Food price inflation,Mar 1 2019,23.412647
25645,Food price inflation,Mar 1 2020,30.481966
25646,Food price inflation,Mar 1 2021,6.622737
25647,Food price inflation,Apr 1 2001,24.480283
25648,Food price inflation,Apr 1 2002,17.8511
25649,Food price inflation,Apr 1 2003,9.691314
25650,Food price inflation,Apr 1 2004,3.010471
25651,Food price inflation,Apr 1 2005,15.756036
25652,Food price inflation,Apr 1 2006,2.842097
25653,Food price inflation,Apr 1 2007,24.804469
25654,Food price inflation,Apr 1 2008,15.69952
25655,Food price inflation,Apr 1 2009,7.357907
25656,Food price inflation,Apr 1 2010,8.675141
25657,Food price inflation,Apr 1 2011,9.025684
25658,Food price inflation,Apr 1 2012,11.718188
25659,Food price inflation,Apr 1 2013,15.008415
25660,Food price inflation,Apr 1 2014,5.423087
25661,Food price inflation,Apr 1 2015,14.123608
25662,Food price inflation,Apr 1 2016,3.050599
25663,Food price inflation,Apr 1 2017,6.818601
25664,Food price inflation,Apr 1 2018,20.087535
25665,Food price inflation,Apr 1 2019,26.500587
25666,Food price inflation,Apr 1 2020,30.237872
25667,Food price inflation,Apr 1 2021,0.178339
25668,Food price inflation,May 1 2001,22.192071
25669,Food price inflation,May 1 2002,18.681319
25670,Food price inflation,May 1 2003,8.903134
25671,Food price inflation,May 1 2004,3.008502
25672,Food price inflation,May 1 2005,15.428571
25673,Food price inflation,May 1 2006,6.554585
25674,Food price inflation,May 1 2007,16.437414
25675,Food price inflation,May 1 2008,26.284702
