,symbol,date,price
26814,Food price inflation,Jan 1 2001,19.253597
26815,Food price inflation,Jan 1 2002,15.395634
26816,Food price inflation,Jan 1 2003,8.737035
26817,Food price inflation,Jan 1 2004,3.383214
26818,Food price inflation,Jan 1 2005,15.481435
26819,Food price inflation,Jan 1 2006,17.929155
26820,Food price inflation,Jan 1 2007,9.704251
26821,Food price inflation,Jan 1 2008,6.73968
26822,Food price inflation,Jan 1 2009,8.326756
26823,Food price inflation,Jan 1 2010,6.739526
26824,Food price inflation,Jan 1 2011,2.935154
26825,Food price inflation,Jan 1 2012,6.067639
26826,Food price inflation,Jan 1 2013,26.951473
26827,Food price inflation,Jan 1 2014,16.226856
26828,Food price inflation,Jan 1 2015,21.513158
26829,Food price inflation,Jan 1 2016,28.478614
26830,Food price inflation,Jan 1 2017,21.070375
26831,Food price inflation,Jan 1 2018,7.558949
26832,Food price inflation,Jan 1 2019,10.658946
26833,Food price inflation,Jan 1 2020,17.681401
26834,Food price inflation,Jan 1 2021,9.653734
26835,Food price inflation,Feb 1 2001,18.667884
26836,Food price inflation,Feb 1 2002,16.624944
26837,Food price inflation,Feb 1 2003,8.379454
26838,Food price inflation,Feb 1 2004,3.901825
26839,Food price inflation,Feb 1 2005,15.505754
26840,Food price inflation,Feb 1 2006,19.926586
26841,Food price inflation,Feb 1 2007,9.051159
26842,Food price inflation,Feb 1 2008,6.736167
26843,Food price inflation,Feb 1 2009,8.752817
26844,Food price inflation,Feb 1 2010,6.804836
26845,Food price inflation,Feb 1 2011,3.622251
26846,Food price inflation,Feb 1 2012,6.803995
26847,Food price inflation,Feb 1 2013,31.854215
26848,Food price inflation,Feb 1 2014,12.802784
26849,Food price inflation,Feb 1 2015,18.974985
26850,Food price inflation,Feb 1 2016,28.615385
26851,Food price inflation,Feb 1 2017,17.54386
26852,Food price inflation,Feb 1 2018,7.301091
26853,Food price inflation,Feb 1 2019,10.807661
26854,Food price inflation,Feb 1 2020,17.005696
26855,Food price inflation,Feb 1 2021,10.331618
26856,Food price inflation,Mar 1 2001,19.613233
26857,Food price inflation,Mar 1 2002,19.453963
26858,Food price inflation,Mar 1 2003,7.724309
26859,Food price inflation,Mar 1 2004,5.154639
26860,Food price inflation,Mar 1 2005,17.095588
26861,Food price inflation,Mar 1 2006,19.152276
26862,Food price inflation,Mar 1 2007,8.256478
26863,Food price inflation,Mar 1 2008,6.93712
26864,Food price inflation,Mar 1 2009,8.725341
26865,Food price inflation,Mar 1 2010,6.769016
26866,Food price inflation,Mar 1 2011,3.72549
26867,Food price inflation,Mar 1 2012,7.466919
26868,Food price inflation,Mar 1 2013,30.627148
26869,Food price inflation,Mar 1 2014,11.999374
26870,Food price inflation,Mar 1 2015,17.050404
26871,Food price inflation,Mar 1 2016,26.422116
26872,Food price inflation,Mar 1 2017,17.031119
26873,Food price inflation,Mar 1 2018,10.580171
26874,Food price inflation,Mar 1 2019,14.360018
26875,Food price inflation,Mar 1 2020,14.748784
26876,Food price inflation,Mar 1 2021,13.48597
26877,Food price inflation,Apr 1 2001,21.35271
26878,Food price inflation,Apr 1 2002,22.832221
26879,Food price inflation,Apr 1 2003,7.854562
26880,Food price inflation,Apr 1 2004,5.842848
26881,Food price inflation,Apr 1 2005,17.829949
26882,Food price inflation,Apr 1 2006,18.470652
26883,Food price inflation,Apr 1 2007,7.863636
26884,Food price inflation,Apr 1 2008,6.447535
26885,Food price inflation,Apr 1 2009,8.313539
26886,Food price inflation,Apr 1 2010,6.323099
26887,Food price inflation,Apr 1 2011,3.265727
26888,Food price inflation,Apr 1 2012,8.921438
26889,Food price inflation,Apr 1 2013,29.590494
26890,Food price inflation,Apr 1 2014,11.978831
26891,Food price inflation,Apr 1 2015,18.116416
26892,Food price inflation,Apr 1 2016,24.363234
26893,Food price inflation,Apr 1 2017,14.692787
26894,Food price inflation,Apr 1 2018,9.939286
26895,Food price inflation,Apr 1 2019,13.897281
26896,Food price inflation,Apr 1 2020,14.588859
26897,Food price inflation,Apr 1 2021,11.553971
26898,Food price inflation,May 1 2001,22.615747
26899,Food price inflation,May 1 2002,25.923228
26900,Food price inflation,May 1 2003,5.690368
26901,Food price inflation,May 1 2004,5.956552
26902,Food price inflation,May 1 2005,18.584656
26903,Food price inflation,May 1 2006,18.126046
26904,Food price inflation,May 1 2007,7.176582
26905,Food price inflation,May 1 2008,6.035242
26906,Food price inflation,May 1 2009,7.436643
26907,Food price inflation,May 1 2010,5.761794
26908,Food price inflation,May 1 2011,2.669104
26909,Food price inflation,May 1 2012,12.713675
26910,Food price inflation,May 1 2013,28.001008
26911,Food price inflation,May 1 2014,11.836373
26912,Food price inflation,May 1 2015,21.363726
26913,Food price inflation,May 1 2016,25.65675
26914,Food price inflation,May 1 2017,11.191011
26915,Food price inflation,May 1 2018,12.627117
26916,Food price inflation,May 1 2019,12.999346
26917,Food price inflation,May 1 2020,13.768116
26918,Food price inflation,May 1 2021,10.92104
26919,Food price inflation,Jun 1 2001,24.658636
26920,Food price inflation,Jun 1 2002,27.667223
26921,Food price inflation,Jun 1 2003,3.965871
26922,Food price inflation,Jun 1 2004,6.330068
26923,Food price inflation,Jun 1 2005,19.560595
26924,Food price inflation,Jun 1 2006,17.54594
26925,Food price inflation,Jun 1 2007,6.807867
26926,Food price inflation,Jun 1 2008,6.468366
26927,Food price inflation,Jun 1 2009,7.050998
26928,Food price inflation,Jun 1 2010,5.302403
26929,Food price inflation,Jun 1 2011,2.242329
