,symbol,date,rate
36654,Food price inflation,Jan 1 2001,19.827953
36655,Food price inflation,Jan 1 2002,6.612927
36656,Food price inflation,Jan 1 2003,4.116011
36657,Food price inflation,Jan 1 2004,17.647448
36658,Food price inflation,Jan 1 2005,14.606278
36659,Food price inflation,Jan 1 2006,9.00645
36660,Food price inflation,Jan 1 2007,7.726908
36661,Food price inflation,Jan 1 2008,17.141244
36662,Food price inflation,Jan 1 2009,3.576274
36663,Food price inflation,Jan 1 2010,-0.56589
36664,Food price inflation,Jan 1 2011,7.163863
36665,Food price inflation,Jan 1 2012,5.03677
36666,Food price inflation,Jan 1 2013,6.773501
36667,Food price inflation,Jan 1 2014,7.299028
36668,Food price inflation,Jan 1 2015,4.565922
36669,Food price inflation,Jan 1 2016,14.603579
36670,Food price inflation,Jan 1 2017,3.782092
36671,Food price inflation,Jan 1 2018,8.058735
36672,Food price inflation,Jan 1 2019,2.970759
36673,Food price inflation,Jan 1 2020,11.522398
36674,Food price inflation,Jan 1 2021,1.263438
36675,Food price inflation,Feb 1 2001,18.646399
36676,Food price inflation,Feb 1 2002,5.019828
36677,Food price inflation,Feb 1 2003,6.221752
36678,Food price inflation,Feb 1 2004,16.94741
36679,Food price inflation,Feb 1 2005,17.462916
36680,Food price inflation,Feb 1 2006,7.309557
36681,Food price inflation,Feb 1 2007,6.875468
36682,Food price inflation,Feb 1 2008,19.591766
36683,Food price inflation,Feb 1 2009,-1.272539
36684,Food price inflation,Feb 1 2010,4.418977
36685,Food price inflation,Feb 1 2011,5.855488
36686,Food price inflation,Feb 1 2012,4.952254
36687,Food price inflation,Feb 1 2013,5.544291
36688,Food price inflation,Feb 1 2014,7.942004
36689,Food price inflation,Feb 1 2015,6.032239
36690,Food price inflation,Feb 1 2016,11.770877
36691,Food price inflation,Feb 1 2017,4.799733
36692,Food price inflation,Feb 1 2018,7.730142
36693,Food price inflation,Feb 1 2019,3.54434
36694,Food price inflation,Feb 1 2020,11.042031
36695,Food price inflation,Feb 1 2021,1.800588
36696,Food price inflation,Mar 1 2001,19.601624
36697,Food price inflation,Mar 1 2002,5.124025
36698,Food price inflation,Mar 1 2003,7.173689
36699,Food price inflation,Mar 1 2004,15.79277
36700,Food price inflation,Mar 1 2005,18.166135
36701,Food price inflation,Mar 1 2006,7.41641
36702,Food price inflation,Mar 1 2007,5.605472
36703,Food price inflation,Mar 1 2008,21.868282
36704,Food price inflation,Mar 1 2009,-4.572958
36705,Food price inflation,Mar 1 2010,7.180671
36706,Food price inflation,Mar 1 2011,5.634157
36707,Food price inflation,Mar 1 2012,4.149099
36708,Food price inflation,Mar 1 2013,5.524977
36709,Food price inflation,Mar 1 2014,8.447989
36710,Food price inflation,Mar 1 2015,6.97292
36711,Food price inflation,Mar 1 2016,10.070571
36712,Food price inflation,Mar 1 2017,5.044067
36713,Food price inflation,Mar 1 2018,8.450381
36714,Food price inflation,Mar 1 2019,3.778318
36715,Food price inflation,Mar 1 2020,10.498108
36716,Food price inflation,Mar 1 2021,3.023963
36717,Food price inflation,Apr 1 2001,21.139814
36718,Food price inflation,Apr 1 2002,5.944829
36719,Food price inflation,Apr 1 2003,6.550943
36720,Food price inflation,Apr 1 2004,13.987582
36721,Food price inflation,Apr 1 2005,19.101476
36722,Food price inflation,Apr 1 2006,7.310853
36723,Food price inflation,Apr 1 2007,5.917027
36724,Food price inflation,Apr 1 2008,22.823996
36725,Food price inflation,Apr 1 2009,-6.893335
36726,Food price inflation,Apr 1 2010,6.966536
36727,Food price inflation,Apr 1 2011,6.893072
36728,Food price inflation,Apr 1 2012,2.947574
36729,Food price inflation,Apr 1 2013,6.131693
36730,Food price inflation,Apr 1 2014,8.650881
36731,Food price inflation,Apr 1 2015,7.806548
36732,Food price inflation,Apr 1 2016,9.271758
36733,Food price inflation,Apr 1 2017,6.953194
36734,Food price inflation,Apr 1 2018,6.508828
36735,Food price inflation,Apr 1 2019,4.531896
36736,Food price inflation,Apr 1 2020,9.957902
36737,Food price inflation,Apr 1 2021,5.182299
36738,Food price inflation,May 1 2001,19.471882
36739,Food price inflation,May 1 2002,8.163362
36740,Food price inflation,May 1 2003,4.470094
36741,Food price inflation,May 1 2004,13.759958
36742,Food price inflation,May 1 2005,18.507837
36743,Food price inflation,May 1 2006,9.355197
36744,Food price inflation,May 1 2007,5.917736
36745,Food price inflation,May 1 2008,24.395843
36746,Food price inflation,May 1 2009,-9.789002
36747,Food price inflation,May 1 2010,6.21523
36748,Food price inflation,May 1 2011,8.053616
36749,Food price inflation,May 1 2012,1.987387
36750,Food price inflation,May 1 2013,10.155719
36751,Food price inflation,May 1 2014,5.606718
36752,Food price inflation,May 1 2015,9.024733
36753,Food price inflation,May 1 2016,8.051238
36754,Food price inflation,May 1 2017,9.102605
36755,Food price inflation,May 1 2018,3.874721
36756,Food price inflation,May 1 2019,8.042804
36757,Food price inflation,May 1 2020,7.788549
36758,Food price inflation,May 1 2021,5.07278
36759,Food price inflation,Jun 1 2001,10.204594
36760,Food price inflation,Jun 1 2002,2.793745
36761,Food price inflation,Jun 1 2003,13.601924
36762,Food price inflation,Jun 1 2004,10.749373
36763,Food price inflation,Jun 1 2005,16.597691
36764,Food price inflation,Jun 1 2006,11.370021
36765,Food price inflation,Jun 1 2007,5.06567
36766,Food price inflation,Jun 1 2008,21.623331
36767,Food price inflation,Jun 1 2009,-8.199682
36768,Food price inflation,Jun 1 2010,5.458056
36769,Food price inflation,Jun 1 2011,11.233761
36770,Food price inflation,Jun 1 2012,0.89059
36771,Food price inflation,Jun 1 2013,9.318832
36772,Food price inflation,Jun 1 2014,6.331778
36773,Food price inflation,Jun 1 2015,9.179187
36774,Food price inflation,Jun 1 2016,7.577656
36775,Food price inflation,Jun 1 2017,8.984321
36776,Food price inflation,Jun 1 2018,4.727724
36777,Food price inflation,Jun 1 2019,7.310346
36778,Food price inflation,Jun 1 2020,8.484645
36779,Food price inflation,Jun 1 2021,4.643658
36780,Food price inflation,Jul 1 2001,5.506331
36781,Food price inflation,Jul 1 2002,3.326915
36782,Food price inflation,Jul 1 2003,17.696849
36783,Food price inflation,Jul 1 2004,10.52895
36784,Food price inflation,Jul 1 2005,11.952051
36785,Food price inflation,Jul 1 2006,11.13918
36786,Food price inflation,Jul 1 2007,10.963127
36787,Food price inflation,Jul 1 2008,15.758152
36788,Food price inflation,Jul 1 2009,-7.250626
36789,Food price inflation,Jul 1 2010,6.711351
36790,Food price inflation,Jul 1 2011,11.482393
36791,Food price inflation,Jul 1 2012,2.125775
36792,Food price inflation,Jul 1 2013,5.945386
36793,Food price inflation,Jul 1 2014,7.07947
36794,Food price inflation,Jul 1 2015,8.71359
36795,Food price inflation,Jul 1 2016,7.929877
36796,Food price inflation,Jul 1 2017,8.91717
36797,Food price inflation,Jul 1 2018,5.13336
36798,Food price inflation,Jul 1 2019,8.649628
36799,Food price inflation,Jul 1 2020,8.117522
36800,Food price inflation,Aug 1 2001,3.31125
36801,Food price inflation,Aug 1 2002,2.804009
36802,Food price inflation,Aug 1 2003,19.852249
36803,Food price inflation,Aug 1 2004,10.860292
36804,Food price inflation,Aug 1 2005,10.836586
36805,Food price inflation,Aug 1 2006,8.45653
36806,Food price inflation,Aug 1 2007,16.910695
36807,Food price inflation,Aug 1 2008,10.774944
36808,Food price inflation,Aug 1 2009,-8.104353
36809,Food price inflation,Aug 1 2010,7.262584
36810,Food price inflation,Aug 1 2011,13.562687
36811,Food price inflation,Aug 1 2012,3.486364
36812,Food price inflation,Aug 1 2013,4.217264
36813,Food price inflation,Aug 1 2014,6.597411
36814,Food price inflation,Aug 1 2015,10.910169
36815,Food price inflation,Aug 1 2016,6.216599
36816,Food price inflation,Aug 1 2017,8.350495
36817,Food price inflation,Aug 1 2018,6.552509
36818,Food price inflation,Aug 1 2019,8.311008
36819,Food price inflation,Aug 1 2020,7.590937
36820,Food price inflation,Sep 1 2001,2.802639
36821,Food price inflation,Sep 1 2002,2.701358
36822,Food price inflation,Sep 1 2003,21.15869
36823,Food price inflation,Sep 1 2004,9.448465
36824,Food price inflation,Sep 1 2005,10.287577
36825,Food price inflation,Sep 1 2006,9.428978
36826,Food price inflation,Sep 1 2007,17.373045
36827,Food price inflation,Sep 1 2008,10.447934
36828,Food price inflation,Sep 1 2009,-8.195286
36829,Food price inflation,Sep 1 2010,8.086318
36830,Food price inflation,Sep 1 2011,11.398503
36831,Food price inflation,Sep 1 2012,5.106853
36832,Food price inflation,Sep 1 2013,5.14007
36833,Food price inflation,Sep 1 2014,4.679011
36834,Food price inflation,Sep 1 2015,12.5788
36835,Food price inflation,Sep 1 2016,4.551481
36836,Food price inflation,Sep 1 2017,9.390416
36837,Food price inflation,Sep 1 2018,4.957793
36838,Food price inflation,Sep 1 2019,9.336081
36839,Food price inflation,Sep 1 2020,5.914719
36840,Food price inflation,Oct 1 2001,3.108559
36841,Food price inflation,Oct 1 2002,3.106832
36842,Food price inflation,Oct 1 2003,21.99065
36843,Food price inflation,Oct 1 2004,10.302392
36844,Food price inflation,Oct 1 2005,9.11293
36845,Food price inflation,Oct 1 2006,9.643337
36846,Food price inflation,Oct 1 2007,17.373858
36847,Food price inflation,Oct 1 2008,9.47713
36848,Food price inflation,Oct 1 2009,-6.838885
36849,Food price inflation,Oct 1 2010,8.189708
36850,Food price inflation,Oct 1 2011,9.270068
36851,Food price inflation,Oct 1 2012,4.744922
36852,Food price inflation,Oct 1 2013,6.934301
36853,Food price inflation,Oct 1 2014,4.797046
36854,Food price inflation,Oct 1 2015,13.51397
36855,Food price inflation,Oct 1 2016,3.497194
36856,Food price inflation,Oct 1 2017,10.611889
36857,Food price inflation,Oct 1 2018,1.95669
36858,Food price inflation,Oct 1 2019,10.676466
36859,Food price inflation,Oct 1 2020,3.948841
36860,Food price inflation,Nov 1 2001,4.028835
36861,Food price inflation,Nov 1 2002,3.10742
36862,Food price inflation,Nov 1 2003,22.230939
36863,Food price inflation,Nov 1 2004,10.952632
