,symbol,date,price
30012,Food price inflation,Jan 1 2001,1.317187
30013,Food price inflation,Jan 1 2002,-0.571399
30014,Food price inflation,Jan 1 2003,4.001687
30015,Food price inflation,Jan 1 2004,1.358613
30016,Food price inflation,Jan 1 2005,1.455437
30017,Food price inflation,Jan 1 2006,0.5965
30018,Food price inflation,Jan 1 2007,3.837597
30019,Food price inflation,Jan 1 2008,4.607843
30020,Food price inflation,Jan 1 2009,5.904405
30021,Food price inflation,Jan 1 2010,-2.477876
30022,Food price inflation,Jan 1 2011,4.355717
30023,Food price inflation,Jan 1 2012,1.652174
30024,Food price inflation,Jan 1 2013,4.362703
30025,Food price inflation,Jan 1 2014,-0.57377
30026,Food price inflation,Jan 1 2015,2.061006
30027,Food price inflation,Jan 1 2016,-0.403877
30028,Food price inflation,Jan 1 2017,2.919708
30029,Food price inflation,Jan 1 2018,1.733649
30030,Food price inflation,Jan 1 2019,-3.098373
30031,Food price inflation,Jan 1 2020,1.358913
30032,Food price inflation,Jan 1 2021,-1.253399
30033,Food price inflation,Feb 1 2001,1.103331
30034,Food price inflation,Feb 1 2002,-0.136411
30035,Food price inflation,Feb 1 2003,3.751182
30036,Food price inflation,Feb 1 2004,1.377355
30037,Food price inflation,Feb 1 2005,1.348651
30038,Food price inflation,Feb 1 2006,0.896994
30039,Food price inflation,Feb 1 2007,2.79252
30040,Food price inflation,Feb 1 2008,5.923001
30041,Food price inflation,Feb 1 2009,6.244175
30042,Food price inflation,Feb 1 2010,-1.315789
30043,Food price inflation,Feb 1 2011,4.088889
30044,Food price inflation,Feb 1 2012,0.512383
30045,Food price inflation,Feb 1 2013,3.483432
30046,Food price inflation,Feb 1 2014,-1.149425
30047,Food price inflation,Feb 1 2015,1.744186
30048,Food price inflation,Feb 1 2016,1.061224
30049,Food price inflation,Feb 1 2017,1.696284
30050,Food price inflation,Feb 1 2018,1.27085
30051,Food price inflation,Feb 1 2019,-2.039216
30052,Food price inflation,Feb 1 2020,1.200961
30053,Food price inflation,Feb 1 2021,-1.139425
30054,Food price inflation,Mar 1 2001,0.890019
30055,Food price inflation,Mar 1 2002,0.299307
30056,Food price inflation,Mar 1 2003,3.502434
30057,Food price inflation,Mar 1 2004,1.396055
30058,Food price inflation,Mar 1 2005,1.242143
30059,Food price inflation,Mar 1 2006,1.197339
30060,Food price inflation,Mar 1 2007,3.675957
30061,Food price inflation,Mar 1 2008,7.414634
30062,Food price inflation,Mar 1 2009,4.813806
30063,Food price inflation,Mar 1 2010,0.953206
30064,Food price inflation,Mar 1 2011,0.257511
30065,Food price inflation,Mar 1 2012,0.856164
30066,Food price inflation,Mar 1 2013,2.29202
30067,Food price inflation,Mar 1 2014,-0.912863
30068,Food price inflation,Mar 1 2015,2.093802
30069,Food price inflation,Mar 1 2016,3.69155
30070,Food price inflation,Mar 1 2017,-1.81962
