,symbol,date,rate
31488,Food price inflation,Jan 1 2001,0.76238
31489,Food price inflation,Jan 1 2002,2.538538
31490,Food price inflation,Jan 1 2003,2.358458
31491,Food price inflation,Jan 1 2004,1.805565
31492,Food price inflation,Jan 1 2005,1.204421
31493,Food price inflation,Jan 1 2006,1.4778
31494,Food price inflation,Jan 1 2007,2.879696
31495,Food price inflation,Jan 1 2008,1.566464
31496,Food price inflation,Jan 1 2009,3.882066
31497,Food price inflation,Jan 1 2010,1.875811
31498,Food price inflation,Jan 1 2011,3.647633
31499,Food price inflation,Jan 1 2012,2.666405
31500,Food price inflation,Jan 1 2013,2.558961
31501,Food price inflation,Jan 1 2014,-0.707569
31502,Food price inflation,Jan 1 2015,1.415846
31503,Food price inflation,Jan 1 2016,1.599482
31504,Food price inflation,Jan 1 2017,1.810902
31505,Food price inflation,Jan 1 2018,1.337189
31506,Food price inflation,Jan 1 2019,-3.577661
31507,Food price inflation,Jan 1 2020,1.176471
31508,Food price inflation,Jan 1 2021,4.919499
31509,Food price inflation,Feb 1 2001,0.925794
31510,Food price inflation,Feb 1 2002,2.526108
31511,Food price inflation,Feb 1 2003,2.312457
31512,Food price inflation,Feb 1 2004,1.748957
31513,Food price inflation,Feb 1 2005,1.216448
31514,Food price inflation,Feb 1 2006,1.619856
31515,Food price inflation,Feb 1 2007,2.736856
31516,Food price inflation,Feb 1 2008,1.785558
31517,Food price inflation,Feb 1 2009,3.704228
31518,Food price inflation,Feb 1 2010,1.231066
31519,Food price inflation,Feb 1 2011,6.595202
31520,Food price inflation,Feb 1 2012,-0.028733
31521,Food price inflation,Feb 1 2013,2.960337
31522,Food price inflation,Feb 1 2014,0.483856
31523,Food price inflation,Feb 1 2015,1.342717
31524,Food price inflation,Feb 1 2016,0.274123
31525,Food price inflation,Feb 1 2017,2.051212
31526,Food price inflation,Feb 1 2018,1.501767
31527,Food price inflation,Feb 1 2019,-4.35161
31528,Food price inflation,Feb 1 2020,2.092812
31529,Food price inflation,Feb 1 2021,5.882353
31530,Food price inflation,Mar 1 2001,1.089045
31531,Food price inflation,Mar 1 2002,2.51373
31532,Food price inflation,Mar 1 2003,2.266639
