,symbol,date,price
31734,Food price inflation,Jan 1 2001,3.870552
31735,Food price inflation,Jan 1 2002,6.791482
31736,Food price inflation,Jan 1 2003,-0.103122
31737,Food price inflation,Jan 1 2004,-0.103233
31738,Food price inflation,Jan 1 2005,0.861184
31739,Food price inflation,Jan 1 2006,1.468572
31740,Food price inflation,Jan 1 2007,4.072711
31741,Food price inflation,Jan 1 2008,4.786545
31742,Food price inflation,Jan 1 2009,10.123449
31743,Food price inflation,Jan 1 2010,0.868836
31744,Food price inflation,Jan 1 2011,4.973609
31745,Food price inflation,Jan 1 2012,1.058756
31746,Food price inflation,Jan 1 2013,-0.550029
31747,Food price inflation,Jan 1 2014,0.895448
31748,Food price inflation,Jan 1 2015,0.660631
31749,Food price inflation,Jan 1 2016,-1.491146
31750,Food price inflation,Jan 1 2017,1.229896
31751,Food price inflation,Jan 1 2018,0.280374
31752,Food price inflation,Jan 1 2019,0.0
31753,Food price inflation,Jan 1 2020,3.634669
31754,Food price inflation,Jan 1 2021,0.989448
31755,Food price inflation,Feb 1 2001,4.579932
31756,Food price inflation,Feb 1 2002,6.143223
31757,Food price inflation,Feb 1 2003,-0.513696
31758,Food price inflation,Feb 1 2004,0.0
31759,Food price inflation,Feb 1 2005,1.101556
31760,Food price inflation,Feb 1 2006,1.498119
31761,Food price inflation,Feb 1 2007,4.092594
31762,Food price inflation,Feb 1 2008,5.091845
31763,Food price inflation,Feb 1 2009,9.904935
31764,Food price inflation,Feb 1 2010,0.809147
31765,Food price inflation,Feb 1 2011,5.009692
31766,Food price inflation,Feb 1 2012,0.685293
31767,Food price inflation,Feb 1 2013,-0.314142
31768,Food price inflation,Feb 1 2014,0.682777
31769,Food price inflation,Feb 1 2015,-0.355521
31770,Food price inflation,Feb 1 2016,-1.317027
31771,Food price inflation,Feb 1 2017,2.192564
31772,Food price inflation,Feb 1 2018,-0.746269
31773,Food price inflation,Feb 1 2019,1.315789
31774,Food price inflation,Feb 1 2020,2.875696
31775,Food price inflation,Feb 1 2021,1.393808
31776,Food price inflation,Mar 1 2001,5.227257
31777,Food price inflation,Mar 1 2002,5.507566
31778,Food price inflation,Mar 1 2003,-0.921187
31779,Food price inflation,Mar 1 2004,0.103304
31780,Food price inflation,Mar 1 2005,1.341597
31781,Food price inflation,Mar 1 2006,1.527486
31782,Food price inflation,Mar 1 2007,4.112344
31783,Food price inflation,Mar 1 2008,5.394988
31784,Food price inflation,Mar 1 2009,9.689218
31785,Food price inflation,Mar 1 2010,0.749989
31786,Food price inflation,Mar 1 2011,5.045496
31787,Food price inflation,Mar 1 2012,0.314966
31788,Food price inflation,Mar 1 2013,-0.078502
31789,Food price inflation,Mar 1 2014,0.471331
31790,Food price inflation,Mar 1 2015,-0.433428
31791,Food price inflation,Mar 1 2016,-0.752587
31792,Food price inflation,Mar 1 2017,1.137441
31793,Food price inflation,Mar 1 2018,1.030928
31794,Food price inflation,Mar 1 2019,0.556586
31795,Food price inflation,Mar 1 2020,3.136531
31796,Food price inflation,Mar 1 2021,0.707692
31797,Food price inflation,Apr 1 2001,5.654642
31798,Food price inflation,Apr 1 2002,4.99282
31799,Food price inflation,Apr 1 2003,-0.75265
31800,Food price inflation,Apr 1 2004,0.310233
31801,Food price inflation,Apr 1 2005,1.134027
31802,Food price inflation,Apr 1 2006,1.732918
31803,Food price inflation,Apr 1 2007,4.108223
31804,Food price inflation,Apr 1 2008,6.095601
31805,Food price inflation,Apr 1 2009,9.162386
31806,Food price inflation,Apr 1 2010,0.027693
31807,Food price inflation,Apr 1 2011,5.954031
31808,Food price inflation,Apr 1 2012,-0.078406
31809,Food price inflation,Apr 1 2013,-0.078475
31810,Food price inflation,Apr 1 2014,0.785339
31811,Food price inflation,Apr 1 2015,-1.236372
31812,Food price inflation,Apr 1 2016,0.094518
31813,Food price inflation,Apr 1 2017,-0.283286
31814,Food price inflation,Apr 1 2018,2.083333
31815,Food price inflation,Apr 1 2019,0.278293
31816,Food price inflation,Apr 1 2020,4.440333
31817,Food price inflation,Apr 1 2021,0.177443
31818,Food price inflation,May 1 2001,6.083653
31819,Food price inflation,May 1 2002,4.480288
31820,Food price inflation,May 1 2003,-0.583187
31821,Food price inflation,May 1 2004,0.517591
31822,Food price inflation,May 1 2005,0.926884
31823,Food price inflation,May 1 2006,1.93877
31824,Food price inflation,May 1 2007,4.104111
31825,Food price inflation,May 1 2008,6.794867
31826,Food price inflation,May 1 2009,8.643459
31827,Food price inflation,May 1 2010,-0.690612
31828,Food price inflation,May 1 2011,6.870654
31829,Food price inflation,May 1 2012,-0.468503
31830,Food price inflation,May 1 2013,-0.078447
31831,Food price inflation,May 1 2014,1.099183
31832,Food price inflation,May 1 2015,-1.196595
31833,Food price inflation,May 1 2016,-0.847458
31834,Food price inflation,May 1 2017,3.323837
31835,Food price inflation,May 1 2018,-1.102941
31836,Food price inflation,May 1 2019,1.208178
31837,Food price inflation,May 1 2020,2.662994
31838,Food price inflation,May 1 2021,1.618485
31839,Food price inflation,Jun 1 2001,6.514298
31840,Food price inflation,Jun 1 2002,3.969956
31841,Food price inflation,Jun 1 2003,-0.412791
31842,Food price inflation,Jun 1 2004,0.725378
31843,Food price inflation,Jun 1 2005,0.720168
31844,Food price inflation,Jun 1 2006,2.145042
31845,Food price inflation,Jun 1 2007,4.100007
31846,Food price inflation,Jun 1 2008,7.492789
31847,Food price inflation,Jun 1 2009,8.132262
31848,Food price inflation,Jun 1 2010,-1.40496
31849,Food price inflation,Jun 1 2011,7.795472
31850,Food price inflation,Jun 1 2012,-0.855363
31851,Food price inflation,Jun 1 2013,-0.07842
31852,Food price inflation,Jun 1 2014,1.412863
31853,Food price inflation,Jun 1 2015,-0.878916
31854,Food price inflation,Jun 1 2016,-1.122544
31855,Food price inflation,Jun 1 2017,3.216651
31856,Food price inflation,Jun 1 2018,-0.824931
31857,Food price inflation,Jun 1 2019,-0.369686
31858,Food price inflation,Jun 1 2020,4.267161
31859,Food price inflation,Jun 1 2021,1.529004
31860,Food price inflation,Jul 1 2001,6.831126
31861,Food price inflation,Jul 1 2002,3.303729
31862,Food price inflation,Jul 1 2003,-0.343874
31863,Food price inflation,Jul 1 2004,0.483085
31864,Food price inflation,Jul 1 2005,0.961543
31865,Food price inflation,Jul 1 2006,2.823124
31866,Food price inflation,Jul 1 2007,3.804174
31867,Food price inflation,Jul 1 2008,8.476732
31868,Food price inflation,Jul 1 2009,7.3443
31869,Food price inflation,Jul 1 2010,-1.067323
31870,Food price inflation,Jul 1 2011,7.413536
31871,Food price inflation,Jul 1 2012,-1.081619
31872,Food price inflation,Jul 1 2013,0.208283
31873,Food price inflation,Jul 1 2014,-0.463728
31874,Food price inflation,Jul 1 2015,1.125704
31875,Food price inflation,Jul 1 2016,-2.319109
31876,Food price inflation,Jul 1 2017,3.323837
31877,Food price inflation,Jul 1 2018,0.367647
31878,Food price inflation,Jul 1 2019,0.091575
31879,Food price inflation,Jul 1 2020,4.391583
31880,Food price inflation,Aug 1 2001,7.145559
31881,Food price inflation,Aug 1 2002,2.646435
31882,Food price inflation,Aug 1 2003,-0.275005
31883,Food price inflation,Aug 1 2004,0.241293
31884,Food price inflation,Aug 1 2005,1.203582
31885,Food price inflation,Aug 1 2006,3.499824
31886,Food price inflation,Aug 1 2007,3.512809
31887,Food price inflation,Aug 1 2008,9.451313
31888,Food price inflation,Aug 1 2009,6.5778
31889,Food price inflation,Aug 1 2010,-0.734091
31890,Food price inflation,Aug 1 2011,7.039131
31891,Food price inflation,Aug 1 2012,-1.30498
31892,Food price inflation,Aug 1 2013,0.492607
31893,Food price inflation,Aug 1 2014,-0.786196
31894,Food price inflation,Aug 1 2015,-0.093458
31895,Food price inflation,Aug 1 2016,0.093545
31896,Food price inflation,Aug 1 2017,2.336449
31897,Food price inflation,Aug 1 2018,-1.004566
31898,Food price inflation,Aug 1 2019,1.752768
31899,Food price inflation,Aug 1 2020,4.351768
31900,Food price inflation,Sep 1 2001,7.457624
31901,Food price inflation,Sep 1 2002,1.997896
31902,Food price inflation,Sep 1 2003,-0.206183
31903,Food price inflation,Sep 1 2004,0.0
31904,Food price inflation,Sep 1 2005,1.446287
31905,Food price inflation,Sep 1 2006,4.175146
31906,Food price inflation,Sep 1 2007,3.225811
31907,Food price inflation,Sep 1 2008,10.416666
31908,Food price inflation,Sep 1 2009,5.831899
31909,Food price inflation,Sep 1 2010,-0.405181
31910,Food price inflation,Sep 1 2011,6.672038
31911,Food price inflation,Sep 1 2012,-1.525502
31912,Food price inflation,Sep 1 2013,0.774582
31913,Food price inflation,Sep 1 2014,-2.485429
31914,Food price inflation,Sep 1 2015,0.377715
31915,Food price inflation,Sep 1 2016,-0.470367
31916,Food price inflation,Sep 1 2017,3.213611
31917,Food price inflation,Sep 1 2018,-1.007326
