,symbol,date,rate
32964,Food price inflation,Jan 1 2001,3.092784
32965,Food price inflation,Jan 1 2002,-6.125
32966,Food price inflation,Jan 1 2003,2.663116
32967,Food price inflation,Jan 1 2004,2.983139
32968,Food price inflation,Jan 1 2005,1.133501
32969,Food price inflation,Jan 1 2006,1.494396
32970,Food price inflation,Jan 1 2007,1.840491
32971,Food price inflation,Jan 1 2008,2.650602
32972,Food price inflation,Jan 1 2009,4.929577
32973,Food price inflation,Jan 1 2010,2.46085
32974,Food price inflation,Jan 1 2011,-1.637555
32975,Food price inflation,Jan 1 2012,2.108768
32976,Food price inflation,Jan 1 2013,0.108696
32977,Food price inflation,Jan 1 2014,3.040174
32978,Food price inflation,Jan 1 2015,2.423604
32979,Food price inflation,Jan 1 2016,1.748971
32980,Food price inflation,Jan 1 2017,2.022245
32981,Food price inflation,Jan 1 2018,2.576809
32982,Food price inflation,Jan 1 2019,1.15942
32983,Food price inflation,Jan 1 2020,2.101242
32984,Food price inflation,Jan 1 2021,0.748363
32985,Food price inflation,Feb 1 2001,1.913265
32986,Food price inflation,Feb 1 2002,-5.757196
32987,Food price inflation,Feb 1 2003,3.320053
32988,Food price inflation,Feb 1 2004,2.570694
32989,Food price inflation,Feb 1 2005,1.754386
32990,Food price inflation,Feb 1 2006,0.985222
32991,Food price inflation,Feb 1 2007,2.317073
32992,Food price inflation,Feb 1 2008,3.694875
32993,Food price inflation,Feb 1 2009,5.402299
32994,Food price inflation,Feb 1 2010,0.545256
32995,Food price inflation,Feb 1 2011,0.32538
32996,Food price inflation,Feb 1 2012,1.297297
32997,Food price inflation,Feb 1 2013,-1.067236
32998,Food price inflation,Feb 1 2014,3.77562
32999,Food price inflation,Feb 1 2015,3.014553
33000,Food price inflation,Feb 1 2016,3.229062
33001,Food price inflation,Feb 1 2017,0.097752
33002,Food price inflation,Feb 1 2018,3.027344
33003,Food price inflation,Feb 1 2019,1.990521
33004,Food price inflation,Feb 1 2020,2.04461
33005,Food price inflation,Feb 1 2021,0.091075
33006,Food price inflation,Mar 1 2001,2.035623
33007,Food price inflation,Mar 1 2002,-5.610973
33008,Food price inflation,Mar 1 2003,3.038309
33009,Food price inflation,Mar 1 2004,2.948718
33010,Food price inflation,Mar 1 2005,1.24533
33011,Food price inflation,Mar 1 2006,0.861009
33012,Food price inflation,Mar 1 2007,2.682927
33013,Food price inflation,Mar 1 2008,3.68171
33014,Food price inflation,Mar 1 2009,5.269187
33015,Food price inflation,Mar 1 2010,0.326442
33016,Food price inflation,Mar 1 2011,-0.21692
33017,Food price inflation,Mar 1 2012,2.173913
33018,Food price inflation,Mar 1 2013,-1.914894
33019,Food price inflation,Mar 1 2014,5.206074
33020,Food price inflation,Mar 1 2015,0.721649
33021,Food price inflation,Mar 1 2016,1.330604
33022,Food price inflation,Mar 1 2017,3.030303
33023,Food price inflation,Mar 1 2018,1.568627
33024,Food price inflation,Mar 1 2019,2.895753
