,symbol,date,rate
34932,Food price inflation,Jan 1 2001,0.730154
34933,Food price inflation,Jan 1 2002,0.424937
34934,Food price inflation,Jan 1 2003,-0.191168
34935,Food price inflation,Jan 1 2004,1.171073
34936,Food price inflation,Jan 1 2005,5.160771
34937,Food price inflation,Jan 1 2006,1.063996
34938,Food price inflation,Jan 1 2007,2.441061
34939,Food price inflation,Jan 1 2008,3.071804
34940,Food price inflation,Jan 1 2009,9.500694
34941,Food price inflation,Jan 1 2010,2.938826
34942,Food price inflation,Jan 1 2011,1.460507
34943,Food price inflation,Jan 1 2012,7.784959
34944,Food price inflation,Jan 1 2013,3.370582
34945,Food price inflation,Jan 1 2014,1.678678
34946,Food price inflation,Jan 1 2015,5.004754
34947,Food price inflation,Jan 1 2016,5.416529
34948,Food price inflation,Jan 1 2017,2.639388
34949,Food price inflation,Jan 1 2018,-1.673767
34950,Food price inflation,Jan 1 2019,6.600124
34951,Food price inflation,Jan 1 2020,1.110547
34952,Food price inflation,Jan 1 2021,3.646805
34953,Food price inflation,Feb 1 2001,0.708109
34954,Food price inflation,Feb 1 2002,0.360759
34955,Food price inflation,Feb 1 2003,-0.104131
34956,Food price inflation,Feb 1 2004,1.573168
34957,Food price inflation,Feb 1 2005,4.759257
34958,Food price inflation,Feb 1 2006,1.189621
34959,Food price inflation,Feb 1 2007,2.446927
34960,Food price inflation,Feb 1 2008,3.636939
34961,Food price inflation,Feb 1 2009,8.971325
34962,Food price inflation,Feb 1 2010,3.579018
34963,Food price inflation,Feb 1 2011,1.772526
34964,Food price inflation,Feb 1 2012,6.773101
34965,Food price inflation,Feb 1 2013,1.785229
34966,Food price inflation,Feb 1 2014,4.00641
34967,Food price inflation,Feb 1 2015,4.631056
34968,Food price inflation,Feb 1 2016,4.270637
34969,Food price inflation,Feb 1 2017,4.189878
34970,Food price inflation,Feb 1 2018,-2.605618
34971,Food price inflation,Feb 1 2019,6.580066
34972,Food price inflation,Feb 1 2020,1.342136
34973,Food price inflation,Feb 1 2021,2.713151
34974,Food price inflation,Mar 1 2001,0.686092
34975,Food price inflation,Mar 1 2002,0.296632
34976,Food price inflation,Mar 1 2003,-0.017054
34977,Food price inflation,Mar 1 2004,1.974749
34978,Food price inflation,Mar 1 2005,4.361416
34979,Food price inflation,Mar 1 2006,1.315051
34980,Food price inflation,Mar 1 2007,2.452769
34981,Food price inflation,Mar 1 2008,4.199729
34982,Food price inflation,Mar 1 2009,8.449858
34983,Food price inflation,Mar 1 2010,3.727491
34984,Food price inflation,Mar 1 2011,3.098951
34985,Food price inflation,Mar 1 2012,6.401598
34986,Food price inflation,Mar 1 2013,1.340962
34987,Food price inflation,Mar 1 2014,2.919901
34988,Food price inflation,Mar 1 2015,5.202708
34989,Food price inflation,Mar 1 2016,4.554343
34990,Food price inflation,Mar 1 2017,6.670303
34991,Food price inflation,Mar 1 2018,-5.581124
34992,Food price inflation,Mar 1 2019,7.110251
34993,Food price inflation,Mar 1 2020,2.02976
34994,Food price inflation,Mar 1 2021,2.661947
34995,Food price inflation,Apr 1 2001,0.664102
34996,Food price inflation,Apr 1 2002,0.232558
34997,Food price inflation,Apr 1 2003,0.070064
34998,Food price inflation,Apr 1 2004,2.375817
34999,Food price inflation,Apr 1 2005,3.967199
35000,Food price inflation,Apr 1 2006,1.440284
35001,Food price inflation,Apr 1 2007,2.458588
35002,Food price inflation,Apr 1 2008,4.760191
35003,Food price inflation,Apr 1 2009,7.936117
35004,Food price inflation,Apr 1 2010,3.063563
35005,Food price inflation,Apr 1 2011,5.138301
35006,Food price inflation,Apr 1 2012,5.851512
35007,Food price inflation,Apr 1 2013,0.955245
35008,Food price inflation,Apr 1 2014,3.031365
35009,Food price inflation,Apr 1 2015,4.94898
35010,Food price inflation,Apr 1 2016,4.237563
35011,Food price inflation,Apr 1 2017,4.959192
35012,Food price inflation,Apr 1 2018,-4.969266
35013,Food price inflation,Apr 1 2019,8.260599
35014,Food price inflation,Apr 1 2020,1.698819
35015,Food price inflation,Apr 1 2021,2.003114
35016,Food price inflation,May 1 2001,0.64214
35017,Food price inflation,May 1 2002,0.168536
35018,Food price inflation,May 1 2003,0.157222
35019,Food price inflation,May 1 2004,2.776373
35020,Food price inflation,May 1 2005,3.576556
35021,Food price inflation,May 1 2006,1.565323
35022,Food price inflation,May 1 2007,2.464384
35023,Food price inflation,May 1 2008,5.318337
35024,Food price inflation,May 1 2009,7.429933
35025,Food price inflation,May 1 2010,3.131678
35026,Food price inflation,May 1 2011,4.434416
35027,Food price inflation,May 1 2012,5.833725
35028,Food price inflation,May 1 2013,2.085922
35029,Food price inflation,May 1 2014,2.721502
35030,Food price inflation,May 1 2015,4.994075
35031,Food price inflation,May 1 2016,3.369881
35032,Food price inflation,May 1 2017,3.70457
35033,Food price inflation,May 1 2018,-3.534632
35034,Food price inflation,May 1 2019,8.443128
35035,Food price inflation,May 1 2020,2.135155
35036,Food price inflation,May 1 2021,2.062364
35037,Food price inflation,Jun 1 2001,0.620205
35038,Food price inflation,Jun 1 2002,0.104566
35039,Food price inflation,Jun 1 2003,0.244421
35040,Food price inflation,Jun 1 2004,3.176418
35041,Food price inflation,Jun 1 2005,3.189439
35042,Food price inflation,Jun 1 2006,1.690167
35043,Food price inflation,Jun 1 2007,2.470156
35044,Food price inflation,Jun 1 2008,5.874182
35045,Food price inflation,Jun 1 2009,6.931139
35046,Food price inflation,Jun 1 2010,3.623246
35047,Food price inflation,Jun 1 2011,3.038271
35048,Food price inflation,Jun 1 2012,5.840658
35049,Food price inflation,Jun 1 2013,2.991339
35050,Food price inflation,Jun 1 2014,2.687706
35051,Food price inflation,Jun 1 2015,4.728132
35052,Food price inflation,Jun 1 2016,3.103837
35053,Food price inflation,Jun 1 2017,3.057315
35054,Food price inflation,Jun 1 2018,-2.185129
35055,Food price inflation,Jun 1 2019,7.63264
35056,Food price inflation,Jun 1 2020,1.599885
35057,Food price inflation,Jun 1 2021,3.660094
35058,Food price inflation,Jul 1 2001,0.598297
35059,Food price inflation,Jul 1 2002,0.040648
35060,Food price inflation,Jul 1 2003,0.33166
35061,Food price inflation,Jul 1 2004,3.575953
35062,Food price inflation,Jul 1 2005,2.8058
35063,Food price inflation,Jul 1 2006,1.814817
35064,Food price inflation,Jul 1 2007,2.475905
35065,Food price inflation,Jul 1 2008,6.427741
35066,Food price inflation,Jul 1 2009,6.439575
35067,Food price inflation,Jul 1 2010,3.981364
35068,Food price inflation,Jul 1 2011,4.558653
35069,Food price inflation,Jul 1 2012,3.823012
