,symbol,date,price
35178,Food price inflation,Jan 1 2001,4.865557
35179,Food price inflation,Jan 1 2002,1.709402
35180,Food price inflation,Jan 1 2003,0.480192
35181,Food price inflation,Jan 1 2004,3.345281
35182,Food price inflation,Jan 1 2005,7.630058
35183,Food price inflation,Jan 1 2006,5.585392
35184,Food price inflation,Jan 1 2007,4.170905
35185,Food price inflation,Jan 1 2008,6.835938
35186,Food price inflation,Jan 1 2009,11.334552
35187,Food price inflation,Jan 1 2010,5.00821
35188,Food price inflation,Jan 1 2011,4.847537
35189,Food price inflation,Jan 1 2012,3.206562
35190,Food price inflation,Jan 1 2013,2.836879
35191,Food price inflation,Jan 1 2014,4.53202
35192,Food price inflation,Jan 1 2015,4.524034
35193,Food price inflation,Jan 1 2016,0.901713
35194,Food price inflation,Jan 1 2017,2.5916
35195,Food price inflation,Jan 1 2018,4.355401
35196,Food price inflation,Jan 1 2019,5.592654
35197,Food price inflation,Jan 1 2020,2.213439
35198,Food price inflation,Jan 1 2021,6.109822
35199,Food price inflation,Feb 1 2001,3.831418
35200,Food price inflation,Feb 1 2002,1.845018
35201,Food price inflation,Feb 1 2003,0.966184
35202,Food price inflation,Feb 1 2004,3.349282
35203,Food price inflation,Feb 1 2005,7.87037
35204,Food price inflation,Feb 1 2006,6.11588
35205,Food price inflation,Feb 1 2007,3.437816
35206,Food price inflation,Feb 1 2008,7.42913
35207,Food price inflation,Feb 1 2009,11.737944
35208,Food price inflation,Feb 1 2010,4.397394
35209,Food price inflation,Feb 1 2011,5.928237
35210,Food price inflation,Feb 1 2012,1.708066
35211,Food price inflation,Feb 1 2013,2.944162
35212,Food price inflation,Feb 1 2014,4.832347
35213,Food price inflation,Feb 1 2015,3.951082
35214,Food price inflation,Feb 1 2016,0.904977
35215,Food price inflation,Feb 1 2017,3.049327
35216,Food price inflation,Feb 1 2018,4.786771
35217,Food price inflation,Feb 1 2019,4.734219
35218,Food price inflation,Feb 1 2020,2.061856
35219,Food price inflation,Feb 1 2021,6.682207
35220,Food price inflation,Mar 1 2001,3.580563
35221,Food price inflation,Mar 1 2002,2.345679
35222,Food price inflation,Mar 1 2003,0.723764
35223,Food price inflation,Mar 1 2004,4.191617
35224,Food price inflation,Mar 1 2005,7.241379
35225,Food price inflation,Mar 1 2006,6.109325
35226,Food price inflation,Mar 1 2007,3.030303
35227,Food price inflation,Mar 1 2008,8.823529
35228,Food price inflation,Mar 1 2009,10.900901
35229,Food price inflation,Mar 1 2010,3.899269
35230,Food price inflation,Mar 1 2011,6.176701
35231,Food price inflation,Mar 1 2012,1.708066
35232,Food price inflation,Mar 1 2013,2.741117
35233,Food price inflation,Mar 1 2014,5.039526
35234,Food price inflation,Mar 1 2015,3.480715
35235,Food price inflation,Mar 1 2016,1.0
35236,Food price inflation,Mar 1 2017,2.880288
35237,Food price inflation,Mar 1 2018,5.861767
35238,Food price inflation,Mar 1 2019,3.38843
35239,Food price inflation,Mar 1 2020,2.63789
35240,Food price inflation,Mar 1 2021,5.841121
