,symbol,date,price
35670,Food price inflation,Jan 1 2001,5.776948
35671,Food price inflation,Jan 1 2002,4.462926
35672,Food price inflation,Jan 1 2003,1.330904
35673,Food price inflation,Jan 1 2004,1.722798
35674,Food price inflation,Jan 1 2005,-0.777349
35675,Food price inflation,Jan 1 2006,1.676893
35676,Food price inflation,Jan 1 2007,4.102868
35677,Food price inflation,Jan 1 2008,1.954836
35678,Food price inflation,Jan 1 2009,1.406612
35679,Food price inflation,Jan 1 2010,-4.659884
35680,Food price inflation,Jan 1 2011,2.259034
35681,Food price inflation,Jan 1 2012,3.318365
35682,Food price inflation,Jan 1 2013,2.293425
35683,Food price inflation,Jan 1 2014,0.195159
35684,Food price inflation,Jan 1 2015,-0.126921
35685,Food price inflation,Jan 1 2016,0.210724
35686,Food price inflation,Jan 1 2017,1.326759
35687,Food price inflation,Jan 1 2018,1.449005
35688,Food price inflation,Jan 1 2019,0.238052
35689,Food price inflation,Jan 1 2020,0.794431
35690,Food price inflation,Jan 1 2021,0.998309
35691,Food price inflation,Feb 1 2001,6.672841
35692,Food price inflation,Feb 1 2002,3.061347
35693,Food price inflation,Feb 1 2003,2.196472
35694,Food price inflation,Feb 1 2004,0.958066
35695,Food price inflation,Feb 1 2005,-0.657326
35696,Food price inflation,Feb 1 2006,1.759278
35697,Food price inflation,Feb 1 2007,3.584512
35698,Food price inflation,Feb 1 2008,2.315762
35699,Food price inflation,Feb 1 2009,0.965146
35700,Food price inflation,Feb 1 2010,-4.249556
35701,Food price inflation,Feb 1 2011,2.379606
35702,Food price inflation,Feb 1 2012,3.443209
35703,Food price inflation,Feb 1 2013,1.996152
35704,Food price inflation,Feb 1 2014,-0.049375
35705,Food price inflation,Feb 1 2015,0.006915
35706,Food price inflation,Feb 1 2016,-0.620364
35707,Food price inflation,Feb 1 2017,2.373718
35708,Food price inflation,Feb 1 2018,0.453455
35709,Food price inflation,Feb 1 2019,1.262314
35710,Food price inflation,Feb 1 2020,0.83047
35711,Food price inflation,Feb 1 2021,0.891721
35712,Food price inflation,Mar 1 2001,8.162674
35713,Food price inflation,Mar 1 2002,2.029259
35714,Food price inflation,Mar 1 2003,1.336546
35715,Food price inflation,Mar 1 2004,2.060399
35716,Food price inflation,Mar 1 2005,-0.48985
35717,Food price inflation,Mar 1 2006,1.293136
35718,Food price inflation,Mar 1 2007,3.030467
35719,Food price inflation,Mar 1 2008,3.661034
35720,Food price inflation,Mar 1 2009,-0.450932
35721,Food price inflation,Mar 1 2010,-3.644276
35722,Food price inflation,Mar 1 2011,2.699076
35723,Food price inflation,Mar 1 2012,2.916689
35724,Food price inflation,Mar 1 2013,2.153255
35725,Food price inflation,Mar 1 2014,-0.415654
35726,Food price inflation,Mar 1 2015,0.285538
35727,Food price inflation,Mar 1 2016,-0.730583
35728,Food price inflation,Mar 1 2017,2.683858
35729,Food price inflation,Mar 1 2018,0.297748
35730,Food price inflation,Mar 1 2019,1.157495
35731,Food price inflation,Mar 1 2020,1.219705
35732,Food price inflation,Mar 1 2021,0.768672
35733,Food price inflation,Apr 1 2001,7.157895
35734,Food price inflation,Apr 1 2002,2.26648
35735,Food price inflation,Apr 1 2003,1.725278
35736,Food price inflation,Apr 1 2004,2.279226
35737,Food price inflation,Apr 1 2005,-1.269322
35738,Food price inflation,Apr 1 2006,1.820044
35739,Food price inflation,Apr 1 2007,3.460941
35740,Food price inflation,Apr 1 2008,3.085747
35741,Food price inflation,Apr 1 2009,-1.292923
35742,Food price inflation,Apr 1 2010,-2.76215
35743,Food price inflation,Apr 1 2011,2.375669
35744,Food price inflation,Apr 1 2012,2.831724
35745,Food price inflation,Apr 1 2013,2.019681
35746,Food price inflation,Apr 1 2014,-0.929056
35747,Food price inflation,Apr 1 2015,1.1802
35748,Food price inflation,Apr 1 2016,0.091694
35749,Food price inflation,Apr 1 2017,1.972194
35750,Food price inflation,Apr 1 2018,0.918701
35751,Food price inflation,Apr 1 2019,-0.165613
35752,Food price inflation,Apr 1 2020,3.817077
35753,Food price inflation,Apr 1 2021,-0.785901
35754,Food price inflation,May 1 2001,8.519296
35755,Food price inflation,May 1 2002,0.79241
35756,Food price inflation,May 1 2003,2.535399
35757,Food price inflation,May 1 2004,1.761611
35758,Food price inflation,May 1 2005,-0.945941
35759,Food price inflation,May 1 2006,2.577869
35760,Food price inflation,May 1 2007,2.252619
35761,Food price inflation,May 1 2008,3.816568
35762,Food price inflation,May 1 2009,-2.629956
35763,Food price inflation,May 1 2010,-1.849242
35764,Food price inflation,May 1 2011,2.491961
35765,Food price inflation,May 1 2012,2.644592
35766,Food price inflation,May 1 2013,3.102876
35767,Food price inflation,May 1 2014,-2.328771
35768,Food price inflation,May 1 2015,2.073814
35769,Food price inflation,May 1 2016,-0.104946
35770,Food price inflation,May 1 2017,2.074082
35771,Food price inflation,May 1 2018,0.699435
35772,Food price inflation,May 1 2019,0.161511
35773,Food price inflation,May 1 2020,2.246369
35774,Food price inflation,May 1 2021,0.546671
35775,Food price inflation,Jun 1 2001,7.689548
35776,Food price inflation,Jun 1 2002,0.40865
35777,Food price inflation,Jun 1 2003,2.318799
35778,Food price inflation,Jun 1 2004,1.421688
35779,Food price inflation,Jun 1 2005,-1.322665
35780,Food price inflation,Jun 1 2006,3.869787
35781,Food price inflation,Jun 1 2007,1.448026
35782,Food price inflation,Jun 1 2008,5.766444
35783,Food price inflation,Jun 1 2009,-5.15838
35784,Food price inflation,Jun 1 2010,0.078998
35785,Food price inflation,Jun 1 2011,1.643856
35786,Food price inflation,Jun 1 2012,3.344313
35787,Food price inflation,Jun 1 2013,2.839361
35788,Food price inflation,Jun 1 2014,-2.533005
35789,Food price inflation,Jun 1 2015,1.945091
35790,Food price inflation,Jun 1 2016,1.012802
35791,Food price inflation,Jun 1 2017,0.217431
35792,Food price inflation,Jun 1 2018,1.240751
35793,Food price inflation,Jun 1 2019,0.387393
35794,Food price inflation,Jun 1 2020,3.199195
35795,Food price inflation,Jun 1 2021,-0.152445
35796,Food price inflation,Jul 1 2001,7.202694
35797,Food price inflation,Jul 1 2002,0.154
35798,Food price inflation,Jul 1 2003,1.804096
35799,Food price inflation,Jul 1 2004,2.720842
35800,Food price inflation,Jul 1 2005,-1.9441
35801,Food price inflation,Jul 1 2006,3.175566
35802,Food price inflation,Jul 1 2007,1.732165
35803,Food price inflation,Jul 1 2008,5.76513
35804,Food price inflation,Jul 1 2009,-6.12324
35805,Food price inflation,Jul 1 2010,1.553928
35806,Food price inflation,Jul 1 2011,1.714855
35807,Food price inflation,Jul 1 2012,4.03842
35808,Food price inflation,Jul 1 2013,2.452529
35809,Food price inflation,Jul 1 2014,-3.051094
35810,Food price inflation,Jul 1 2015,1.531665
35811,Food price inflation,Jul 1 2016,1.646228
35812,Food price inflation,Jul 1 2017,0.309603
35813,Food price inflation,Jul 1 2018,1.194023
35814,Food price inflation,Jul 1 2019,-0.061001
35815,Food price inflation,Jul 1 2020,2.646446
35816,Food price inflation,Aug 1 2001,5.844096
35817,Food price inflation,Aug 1 2002,0.495815
35818,Food price inflation,Aug 1 2003,2.744248
35819,Food price inflation,Aug 1 2004,0.915027
35820,Food price inflation,Aug 1 2005,-0.664434
35821,Food price inflation,Aug 1 2006,3.175457
35822,Food price inflation,Aug 1 2007,1.638891
35823,Food price inflation,Aug 1 2008,4.932109
35824,Food price inflation,Aug 1 2009,-6.333246
35825,Food price inflation,Aug 1 2010,2.624708
35826,Food price inflation,Aug 1 2011,1.364868
35827,Food price inflation,Aug 1 2012,3.267413
35828,Food price inflation,Aug 1 2013,2.942681
35829,Food price inflation,Aug 1 2014,-3.170378
35830,Food price inflation,Aug 1 2015,1.713127
35831,Food price inflation,Aug 1 2016,1.815045
35832,Food price inflation,Aug 1 2017,0.367898
35833,Food price inflation,Aug 1 2018,0.89575
35834,Food price inflation,Aug 1 2019,-0.037201
35835,Food price inflation,Aug 1 2020,2.267615
35836,Food price inflation,Sep 1 2001,5.947318
35837,Food price inflation,Sep 1 2002,0.589799
35838,Food price inflation,Sep 1 2003,3.586766
35839,Food price inflation,Sep 1 2004,0.078496
35840,Food price inflation,Sep 1 2005,-0.414258
35841,Food price inflation,Sep 1 2006,3.102645
35842,Food price inflation,Sep 1 2007,1.789204
35843,Food price inflation,Sep 1 2008,4.727892
35844,Food price inflation,Sep 1 2009,-5.844655
35845,Food price inflation,Sep 1 2010,2.509344
35846,Food price inflation,Sep 1 2011,1.815289
35847,Food price inflation,Sep 1 2012,2.931154
35848,Food price inflation,Sep 1 2013,1.900774
35849,Food price inflation,Sep 1 2014,-2.192363
35850,Food price inflation,Sep 1 2015,1.984192
35851,Food price inflation,Sep 1 2016,0.988585
35852,Food price inflation,Sep 1 2017,1.117849
35853,Food price inflation,Sep 1 2018,0.835271
35854,Food price inflation,Sep 1 2019,-0.113411
35855,Food price inflation,Sep 1 2020,1.998524
35856,Food price inflation,Oct 1 2001,5.348109
35857,Food price inflation,Oct 1 2002,1.564712
35858,Food price inflation,Oct 1 2003,3.258093
35859,Food price inflation,Oct 1 2004,-0.321604
35860,Food price inflation,Oct 1 2005,-0.383636
35861,Food price inflation,Oct 1 2006,3.567219
35862,Food price inflation,Oct 1 2007,2.466391
35863,Food price inflation,Oct 1 2008,3.455837
35864,Food price inflation,Oct 1 2009,-5.512924
35865,Food price inflation,Oct 1 2010,2.760647
35866,Food price inflation,Oct 1 2011,2.182176
35867,Food price inflation,Oct 1 2012,3.176792
35868,Food price inflation,Oct 1 2013,0.480312
35869,Food price inflation,Oct 1 2014,-0.628821
35870,Food price inflation,Oct 1 2015,1.270578
35871,Food price inflation,Oct 1 2016,0.449534
35872,Food price inflation,Oct 1 2017,1.315328
35873,Food price inflation,Oct 1 2018,0.300243
