,symbol,date,price
36162,Food price inflation,Jan 1 2001,3.662331
36163,Food price inflation,Jan 1 2002,3.613533
36164,Food price inflation,Jan 1 2003,3.522307
36165,Food price inflation,Jan 1 2004,3.119897
36166,Food price inflation,Jan 1 2005,3.11469
36167,Food price inflation,Jan 1 2006,2.695239
36168,Food price inflation,Jan 1 2007,2.500059
36169,Food price inflation,Jan 1 2008,2.951332
36170,Food price inflation,Jan 1 2009,3.183376
36171,Food price inflation,Jan 1 2010,3.030804
36172,Food price inflation,Jan 1 2011,4.152824
36173,Food price inflation,Jan 1 2012,2.200957
36174,Food price inflation,Jan 1 2013,2.684145
36175,Food price inflation,Jan 1 2014,1.215805
36176,Food price inflation,Jan 1 2015,0.3003
36177,Food price inflation,Jan 1 2016,-1.397206
36178,Food price inflation,Jan 1 2017,-1.923077
36179,Food price inflation,Jan 1 2018,5.779154
36180,Food price inflation,Jan 1 2019,-2.526829
36181,Food price inflation,Jan 1 2020,1.112739
36182,Food price inflation,Jan 1 2021,0.517825
36183,Food price inflation,Feb 1 2001,3.655403
36184,Food price inflation,Feb 1 2002,3.609916
36185,Food price inflation,Feb 1 2003,3.486616
36186,Food price inflation,Feb 1 2004,3.126586
36187,Food price inflation,Feb 1 2005,3.08607
36188,Food price inflation,Feb 1 2006,2.660946
36189,Food price inflation,Feb 1 2007,2.471743
36190,Food price inflation,Feb 1 2008,3.095544
36191,Food price inflation,Feb 1 2009,2.462262
36192,Food price inflation,Feb 1 2010,3.966096
36193,Food price inflation,Feb 1 2011,3.800815
36194,Food price inflation,Feb 1 2012,2.462322
36195,Food price inflation,Feb 1 2013,2.651751
36196,Food price inflation,Feb 1 2014,1.412714
36197,Food price inflation,Feb 1 2015,-0.099502
36198,Food price inflation,Feb 1 2016,-1.294821
36199,Food price inflation,Feb 1 2017,-0.504541
36200,Food price inflation,Feb 1 2018,3.681542
36201,Food price inflation,Feb 1 2019,-1.164042
36202,Food price inflation,Feb 1 2020,-0.077813
36203,Food price inflation,Feb 1 2021,0.528099
36204,Food price inflation,Mar 1 2001,3.649533
36205,Food price inflation,Mar 1 2002,3.606145
36206,Food price inflation,Mar 1 2003,3.450793
36207,Food price inflation,Mar 1 2004,3.132079
36208,Food price inflation,Mar 1 2005,3.103978
36209,Food price inflation,Mar 1 2006,2.578497
36210,Food price inflation,Mar 1 2007,2.44242
36211,Food price inflation,Mar 1 2008,2.844993
36212,Food price inflation,Mar 1 2009,3.943047
36213,Food price inflation,Mar 1 2010,2.399759
36214,Food price inflation,Mar 1 2011,4.479753
36215,Food price inflation,Mar 1 2012,2.365614
36216,Food price inflation,Mar 1 2013,2.754565
36217,Food price inflation,Mar 1 2014,0.702811
36218,Food price inflation,Mar 1 2015,0.0
36219,Food price inflation,Mar 1 2016,-1.894317
36220,Food price inflation,Mar 1 2017,-0.406504
36221,Food price inflation,Mar 1 2018,4.040816
36222,Food price inflation,Mar 1 2019,-0.627697
36223,Food price inflation,Mar 1 2020,0.132565
36224,Food price inflation,Mar 1 2021,-0.089241
36225,Food price inflation,Apr 1 2001,3.643995
36226,Food price inflation,Apr 1 2002,3.601847
36227,Food price inflation,Apr 1 2003,3.414558
36228,Food price inflation,Apr 1 2004,3.136257
36229,Food price inflation,Apr 1 2005,2.621175
36230,Food price inflation,Apr 1 2006,2.993939
36231,Food price inflation,Apr 1 2007,2.411599
36232,Food price inflation,Apr 1 2008,4.540437
36233,Food price inflation,Apr 1 2009,1.258554
36234,Food price inflation,Apr 1 2010,3.943933
36235,Food price inflation,Apr 1 2011,3.386301
36236,Food price inflation,Apr 1 2012,2.978588
36237,Food price inflation,Apr 1 2013,2.624807
36238,Food price inflation,Apr 1 2014,0.401204
36239,Food price inflation,Apr 1 2015,0.2997
36240,Food price inflation,Apr 1 2016,-0.59761
36241,Food price inflation,Apr 1 2017,-1.302605
36242,Food price inflation,Apr 1 2018,2.081218
36243,Food price inflation,Apr 1 2019,-0.666335
36244,Food price inflation,Apr 1 2020,0.679797
36245,Food price inflation,Apr 1 2021,-0.180072
36246,Food price inflation,May 1 2001,3.638839
36247,Food price inflation,May 1 2002,3.597266
36248,Food price inflation,May 1 2003,3.377
36249,Food price inflation,May 1 2004,3.138492
36250,Food price inflation,May 1 2005,2.612464
36251,Food price inflation,May 1 2006,2.924777
36252,Food price inflation,May 1 2007,2.309222
36253,Food price inflation,May 1 2008,5.20181
36254,Food price inflation,May 1 2009,0.255822
36255,Food price inflation,May 1 2010,4.259235
36256,Food price inflation,May 1 2011,3.845732
36257,Food price inflation,May 1 2012,3.091369
36258,Food price inflation,May 1 2013,2.34367
36259,Food price inflation,May 1 2014,-0.2
36260,Food price inflation,May 1 2015,0.601202
36261,Food price inflation,May 1 2016,-1.195219
36262,Food price inflation,May 1 2017,-1.915323
36263,Food price inflation,May 1 2018,1.808839
36264,Food price inflation,May 1 2019,-1.292146
36265,Food price inflation,May 1 2020,0.311148
36266,Food price inflation,May 1 2021,3.45641
36267,Food price inflation,Jun 1 2001,3.633647
36268,Food price inflation,Jun 1 2002,3.591804
36269,Food price inflation,Jun 1 2003,3.341023
36270,Food price inflation,Jun 1 2004,3.136235
36271,Food price inflation,Jun 1 2005,2.5836
36272,Food price inflation,Jun 1 2006,2.894062
36273,Food price inflation,Jun 1 2007,3.094477
36274,Food price inflation,Jun 1 2008,4.310716
36275,Food price inflation,Jun 1 2009,1.189829
36276,Food price inflation,Jun 1 2010,2.81002
36277,Food price inflation,Jun 1 2011,4.860347
36278,Food price inflation,Jun 1 2012,3.198406
36279,Food price inflation,Jun 1 2013,2.225384
36280,Food price inflation,Jun 1 2014,-0.795229
36281,Food price inflation,Jun 1 2015,0.200401
36282,Food price inflation,Jun 1 2016,-2.6
36283,Food price inflation,Jun 1 2017,2.361396
36284,Food price inflation,Jun 1 2018,0.01003
36285,Food price inflation,Jun 1 2019,1.484304
36286,Food price inflation,Jun 1 2020,-0.504298
36287,Food price inflation,Jun 1 2021,2.088329
36288,Food price inflation,Jul 1 2001,3.631527
36289,Food price inflation,Jul 1 2002,3.586538
36290,Food price inflation,Jul 1 2003,3.300204
36291,Food price inflation,Jul 1 2004,3.143941
36292,Food price inflation,Jul 1 2005,2.5488
36293,Food price inflation,Jul 1 2006,2.861028
36294,Food price inflation,Jul 1 2007,2.996034
36295,Food price inflation,Jul 1 2008,4.571784
36296,Food price inflation,Jul 1 2009,1.041597
36297,Food price inflation,Jul 1 2010,2.68377
36298,Food price inflation,Jul 1 2011,4.219317
36299,Food price inflation,Jul 1 2012,3.215604
36300,Food price inflation,Jul 1 2013,1.940756
36301,Food price inflation,Jul 1 2014,-1.002004
36302,Food price inflation,Jul 1 2015,0.910931
36303,Food price inflation,Jul 1 2016,-0.300903
36304,Food price inflation,Jul 1 2017,4.527163
36305,Food price inflation,Jul 1 2018,-3.435996
36306,Food price inflation,Jul 1 2019,0.598027
36307,Food price inflation,Jul 1 2020,-0.626748
36308,Food price inflation,Aug 1 2001,3.631263
36309,Food price inflation,Aug 1 2002,3.578062
36310,Food price inflation,Aug 1 2003,3.29429
36311,Food price inflation,Aug 1 2004,3.115801
36312,Food price inflation,Aug 1 2005,2.542287
36313,Food price inflation,Aug 1 2006,2.800601
36314,Food price inflation,Aug 1 2007,3.349675
36315,Food price inflation,Aug 1 2008,4.334079
36316,Food price inflation,Aug 1 2009,1.027255
36317,Food price inflation,Aug 1 2010,2.350175
36318,Food price inflation,Aug 1 2011,2.506045
36319,Food price inflation,Aug 1 2012,4.771606
36320,Food price inflation,Aug 1 2013,1.934295
36321,Food price inflation,Aug 1 2014,0.803213
36322,Food price inflation,Aug 1 2015,1.89243
36323,Food price inflation,Aug 1 2016,-1.759531
36324,Food price inflation,Aug 1 2017,2.78607
36325,Food price inflation,Aug 1 2018,-2.633107
36326,Food price inflation,Aug 1 2019,1.948698
36327,Food price inflation,Aug 1 2020,-0.303366
36328,Food price inflation,Sep 1 2001,3.630015
36329,Food price inflation,Sep 1 2002,3.572055
36330,Food price inflation,Sep 1 2003,3.253622
36331,Food price inflation,Sep 1 2004,3.120183
36332,Food price inflation,Sep 1 2005,2.534612
36333,Food price inflation,Sep 1 2006,2.733713
36334,Food price inflation,Sep 1 2007,4.182549
36335,Food price inflation,Sep 1 2008,3.193123
36336,Food price inflation,Sep 1 2009,1.553815
36337,Food price inflation,Sep 1 2010,3.357975
36338,Food price inflation,Sep 1 2011,2.493225
36339,Food price inflation,Sep 1 2012,5.182443
36340,Food price inflation,Sep 1 2013,0.854701
36341,Food price inflation,Sep 1 2014,0.697906
36342,Food price inflation,Sep 1 2015,1.485149
36343,Food price inflation,Sep 1 2016,-1.95122
36344,Food price inflation,Sep 1 2017,3.58209
36345,Food price inflation,Sep 1 2018,-2.526417
36346,Food price inflation,Sep 1 2019,0.985513
36347,Food price inflation,Sep 1 2020,-1.207186
36348,Food price inflation,Oct 1 2001,3.626932
36349,Food price inflation,Oct 1 2002,3.566314
36350,Food price inflation,Oct 1 2003,3.214366
36351,Food price inflation,Oct 1 2004,3.123283
36352,Food price inflation,Oct 1 2005,2.495979
36353,Food price inflation,Oct 1 2006,2.786544
36354,Food price inflation,Oct 1 2007,3.890457
36355,Food price inflation,Oct 1 2008,2.860713
36356,Food price inflation,Oct 1 2009,2.160283
36357,Food price inflation,Oct 1 2010,4.162469
36358,Food price inflation,Oct 1 2011,2.210063
36359,Food price inflation,Oct 1 2012,3.778734
36360,Food price inflation,Oct 1 2013,2.457773
36361,Food price inflation,Oct 1 2014,-0.5923
36362,Food price inflation,Oct 1 2015,2.184707
36363,Food price inflation,Oct 1 2016,-2.623907
