,symbol,date,price
37392,Food price inflation,Jan 1 2001,17.90779
37393,Food price inflation,Jan 1 2002,20.717617
37394,Food price inflation,Jan 1 2003,12.091964
37395,Food price inflation,Jan 1 2004,11.104019
37396,Food price inflation,Jan 1 2005,12.556737
37397,Food price inflation,Jan 1 2006,10.365169
37398,Food price inflation,Jan 1 2007,6.610805
37399,Food price inflation,Jan 1 2008,18.774119
37400,Food price inflation,Jan 1 2009,16.807845
37401,Food price inflation,Jan 1 2010,5.315125
37402,Food price inflation,Jan 1 2011,15.811955
37403,Food price inflation,Jan 1 2012,0.614706
37404,Food price inflation,Jan 1 2013,7.307757
37405,Food price inflation,Jan 1 2014,5.729381
37406,Food price inflation,Jan 1 2015,22.814502
37407,Food price inflation,Jan 1 2016,9.205364
37408,Food price inflation,Jan 1 2017,3.850232
37409,Food price inflation,Jan 1 2018,0.325522
37410,Food price inflation,Jan 1 2019,6.155661
37411,Food price inflation,Jan 1 2020,2.074254
37412,Food price inflation,Jan 1 2021,8.03151
37413,Food price inflation,Feb 1 2001,18.297419
37414,Food price inflation,Feb 1 2002,19.806535
37415,Food price inflation,Feb 1 2003,12.003037
37416,Food price inflation,Feb 1 2004,11.27475
37417,Food price inflation,Feb 1 2005,12.991051
37418,Food price inflation,Feb 1 2006,12.616628
37419,Food price inflation,Feb 1 2007,3.84104
37420,Food price inflation,Feb 1 2008,19.881162
37421,Food price inflation,Feb 1 2009,17.03736
37422,Food price inflation,Feb 1 2010,4.643925
37423,Food price inflation,Feb 1 2011,15.743381
37424,Food price inflation,Feb 1 2012,-0.031018
37425,Food price inflation,Feb 1 2013,7.265092
37426,Food price inflation,Feb 1 2014,6.265454
37427,Food price inflation,Feb 1 2015,26.0458
37428,Food price inflation,Feb 1 2016,5.974264
37429,Food price inflation,Feb 1 2017,3.324283
37430,Food price inflation,Feb 1 2018,0.545828
37431,Food price inflation,Feb 1 2019,6.726564
37432,Food price inflation,Feb 1 2020,1.791088
37433,Food price inflation,Feb 1 2021,8.857964
37434,Food price inflation,Mar 1 2001,18.676156
37435,Food price inflation,Mar 1 2002,18.926656
37436,Food price inflation,Mar 1 2003,11.915863
37437,Food price inflation,Mar 1 2004,11.444101
37438,Food price inflation,Mar 1 2005,14.377298
37439,Food price inflation,Mar 1 2006,11.427826
37440,Food price inflation,Mar 1 2007,3.410223
37441,Food price inflation,Mar 1 2008,21.510341
37442,Food price inflation,Mar 1 2009,16.579188
37443,Food price inflation,Mar 1 2010,3.883102
37444,Food price inflation,Mar 1 2011,15.67466
37445,Food price inflation,Mar 1 2012,-0.189422
