,symbol,date,rate
39606,Food price inflation,Jan 1 2001,1.19403
39607,Food price inflation,Jan 1 2002,6.637168
39608,Food price inflation,Jan 1 2003,2.904564
39609,Food price inflation,Jan 1 2004,-2.419355
39610,Food price inflation,Jan 1 2005,2.066116
39611,Food price inflation,Jan 1 2006,1.754386
39612,Food price inflation,Jan 1 2007,4.244032
39613,Food price inflation,Jan 1 2008,7.519084
39614,Food price inflation,Jan 1 2009,5.561472
39615,Food price inflation,Jan 1 2010,0.01121
39616,Food price inflation,Jan 1 2011,9.571845
39617,Food price inflation,Jan 1 2012,1.493453
39618,Food price inflation,Jan 1 2013,1.128805
39619,Food price inflation,Jan 1 2014,1.793901
39620,Food price inflation,Jan 1 2015,-3.504993
39621,Food price inflation,Jan 1 2016,4.119318
39622,Food price inflation,Jan 1 2017,1.149873
39623,Food price inflation,Jan 1 2018,2.793834
39624,Food price inflation,Jan 1 2019,0.805998
39625,Food price inflation,Jan 1 2020,2.69617
39626,Food price inflation,Jan 1 2021,0.615607
39627,Food price inflation,Feb 1 2001,1.49925
39628,Food price inflation,Feb 1 2002,8.271787
39629,Food price inflation,Feb 1 2003,0.272851
39630,Food price inflation,Feb 1 2004,-0.272109
39631,Food price inflation,Feb 1 2005,2.046385
39632,Food price inflation,Feb 1 2006,2.005348
39633,Food price inflation,Feb 1 2007,4.849279
39634,Food price inflation,Feb 1 2008,7.475
39635,Food price inflation,Feb 1 2009,4.733659
39636,Food price inflation,Feb 1 2010,-1.199334
39637,Food price inflation,Feb 1 2011,8.75576
39638,Food price inflation,Feb 1 2012,2.718065
39639,Food price inflation,Feb 1 2013,0.694235
39640,Food price inflation,Feb 1 2014,0.309752
39641,Food price inflation,Feb 1 2015,-2.131686
39642,Food price inflation,Feb 1 2016,4.122137
39643,Food price inflation,Feb 1 2017,0.527859
39644,Food price inflation,Feb 1 2018,4.229872
39645,Food price inflation,Feb 1 2019,-0.167926
39646,Food price inflation,Feb 1 2020,2.420335
39647,Food price inflation,Feb 1 2021,2.45438
39648,Food price inflation,Mar 1 2001,0.597907
39649,Food price inflation,Mar 1 2002,9.955423
39650,Food price inflation,Mar 1 2003,-2.297297
39651,Food price inflation,Mar 1 2004,1.106501
39652,Food price inflation,Mar 1 2005,1.23119
39653,Food price inflation,Mar 1 2006,4.324324
39654,Food price inflation,Mar 1 2007,6.606218
39655,Food price inflation,Mar 1 2008,5.601458
39656,Food price inflation,Mar 1 2009,3.210217
39657,Food price inflation,Mar 1 2010,-1.438127
39658,Food price inflation,Mar 1 2011,7.612261
39659,Food price inflation,Mar 1 2012,4.477612
39660,Food price inflation,Mar 1 2013,-0.724346
39661,Food price inflation,Mar 1 2014,-0.040535
39662,Food price inflation,Mar 1 2015,-2.159367
39663,Food price inflation,Mar 1 2016,4.528028
39664,Food price inflation,Mar 1 2017,2.458366
39665,Food price inflation,Mar 1 2018,1.90596
39666,Food price inflation,Mar 1 2019,0.664578
39667,Food price inflation,Mar 1 2020,3.432991
39668,Food price inflation,Mar 1 2021,1.167138
39669,Food price inflation,Apr 1 2001,0.149477
39670,Food price inflation,Apr 1 2002,10.149254
39671,Food price inflation,Apr 1 2003,-2.845528
