,symbol,date,price
39852,Food price inflation,Jan 1 2001,86.345219
39853,Food price inflation,Jan 1 2002,79.604262
39854,Food price inflation,Jan 1 2003,8.595642
39855,Food price inflation,Jan 1 2004,1.672241
39856,Food price inflation,Jan 1 2005,11.91886
39857,Food price inflation,Jan 1 2006,18.585285
39858,Food price inflation,Jan 1 2007,5.835206
39859,Food price inflation,Jan 1 2008,20.07913
39860,Food price inflation,Jan 1 2009,12.76771
39861,Food price inflation,Jan 1 2010,-0.146092
39862,Food price inflation,Jan 1 2011,13.313826
39863,Food price inflation,Jan 1 2012,3.550678
39864,Food price inflation,Jan 1 2013,17.955112
39865,Food price inflation,Jan 1 2014,-1.638478
39866,Food price inflation,Jan 1 2015,0.483611
39867,Food price inflation,Jan 1 2016,1.657754
39868,Food price inflation,Jan 1 2017,1.20989
39869,Food price inflation,Jan 1 2018,2.079002
39870,Food price inflation,Jan 1 2019,2.953157
39871,Food price inflation,Jan 1 2020,2.274975
39872,Food price inflation,Jan 1 2021,0.435203
39873,Food price inflation,Feb 1 2001,87.158055
39874,Food price inflation,Feb 1 2002,68.980918
39875,Food price inflation,Feb 1 2003,7.832773
39876,Food price inflation,Feb 1 2004,2.540107
39877,Food price inflation,Feb 1 2005,12.668405
39878,Food price inflation,Feb 1 2006,17.724204
39879,Food price inflation,Feb 1 2007,4.414636
39880,Food price inflation,Feb 1 2008,21.868787
39881,Food price inflation,Feb 1 2009,12.479608
39882,Food price inflation,Feb 1 2010,-1.232777
39883,Food price inflation,Feb 1 2011,17.254038
39884,Food price inflation,Feb 1 2012,1.815905
39885,Food price inflation,Feb 1 2013,16.605166
39886,Food price inflation,Feb 1 2014,-1.582278
39887,Food price inflation,Feb 1 2015,2.411576
39888,Food price inflation,Feb 1 2016,0.156986
39889,Food price inflation,Feb 1 2017,2.142111
39890,Food price inflation,Feb 1 2018,1.12532
39891,Food price inflation,Feb 1 2019,4.299444
39892,Food price inflation,Feb 1 2020,1.503395
