,symbol,date,price
40344,Food price inflation,Jan 1 2001,0.111945
40345,Food price inflation,Jan 1 2002,4.68571
40346,Food price inflation,Jan 1 2003,-0.517547
40347,Food price inflation,Jan 1 2004,3.602339
40348,Food price inflation,Jan 1 2005,19.518872
40349,Food price inflation,Jan 1 2006,13.496184
40350,Food price inflation,Jan 1 2007,2.687711
40351,Food price inflation,Jan 1 2008,5.771123
40352,Food price inflation,Jan 1 2009,8.887052
40353,Food price inflation,Jan 1 2010,8.693176
40354,Food price inflation,Jan 1 2011,7.919322
40355,Food price inflation,Jan 1 2012,7.273463
40356,Food price inflation,Jan 1 2013,5.648993
40357,Food price inflation,Jan 1 2014,4.832953
40358,Food price inflation,Jan 1 2015,5.257065
40359,Food price inflation,Jan 1 2016,10.215436
40360,Food price inflation,Jan 1 2017,20.192533
40361,Food price inflation,Jan 1 2018,17.508302
40362,Food price inflation,Jan 1 2019,10.552346
40363,Food price inflation,Jan 1 2020,7.458647
40364,Food price inflation,Jan 1 2021,18.884691
40365,Food price inflation,Feb 1 2001,0.573694
40366,Food price inflation,Feb 1 2002,4.16987
40367,Food price inflation,Feb 1 2003,-0.280251
40368,Food price inflation,Feb 1 2004,5.120468
40369,Food price inflation,Feb 1 2005,19.004919
40370,Food price inflation,Feb 1 2006,12.367697
40371,Food price inflation,Feb 1 2007,2.538751
40372,Food price inflation,Feb 1 2008,6.172165
40373,Food price inflation,Feb 1 2009,8.725177
40374,Food price inflation,Feb 1 2010,9.09435
40375,Food price inflation,Feb 1 2011,7.555517
40376,Food price inflation,Feb 1 2012,7.129607
40377,Food price inflation,Feb 1 2013,5.653843
40378,Food price inflation,Feb 1 2014,5.116147
40379,Food price inflation,Feb 1 2015,5.199295
40380,Food price inflation,Feb 1 2016,10.535473
40381,Food price inflation,Feb 1 2017,21.499359
40382,Food price inflation,Feb 1 2018,16.879378
40383,Food price inflation,Feb 1 2019,10.500821
40384,Food price inflation,Feb 1 2020,8.302994
40385,Food price inflation,Feb 1 2021,19.58632
40386,Food price inflation,Mar 1 2001,1.035711
40387,Food price inflation,Mar 1 2002,3.658448
40388,Food price inflation,Mar 1 2003,-0.042656
40389,Food price inflation,Mar 1 2004,6.633288
