,symbol,date,price
40590,Food price inflation,Jan 1 2001,0.545387
40591,Food price inflation,Jan 1 2002,0.446973
40592,Food price inflation,Jan 1 2003,0.050566
40593,Food price inflation,Jan 1 2004,0.727787
40594,Food price inflation,Jan 1 2005,-1.63604
40595,Food price inflation,Jan 1 2006,3.128768
40596,Food price inflation,Jan 1 2007,1.970289
40597,Food price inflation,Jan 1 2008,6.957105
40598,Food price inflation,Jan 1 2009,7.414379
40599,Food price inflation,Jan 1 2010,-0.48435
40600,Food price inflation,Jan 1 2011,4.781471
40601,Food price inflation,Jan 1 2012,4.567947
40602,Food price inflation,Jan 1 2013,0.334829
40603,Food price inflation,Jan 1 2014,3.568489
40604,Food price inflation,Jan 1 2015,1.611067
40605,Food price inflation,Jan 1 2016,1.476651
40606,Food price inflation,Jan 1 2017,1.958272
40607,Food price inflation,Jan 1 2018,0.691642
40608,Food price inflation,Jan 1 2019,1.332183
40609,Food price inflation,Jan 1 2020,1.78727
40610,Food price inflation,Jan 1 2021,2.025419
40611,Food price inflation,Feb 1 2001,0.540128
40612,Food price inflation,Feb 1 2002,0.406174
40613,Food price inflation,Feb 1 2003,0.101133
40614,Food price inflation,Feb 1 2004,0.848656
40615,Food price inflation,Feb 1 2005,-1.026813
40616,Food price inflation,Feb 1 2006,0.685611
40617,Food price inflation,Feb 1 2007,4.255165
40618,Food price inflation,Feb 1 2008,8.032352
40619,Food price inflation,Feb 1 2009,4.938319
40620,Food price inflation,Feb 1 2010,1.930668
40621,Food price inflation,Feb 1 2011,3.726865
40622,Food price inflation,Feb 1 2012,1.821407
40623,Food price inflation,Feb 1 2013,3.439873
40624,Food price inflation,Feb 1 2014,1.505878
40625,Food price inflation,Feb 1 2015,3.19915
40626,Food price inflation,Feb 1 2016,1.544734
40627,Food price inflation,Feb 1 2017,1.035889
40628,Food price inflation,Feb 1 2018,1.501541
40629,Food price inflation,Feb 1 2019,0.947537
40630,Food price inflation,Feb 1 2020,1.798317
40631,Food price inflation,Feb 1 2021,2.573721
40632,Food price inflation,Mar 1 2001,0.534874
40633,Food price inflation,Mar 1 2002,0.365408
40634,Food price inflation,Mar 1 2003,0.151699
40635,Food price inflation,Mar 1 2004,0.969403
40636,Food price inflation,Mar 1 2005,-2.395699
40637,Food price inflation,Mar 1 2006,1.43682
40638,Food price inflation,Mar 1 2007,2.591277
40639,Food price inflation,Mar 1 2008,9.839369
40640,Food price inflation,Mar 1 2009,5.344547
40641,Food price inflation,Mar 1 2010,1.281532
40642,Food price inflation,Mar 1 2011,3.366106
40643,Food price inflation,Mar 1 2012,2.634477
40644,Food price inflation,Mar 1 2013,2.0407
40645,Food price inflation,Mar 1 2014,3.18886
40646,Food price inflation,Mar 1 2015,1.992282
40647,Food price inflation,Mar 1 2016,2.269008
40648,Food price inflation,Mar 1 2017,0.877074
40649,Food price inflation,Mar 1 2018,1.310354
40650,Food price inflation,Mar 1 2019,1.489654
40651,Food price inflation,Mar 1 2020,1.556958
40652,Food price inflation,Mar 1 2021,2.177302
40653,Food price inflation,Apr 1 2001,0.529625
40654,Food price inflation,Apr 1 2002,0.324675
40655,Food price inflation,Apr 1 2003,0.202265
40656,Food price inflation,Apr 1 2004,1.090028
40657,Food price inflation,Apr 1 2005,-2.252004
40658,Food price inflation,Apr 1 2006,1.711956
40659,Food price inflation,Apr 1 2007,1.658538
40660,Food price inflation,Apr 1 2008,10.939168
40661,Food price inflation,Apr 1 2009,4.247565
40662,Food price inflation,Apr 1 2010,1.912921
40663,Food price inflation,Apr 1 2011,3.531785
40664,Food price inflation,Apr 1 2012,2.360147
