,symbol,date,rate
41328,Food price inflation,Jan 1 2001,19.950652
41329,Food price inflation,Jan 1 2002,16.632383
41330,Food price inflation,Jan 1 2003,14.260519
41331,Food price inflation,Jan 1 2004,12.480706
41332,Food price inflation,Jan 1 2005,11.095864
41333,Food price inflation,Jan 1 2006,10.036788
41334,Food price inflation,Jan 1 2007,9.061736
41335,Food price inflation,Jan 1 2008,10.085961
41336,Food price inflation,Jan 1 2009,26.694158
41337,Food price inflation,Jan 1 2010,1.834745
41338,Food price inflation,Jan 1 2011,-1.881617
41339,Food price inflation,Jan 1 2012,4.43496
41340,Food price inflation,Jan 1 2013,4.496022
41341,Food price inflation,Jan 1 2014,-2.0
41342,Food price inflation,Jan 1 2015,3.299204
41343,Food price inflation,Jan 1 2016,3.524229
41344,Food price inflation,Jan 1 2017,-4.095745
41345,Food price inflation,Jan 1 2018,0.64707
41346,Food price inflation,Jan 1 2019,1.791358
41347,Food price inflation,Jan 1 2020,3.093812
41348,Food price inflation,Jan 1 2021,-6.389158
41349,Food price inflation,Feb 1 2001,19.624386
41350,Food price inflation,Feb 1 2002,16.405005
41351,Food price inflation,Feb 1 2003,14.093041
41352,Food price inflation,Feb 1 2004,12.352235
41353,Food price inflation,Feb 1 2005,10.994205
41354,Food price inflation,Feb 1 2006,9.340977
41355,Food price inflation,Feb 1 2007,6.844689
41356,Food price inflation,Feb 1 2008,13.811861
41357,Food price inflation,Feb 1 2009,25.702757
41358,Food price inflation,Feb 1 2010,0.892345
41359,Food price inflation,Feb 1 2011,-1.020171
41360,Food price inflation,Feb 1 2012,7.583054
41361,Food price inflation,Feb 1 2013,2.759933
41362,Food price inflation,Feb 1 2014,-1.842833
41363,Food price inflation,Feb 1 2015,-1.114206
41364,Food price inflation,Feb 1 2016,5.896714
41365,Food price inflation,Feb 1 2017,-3.103387
41366,Food price inflation,Feb 1 2018,4.721816
41367,Food price inflation,Feb 1 2019,-1.317716
41368,Food price inflation,Feb 1 2020,1.762977
41369,Food price inflation,Feb 1 2021,-5.486044
41370,Food price inflation,Mar 1 2001,19.30862
41371,Food price inflation,Mar 1 2002,16.183759
41372,Food price inflation,Mar 1 2003,13.929451
41373,Food price inflation,Mar 1 2004,12.226383
41374,Food price inflation,Mar 1 2005,10.894393
41375,Food price inflation,Mar 1 2006,10.307633
41376,Food price inflation,Mar 1 2007,5.400124
41377,Food price inflation,Mar 1 2008,11.847934
41378,Food price inflation,Mar 1 2009,31.58764
41379,Food price inflation,Mar 1 2010,0.10283
41380,Food price inflation,Mar 1 2011,-1.667745
41381,Food price inflation,Mar 1 2012,9.82623
41382,Food price inflation,Mar 1 2013,0.015674
41383,Food price inflation,Mar 1 2014,-2.618839
41384,Food price inflation,Mar 1 2015,0.166636
41385,Food price inflation,Mar 1 2016,5.360444
41386,Food price inflation,Mar 1 2017,-1.368421
41387,Food price inflation,Mar 1 2018,1.716405
41388,Food price inflation,Mar 1 2019,-0.676983
41389,Food price inflation,Mar 1 2020,2.044791
41390,Food price inflation,Mar 1 2021,-3.435115
41391,Food price inflation,Apr 1 2001,19.002854
41392,Food price inflation,Apr 1 2002,15.968402
41393,Food price inflation,Apr 1 2003,13.769615
41394,Food price inflation,Apr 1 2004,12.103069
41395,Food price inflation,Apr 1 2005,10.796376
41396,Food price inflation,Apr 1 2006,12.075946
41397,Food price inflation,Apr 1 2007,4.327383
41398,Food price inflation,Apr 1 2008,16.183886
41399,Food price inflation,Apr 1 2009,25.027987
41400,Food price inflation,Apr 1 2010,-3.099222
41401,Food price inflation,Apr 1 2011,4.723182
41402,Food price inflation,Apr 1 2012,7.371349
41403,Food price inflation,Apr 1 2013,0.236837
41404,Food price inflation,Apr 1 2014,5.540192
41405,Food price inflation,Apr 1 2015,-9.041744
41406,Food price inflation,Apr 1 2016,8.045336
41407,Food price inflation,Apr 1 2017,-2.837489
41408,Food price inflation,Apr 1 2018,2.191166
41409,Food price inflation,Apr 1 2019,-3.735632
41410,Food price inflation,Apr 1 2020,4.875622
41411,Food price inflation,Apr 1 2021,-4.933586
41412,Food price inflation,May 1 2001,18.706621
41413,Food price inflation,May 1 2002,15.758701
41414,Food price inflation,May 1 2003,13.613405
41415,Food price inflation,May 1 2004,11.982217
41416,Food price inflation,May 1 2005,10.700107
41417,Food price inflation,May 1 2006,13.898498
41418,Food price inflation,May 1 2007,2.739163
41419,Food price inflation,May 1 2008,25.9216
41420,Food price inflation,May 1 2009,14.406539
41421,Food price inflation,May 1 2010,-3.939368
41422,Food price inflation,May 1 2011,5.158555
41423,Food price inflation,May 1 2012,7.05404
41424,Food price inflation,May 1 2013,0.934388
41425,Food price inflation,May 1 2014,6.556888
41426,Food price inflation,May 1 2015,-9.842651
41427,Food price inflation,May 1 2016,5.848496
41428,Food price inflation,May 1 2017,-0.947202
41429,Food price inflation,May 1 2018,0.188794
41430,Food price inflation,May 1 2019,-2.248289
41431,Food price inflation,May 1 2020,5.5
41432,Food price inflation,May 1 2021,-4.923858
41433,Food price inflation,Jun 1 2001,18.419483
41434,Food price inflation,Jun 1 2002,15.554436
41435,Food price inflation,Jun 1 2003,13.4607
41436,Food price inflation,Jun 1 2004,11.863756
41437,Food price inflation,Jun 1 2005,10.60554
41438,Food price inflation,Jun 1 2006,14.040234
41439,Food price inflation,Jun 1 2007,2.12155
41440,Food price inflation,Jun 1 2008,30.192529
41441,Food price inflation,Jun 1 2009,9.581805
41442,Food price inflation,Jun 1 2010,-4.165897
41443,Food price inflation,Jun 1 2011,5.29064
41444,Food price inflation,Jun 1 2012,4.643849
41445,Food price inflation,Jun 1 2013,5.985779
41446,Food price inflation,Jun 1 2014,5.44818
41447,Food price inflation,Jun 1 2015,-8.485553
41448,Food price inflation,Jun 1 2016,1.306478
41449,Food price inflation,Jun 1 2017,1.038868
41450,Food price inflation,Jun 1 2018,0.295359
41451,Food price inflation,Jun 1 2019,-2.248289
41452,Food price inflation,Jun 1 2020,4.5
41453,Food price inflation,Jun 1 2021,-3.825036
41454,Food price inflation,Jul 1 2001,18.141026
41455,Food price inflation,Jul 1 2002,15.355399
41456,Food price inflation,Jul 1 2003,13.311383
41457,Food price inflation,Jul 1 2004,11.747613
41458,Food price inflation,Jul 1 2005,10.51263
41459,Food price inflation,Jul 1 2006,14.309881
41460,Food price inflation,Jul 1 2007,1.242076
41461,Food price inflation,Jul 1 2008,31.3135
41462,Food price inflation,Jul 1 2009,7.77905
41463,Food price inflation,Jul 1 2010,-3.453117
41464,Food price inflation,Jul 1 2011,5.844079
41465,Food price inflation,Jul 1 2012,4.505405
41466,Food price inflation,Jul 1 2013,5.107994
41467,Food price inflation,Jul 1 2014,6.239288
41468,Food price inflation,Jul 1 2015,-7.359021
41469,Food price inflation,Jul 1 2016,-0.856837
41470,Food price inflation,Jul 1 2017,1.440403
41471,Food price inflation,Jul 1 2018,0.518134
41472,Food price inflation,Jul 1 2019,-0.292969
41473,Food price inflation,Jul 1 2020,1.860921
41474,Food price inflation,Aug 1 2001,17.870863
41475,Food price inflation,Aug 1 2002,15.161391
41476,Food price inflation,Aug 1 2003,13.165342
41477,Food price inflation,Aug 1 2004,11.633723
41478,Food price inflation,Aug 1 2005,10.421334
41479,Food price inflation,Aug 1 2006,12.904792
41480,Food price inflation,Aug 1 2007,1.910878
41481,Food price inflation,Aug 1 2008,35.85625
41482,Food price inflation,Aug 1 2009,3.544974
41483,Food price inflation,Aug 1 2010,-4.676317
41484,Food price inflation,Aug 1 2011,8.784338
41485,Food price inflation,Aug 1 2012,3.038345
41486,Food price inflation,Aug 1 2013,4.297323
41487,Food price inflation,Aug 1 2014,2.743962
41488,Food price inflation,Aug 1 2015,-0.968356
41489,Food price inflation,Aug 1 2016,-4.592282
41490,Food price inflation,Aug 1 2017,1.390922
41491,Food price inflation,Aug 1 2018,3.122127
41492,Food price inflation,Aug 1 2019,-1.839303
41493,Food price inflation,Aug 1 2020,1.084813
41494,Food price inflation,Sep 1 2001,17.608628
41495,Food price inflation,Sep 1 2002,14.972225
41496,Food price inflation,Sep 1 2003,13.022471
41497,Food price inflation,Sep 1 2004,11.52202
41498,Food price inflation,Sep 1 2005,10.331609
41499,Food price inflation,Sep 1 2006,10.234374
41500,Food price inflation,Sep 1 2007,6.284495
41501,Food price inflation,Sep 1 2008,31.990687
41502,Food price inflation,Sep 1 2009,3.175122
41503,Food price inflation,Sep 1 2010,-4.276058
41504,Food price inflation,Sep 1 2011,9.3347
41505,Food price inflation,Sep 1 2012,1.589338
41506,Food price inflation,Sep 1 2013,4.252517
41507,Food price inflation,Sep 1 2014,3.846125
41508,Food price inflation,Sep 1 2015,-3.047091
41509,Food price inflation,Sep 1 2016,-3.017857
41510,Food price inflation,Sep 1 2017,0.294605
41511,Food price inflation,Sep 1 2018,3.867472
41512,Food price inflation,Sep 1 2019,-0.782014
41513,Food price inflation,Sep 1 2020,0.689655
41514,Food price inflation,Oct 1 2001,17.353979
41515,Food price inflation,Oct 1 2002,14.787721
41516,Food price inflation,Oct 1 2003,12.882668
41517,Food price inflation,Oct 1 2004,11.412441
41518,Food price inflation,Oct 1 2005,10.243417
41519,Food price inflation,Oct 1 2006,10.224576
41520,Food price inflation,Oct 1 2007,7.229279
41521,Food price inflation,Oct 1 2008,28.653623
41522,Food price inflation,Oct 1 2009,3.650814
41523,Food price inflation,Oct 1 2010,-2.918721
41524,Food price inflation,Oct 1 2011,8.714079
41525,Food price inflation,Oct 1 2012,0.271967
41526,Food price inflation,Oct 1 2013,3.233533
41527,Food price inflation,Oct 1 2014,4.532963
41528,Food price inflation,Oct 1 2015,-0.280456
41529,Food price inflation,Oct 1 2016,-5.044823
41530,Food price inflation,Oct 1 2017,-0.074047
41531,Food price inflation,Oct 1 2018,2.863699
41532,Food price inflation,Oct 1 2019,1.992032
41533,Food price inflation,Oct 1 2020,-0.78125
41534,Food price inflation,Nov 1 2001,17.106589
41535,Food price inflation,Nov 1 2002,14.607708
41536,Food price inflation,Nov 1 2003,12.745834
41537,Food price inflation,Nov 1 2004,11.304927
41538,Food price inflation,Nov 1 2005,10.156717
41539,Food price inflation,Nov 1 2006,9.228338
41540,Food price inflation,Nov 1 2007,13.951519
41541,Food price inflation,Nov 1 2008,25.138859
41542,Food price inflation,Nov 1 2009,0.967316
41543,Food price inflation,Nov 1 2010,-3.22761
41544,Food price inflation,Nov 1 2011,7.311167
41545,Food price inflation,Nov 1 2012,0.619184
41546,Food price inflation,Nov 1 2013,1.085645
41547,Food price inflation,Nov 1 2014,4.266076
41548,Food price inflation,Nov 1 2015,2.42227
41549,Food price inflation,Nov 1 2016,-5.647723
41550,Food price inflation,Nov 1 2017,0.187056
41551,Food price inflation,Nov 1 2018,3.567065
41552,Food price inflation,Nov 1 2019,2.492522
41553,Food price inflation,Nov 1 2020,-3.988327
41554,Food price inflation,Dec 1 2001,16.866154
41555,Food price inflation,Dec 1 2002,14.432026
41556,Food price inflation,Dec 1 2003,12.611877
41557,Food price inflation,Dec 1 2004,11.19942
41558,Food price inflation,Dec 1 2005,10.071473
41559,Food price inflation,Dec 1 2006,8.096834
41560,Food price inflation,Dec 1 2007,10.643114
41561,Food price inflation,Dec 1 2008,27.046982
41562,Food price inflation,Dec 1 2009,2.364924
41563,Food price inflation,Dec 1 2010,-3.844527
41564,Food price inflation,Dec 1 2011,7.606733
41565,Food price inflation,Dec 1 2012,2.363567
41566,Food price inflation,Dec 1 2013,-0.835821
41567,Food price inflation,Dec 1 2014,3.781321
41568,Food price inflation,Dec 1 2015,1.814184
41569,Food price inflation,Dec 1 2016,-3.293737
41570,Food price inflation,Dec 1 2017,0.279174
41571,Food price inflation,Dec 1 2018,2.951967
41572,Food price inflation,Dec 1 2019,1.794616
41573,Food price inflation,Dec 1 2020,-4.3095
