,symbol,date,rate
41574,Food price inflation,Jan 1 2001,4.95866
41575,Food price inflation,Jan 1 2002,12.303147
41576,Food price inflation,Jan 1 2003,17.388496
41577,Food price inflation,Jan 1 2004,1.317601
41578,Food price inflation,Jan 1 2005,1.245712
41579,Food price inflation,Jan 1 2006,3.569519
41580,Food price inflation,Jan 1 2007,7.715393
41581,Food price inflation,Jan 1 2008,13.1984
41582,Food price inflation,Jan 1 2009,15.849057
41583,Food price inflation,Jan 1 2010,2.117262
41584,Food price inflation,Jan 1 2011,3.189803
41585,Food price inflation,Jan 1 2012,10.355489
41586,Food price inflation,Jan 1 2013,5.882347
41587,Food price inflation,Jan 1 2014,4.894175
41588,Food price inflation,Jan 1 2015,6.052957
41589,Food price inflation,Jan 1 2016,7.37219
41590,Food price inflation,Jan 1 2017,12.513839
41591,Food price inflation,Jan 1 2018,3.838604
41592,Food price inflation,Jan 1 2019,2.93836
41593,Food price inflation,Jan 1 2020,3.775295
41594,Food price inflation,Jan 1 2021,5.323865
41595,Food price inflation,Feb 1 2001,5.333329
41596,Food price inflation,Feb 1 2002,12.113245
41597,Food price inflation,Feb 1 2003,15.279116
41598,Food price inflation,Feb 1 2004,2.421285
41599,Food price inflation,Feb 1 2005,1.106866
41600,Food price inflation,Feb 1 2006,3.797796
41601,Food price inflation,Feb 1 2007,7.343751
41602,Food price inflation,Feb 1 2008,13.508281
41603,Food price inflation,Feb 1 2009,15.81921
41604,Food price inflation,Feb 1 2010,1.626015
41605,Food price inflation,Feb 1 2011,3.52001
41606,Food price inflation,Feb 1 2012,9.891798
41607,Food price inflation,Feb 1 2013,5.766533
41608,Food price inflation,Feb 1 2014,5.984036
41609,Food price inflation,Feb 1 2015,6.02259
41610,Food price inflation,Feb 1 2016,9.467497
41611,Food price inflation,Feb 1 2017,10.486462
41612,Food price inflation,Feb 1 2018,3.326789
41613,Food price inflation,Feb 1 2019,2.935579
41614,Food price inflation,Feb 1 2020,4.139871
41615,Food price inflation,Feb 1 2021,5.123639
41616,Food price inflation,Mar 1 2001,4.56389
41617,Food price inflation,Mar 1 2002,13.786457
41618,Food price inflation,Mar 1 2003,13.58669
41619,Food price inflation,Mar 1 2004,2.133002
41620,Food price inflation,Mar 1 2005,0.859958
41621,Food price inflation,Mar 1 2006,4.384881
41622,Food price inflation,Mar 1 2007,7.519783
41623,Food price inflation,Mar 1 2008,14.5376
41624,Food price inflation,Mar 1 2009,14.842302
41625,Food price inflation,Mar 1 2010,0.969304
41626,Food price inflation,Mar 1 2011,4.800009
41627,Food price inflation,Mar 1 2012,8.702281
41628,Food price inflation,Mar 1 2013,5.477535
41629,Food price inflation,Mar 1 2014,7.723039
41630,Food price inflation,Mar 1 2015,5.315198
41631,Food price inflation,Mar 1 2016,10.56341
41632,Food price inflation,Mar 1 2017,9.023297
41633,Food price inflation,Mar 1 2018,2.823782
41634,Food price inflation,Mar 1 2019,3.219677
41635,Food price inflation,Mar 1 2020,4.128477
41636,Food price inflation,Mar 1 2021,5.726828
41637,Food price inflation,Apr 1 2001,4.020116
41638,Food price inflation,Apr 1 2002,15.482587
41639,Food price inflation,Apr 1 2003,11.470321
41640,Food price inflation,Apr 1 2004,2.147236
41641,Food price inflation,Apr 1 2005,0.914556
41642,Food price inflation,Apr 1 2006,4.734207
41643,Food price inflation,Apr 1 2007,8.420516
41644,Food price inflation,Apr 1 2008,14.615376
41645,Food price inflation,Apr 1 2009,13.736267
41646,Food price inflation,Apr 1 2010,0.805152
41647,Food price inflation,Apr 1 2011,4.792341
41648,Food price inflation,Apr 1 2012,8.536576
41649,Food price inflation,Apr 1 2013,6.039332
41650,Food price inflation,Apr 1 2014,8.609274
41651,Food price inflation,Apr 1 2015,4.51219
41652,Food price inflation,Apr 1 2016,12.25207
41653,Food price inflation,Apr 1 2017,6.65278
41654,Food price inflation,Apr 1 2018,3.31382
41655,Food price inflation,Apr 1 2019,3.018898
41656,Food price inflation,Apr 1 2020,4.304017
41657,Food price inflation,Apr 1 2021,6.321359
41658,Food price inflation,May 1 2001,3.888354
41659,Food price inflation,May 1 2002,15.562561
41660,Food price inflation,May 1 2003,11.277365
41661,Food price inflation,May 1 2004,1.719124
41662,Food price inflation,May 1 2005,0.681477
41663,Food price inflation,May 1 2006,5.320156
41664,Food price inflation,May 1 2007,9.035992
