,symbol,date,rate
36408,Food price inflation,Jan 1 2001,0.100328
36409,Food price inflation,Jan 1 2002,6.542141
36410,Food price inflation,Jan 1 2003,4.929445
36411,Food price inflation,Jan 1 2004,6.738716
36412,Food price inflation,Jan 1 2005,5.132787
36413,Food price inflation,Jan 1 2006,2.335783
36414,Food price inflation,Jan 1 2007,0.099361
36415,Food price inflation,Jan 1 2008,3.071469
36416,Food price inflation,Jan 1 2009,10.578378
36417,Food price inflation,Jan 1 2010,3.216174
36418,Food price inflation,Jan 1 2011,10.219383
36419,Food price inflation,Jan 1 2012,5.941731
36420,Food price inflation,Jan 1 2013,2.348484
36421,Food price inflation,Jan 1 2014,-1.815504
36422,Food price inflation,Jan 1 2015,2.438724
36423,Food price inflation,Jan 1 2016,1.04292
36424,Food price inflation,Jan 1 2017,6.351727
36425,Food price inflation,Jan 1 2018,-1.082493
36426,Food price inflation,Jan 1 2019,2.641509
36427,Food price inflation,Jan 1 2020,1.847426
36428,Food price inflation,Jan 1 2021,6.524682
36429,Food price inflation,Feb 1 2001,0.19526
36430,Food price inflation,Feb 1 2002,8.439344
36431,Food price inflation,Feb 1 2003,3.076744
36432,Food price inflation,Feb 1 2004,7.023973
36433,Food price inflation,Feb 1 2005,6.054664
36434,Food price inflation,Feb 1 2006,-0.199118
36435,Food price inflation,Feb 1 2007,2.788941
36436,Food price inflation,Feb 1 2008,1.648481
36437,Food price inflation,Feb 1 2009,10.008729
36438,Food price inflation,Feb 1 2010,4.039477
36439,Food price inflation,Feb 1 2011,11.134284
36440,Food price inflation,Feb 1 2012,3.515093
36441,Food price inflation,Feb 1 2013,3.252774
36442,Food price inflation,Feb 1 2014,-1.33637
36443,Food price inflation,Feb 1 2015,2.083566
36444,Food price inflation,Feb 1 2016,3.02819
36445,Food price inflation,Feb 1 2017,3.702988
36446,Food price inflation,Feb 1 2018,1.687488
36447,Food price inflation,Feb 1 2019,0.430916
36448,Food price inflation,Feb 1 2020,0.666423
36449,Food price inflation,Feb 1 2021,9.703455
36450,Food price inflation,Mar 1 2001,3.161395
36451,Food price inflation,Mar 1 2002,4.790504
36452,Food price inflation,Mar 1 2003,6.122792
36453,Food price inflation,Mar 1 2004,7.236071
36454,Food price inflation,Mar 1 2005,4.148514
36455,Food price inflation,Mar 1 2006,-0.39705
36456,Food price inflation,Mar 1 2007,1.791002
