,symbol,date,rate
42216,Food price inflation,Jan 1 2001,5.400552
42217,Food price inflation,Jan 1 2002,14.796382
42218,Food price inflation,Jan 1 2003,10.448017
42219,Food price inflation,Jan 1 2004,0.948767
42220,Food price inflation,Jan 1 2005,15.319549
42221,Food price inflation,Jan 1 2006,5.623472
42222,Food price inflation,Jan 1 2007,16.512346
42223,Food price inflation,Jan 1 2008,30.0
42224,Food price inflation,Jan 1 2009,10.188487
42225,Food price inflation,Jan 1 2010,8.591065
42226,Food price inflation,Jan 1 2011,10.253165
42227,Food price inflation,Jan 1 2012,-0.172216
42228,Food price inflation,Jan 1 2013,10.753306
42229,Food price inflation,Jan 1 2014,1.298027
42230,Food price inflation,Jan 1 2015,18.444666
42231,Food price inflation,Jan 1 2016,-4.208754
42232,Food price inflation,Jan 1 2017,6.59051
42233,Food price inflation,Jan 1 2018,8.985985
42234,Food price inflation,Jan 1 2019,-4.84115
42235,Food price inflation,Jan 1 2020,13.672496
42236,Food price inflation,Jan 1 2021,5.874126
42237,Food price inflation,Feb 1 2001,6.327335
42238,Food price inflation,Feb 1 2002,14.371641
42239,Food price inflation,Feb 1 2003,7.719973
42240,Food price inflation,Feb 1 2004,2.121504
42241,Food price inflation,Feb 1 2005,15.769594
42242,Food price inflation,Feb 1 2006,5.464927
42243,Food price inflation,Feb 1 2007,17.633411
42244,Food price inflation,Feb 1 2008,33.859303
42245,Food price inflation,Feb 1 2009,6.821846
42246,Food price inflation,Feb 1 2010,8.133971
42247,Food price inflation,Feb 1 2011,13.084703
42248,Food price inflation,Feb 1 2012,-4.080492
42249,Food price inflation,Feb 1 2013,12.878788
42250,Food price inflation,Feb 1 2014,0.22066
42251,Food price inflation,Feb 1 2015,11.723447
42252,Food price inflation,Feb 1 2016,-0.627803
42253,Food price inflation,Feb 1 2017,10.198556
42254,Food price inflation,Feb 1 2018,3.685504
42255,Food price inflation,Feb 1 2019,-2.922591
42256,Food price inflation,Feb 1 2020,16.273393
42257,Food price inflation,Feb 1 2021,6.927922
42258,Food price inflation,Mar 1 2001,7.247294
42259,Food price inflation,Mar 1 2002,13.957287
42260,Food price inflation,Mar 1 2003,4.009253
42261,Food price inflation,Mar 1 2004,3.267327
42262,Food price inflation,Mar 1 2005,16.20326
42263,Food price inflation,Mar 1 2006,4.785479
42264,Food price inflation,Mar 1 2007,19.055118
42265,Food price inflation,Mar 1 2008,37.103175
42266,Food price inflation,Mar 1 2009,3.552698
42267,Food price inflation,Mar 1 2010,7.34072
42268,Food price inflation,Mar 1 2011,13.677419
42269,Food price inflation,Mar 1 2012,-2.553916
42270,Food price inflation,Mar 1 2013,12.638323
42271,Food price inflation,Mar 1 2014,0.677853
42272,Food price inflation,Mar 1 2015,8.291708
42273,Food price inflation,Mar 1 2016,0.461255
42274,Food price inflation,Mar 1 2017,11.202938
42275,Food price inflation,Mar 1 2018,2.642444
