,symbol,date,price
42462,Food price inflation,Jan 1 2009,12.343836
42463,Food price inflation,Jan 1 2010,18.769496
42464,Food price inflation,Jan 1 2011,19.729221
42465,Food price inflation,Jan 1 2012,23.066927
42466,Food price inflation,Jan 1 2013,43.571133
42467,Food price inflation,Jan 1 2014,25.774762
42468,Food price inflation,Jan 1 2015,24.264132
42469,Food price inflation,Jan 1 2016,9.913405
42470,Food price inflation,Jan 1 2017,27.623577
42471,Food price inflation,Jan 1 2018,56.211377
42472,Food price inflation,Jan 1 2019,61.360641
42473,Food price inflation,Jan 1 2020,67.735805
42474,Food price inflation,Jan 1 2021,248.26469
42475,Food price inflation,Feb 1 2009,12.790723
42476,Food price inflation,Feb 1 2010,17.972
42477,Food price inflation,Feb 1 2011,19.905819
42478,Food price inflation,Feb 1 2012,25.052786
42479,Food price inflation,Feb 1 2013,45.027865
42480,Food price inflation,Feb 1 2014,23.722648
42481,Food price inflation,Feb 1 2015,23.076719
42482,Food price inflation,Feb 1 2016,8.731488
42483,Food price inflation,Feb 1 2017,31.463962
42484,Food price inflation,Feb 1 2018,58.07751
42485,Food price inflation,Feb 1 2019,62.041995
42486,Food price inflation,Feb 1 2020,76.127906
42487,Food price inflation,Feb 1 2021,261.991344
42488,Food price inflation,Mar 1 2009,13.054231
42489,Food price inflation,Mar 1 2010,18.395005
42490,Food price inflation,Mar 1 2011,20.361799
42491,Food price inflation,Mar 1 2012,26.301117
42492,Food price inflation,Mar 1 2013,46.398178
42493,Food price inflation,Mar 1 2014,21.169951
42494,Food price inflation,Mar 1 2015,24.868095
42495,Food price inflation,Mar 1 2016,5.864786
42496,Food price inflation,Mar 1 2017,34.58348
42497,Food price inflation,Mar 1 2018,60.193207
42498,Food price inflation,Mar 1 2019,61.625377
42499,Food price inflation,Mar 1 2020,97.858419
42500,Food price inflation,Mar 1 2021,236.347456
42501,Food price inflation,Apr 1 2009,9.438647
42502,Food price inflation,Apr 1 2010,18.936921
42503,Food price inflation,Apr 1 2011,18.826165
42504,Food price inflation,Apr 1 2012,34.736564
42505,Food price inflation,Apr 1 2013,36.918433
42506,Food price inflation,Apr 1 2014,25.388362
