,symbol,date,price
42612,Food price inflation,Jan 1 2001,11.587749
42613,Food price inflation,Jan 1 2002,10.384427
42614,Food price inflation,Jan 1 2003,9.407511
42615,Food price inflation,Jan 1 2004,8.598597
42616,Food price inflation,Jan 1 2005,8.088609
42617,Food price inflation,Jan 1 2006,7.76583
42618,Food price inflation,Jan 1 2007,-0.94235
42619,Food price inflation,Jan 1 2008,22.551763
42620,Food price inflation,Jan 1 2009,18.127854
42621,Food price inflation,Jan 1 2010,-6.266911
42622,Food price inflation,Jan 1 2011,17.140059
42623,Food price inflation,Jan 1 2012,10.535117
42624,Food price inflation,Jan 1 2013,4.311649
42625,Food price inflation,Jan 1 2014,2.610587
42626,Food price inflation,Jan 1 2015,7.773852
42627,Food price inflation,Jan 1 2016,13.639344
42628,Food price inflation,Jan 1 2017,70.113251
42629,Food price inflation,Jan 1 2018,12.317167
42630,Food price inflation,Jan 1 2019,6.305689
42631,Food price inflation,Jan 1 2020,5.222437
42632,Food price inflation,Jan 1 2021,68.627451
42633,Food price inflation,Feb 1 2001,11.476922
42634,Food price inflation,Feb 1 2002,10.295335
42635,Food price inflation,Feb 1 2003,9.334334
42636,Food price inflation,Feb 1 2004,8.537422
42637,Food price inflation,Feb 1 2005,7.444245
42638,Food price inflation,Feb 1 2006,9.253731
42639,Food price inflation,Feb 1 2007,-1.639344
42640,Food price inflation,Feb 1 2008,21.555556
42641,Food price inflation,Feb 1 2009,15.539305
42642,Food price inflation,Feb 1 2010,-4.455103
42643,Food price inflation,Feb 1 2011,20.353982
42644,Food price inflation,Feb 1 2012,10.294118
42645,Food price inflation,Feb 1 2013,1.111111
42646,Food price inflation,Feb 1 2014,3.956044
42647,Food price inflation,Feb 1 2015,7.047216
42648,Food price inflation,Feb 1 2016,18.235681
42649,Food price inflation,Feb 1 2017,63.8933
42650,Food price inflation,Feb 1 2018,13.338473
42651,Food price inflation,Feb 1 2019,5.442177
42652,Food price inflation,Feb 1 2020,7.806452
42653,Food price inflation,Feb 1 2021,67.564333
42654,Food price inflation,Mar 1 2001,11.368196
42655,Food price inflation,Mar 1 2002,10.207758
42656,Food price inflation,Mar 1 2003,9.262286
42657,Food price inflation,Mar 1 2004,8.477112
42658,Food price inflation,Mar 1 2005,5.852352
42659,Food price inflation,Mar 1 2006,10.415412
42660,Food price inflation,Mar 1 2007,-1.035987
42661,Food price inflation,Mar 1 2008,25.619835
42662,Food price inflation,Mar 1 2009,10.833333
42663,Food price inflation,Mar 1 2010,-3.477444
42664,Food price inflation,Mar 1 2011,24.440117
42665,Food price inflation,Mar 1 2012,5.477308
42666,Food price inflation,Mar 1 2013,1.261128
42667,Food price inflation,Mar 1 2014,4.322344
42668,Food price inflation,Mar 1 2015,6.671348
42669,Food price inflation,Mar 1 2016,21.329822
42670,Food price inflation,Mar 1 2017,60.452555
42671,Food price inflation,Mar 1 2018,13.277053
42672,Food price inflation,Mar 1 2019,4.810298
42673,Food price inflation,Mar 1 2020,22.042663
42674,Food price inflation,Mar 1 2021,53.601695
42675,Food price inflation,Apr 1 2001,11.26151
42676,Food price inflation,Apr 1 2002,10.121658
42677,Food price inflation,Apr 1 2003,9.191342
42678,Food price inflation,Apr 1 2004,8.417647
42679,Food price inflation,Apr 1 2005,4.660953
42680,Food price inflation,Apr 1 2006,8.106473
42681,Food price inflation,Apr 1 2007,4.588696
42682,Food price inflation,Apr 1 2008,28.892456
42683,Food price inflation,Apr 1 2009,1.644873
42684,Food price inflation,Apr 1 2010,-0.096993
42685,Food price inflation,Apr 1 2011,26.31068
42686,Food price inflation,Apr 1 2012,1.614143
42687,Food price inflation,Apr 1 2013,2.571861
42688,Food price inflation,Apr 1 2014,4.867257
42689,Food price inflation,Apr 1 2015,6.540084
42690,Food price inflation,Apr 1 2016,35.270369
42691,Food price inflation,Apr 1 2017,44.739756
42692,Food price inflation,Apr 1 2018,13.083397
42693,Food price inflation,Apr 1 2019,5.142084
42694,Food price inflation,Apr 1 2020,35.18018
42695,Food price inflation,Apr 1 2021,48.093493
42696,Food price inflation,May 1 2001,11.156808
42697,Food price inflation,May 1 2002,10.036999
42698,Food price inflation,May 1 2003,9.121477
42699,Food price inflation,May 1 2004,8.359011
42700,Food price inflation,May 1 2005,5.435042
42701,Food price inflation,May 1 2006,4.952267
42702,Food price inflation,May 1 2007,13.473565
42703,Food price inflation,May 1 2008,22.144289
42704,Food price inflation,May 1 2009,-4.045324
42705,Food price inflation,May 1 2010,9.238579
42706,Food price inflation,May 1 2011,20.260223
42707,Food price inflation,May 1 2012,2.395672
42708,Food price inflation,May 1 2013,5.056604
42709,Food price inflation,May 1 2014,2.227011
42710,Food price inflation,May 1 2015,8.011244
42711,Food price inflation,May 1 2016,50.757675
42712,Food price inflation,May 1 2017,28.893242
42713,Food price inflation,May 1 2018,12.68997
42714,Food price inflation,May 1 2019,5.124747
42715,Food price inflation,May 1 2020,43.681847
42716,Food price inflation,May 1 2021,46.696429
42717,Food price inflation,Jun 1 2001,11.054035
42718,Food price inflation,Jun 1 2002,9.953744
42719,Food price inflation,Jun 1 2003,9.052665
42720,Food price inflation,Jun 1 2004,8.301187
42721,Food price inflation,Jun 1 2005,5.824202
42722,Food price inflation,Jun 1 2006,6.615475
42723,Food price inflation,Jun 1 2007,16.786704
42724,Food price inflation,Jun 1 2008,18.406072
42725,Food price inflation,Jun 1 2009,-6.370192
42726,Food price inflation,Jun 1 2010,16.768293
42727,Food price inflation,Jun 1 2011,14.273281
42728,Food price inflation,Jun 1 2012,3.12262
42729,Food price inflation,Jun 1 2013,5.612999
42730,Food price inflation,Jun 1 2014,-0.06993
42731,Food price inflation,Jun 1 2015,11.896431
42732,Food price inflation,Jun 1 2016,52.718399
42733,Food price inflation,Jun 1 2017,26.115242
42734,Food price inflation,Jun 1 2018,9.653648
42735,Food price inflation,Jun 1 2019,5.77957
42736,Food price inflation,Jun 1 2020,49.047014
42737,Food price inflation,Jun 1 2021,59.931799
42738,Food price inflation,Jul 1 2001,10.953138
42739,Food price inflation,Jul 1 2002,9.871859
42740,Food price inflation,Jul 1 2003,8.984884
42741,Food price inflation,Jul 1 2004,8.244156
42742,Food price inflation,Jul 1 2005,6.829523
42743,Food price inflation,Jul 1 2006,4.883721
42744,Food price inflation,Jul 1 2007,12.638581
42745,Food price inflation,Jul 1 2008,24.212598
42746,Food price inflation,Jul 1 2009,-7.973455
42747,Food price inflation,Jul 1 2010,16.973415
42748,Food price inflation,Jul 1 2011,16.608392
42749,Food price inflation,Jul 1 2012,2.023988
42750,Food price inflation,Jul 1 2013,4.555474
42751,Food price inflation,Jul 1 2014,2.389318
42752,Food price inflation,Jul 1 2015,10.981469
42753,Food price inflation,Jul 1 2016,54.527172
42754,Food price inflation,Jul 1 2017,26.793824
42755,Food price inflation,Jul 1 2018,6.948424
42756,Food price inflation,Jul 1 2019,5.492297
42757,Food price inflation,Jul 1 2020,54.85101
42758,Food price inflation,Aug 1 2001,10.854066
42759,Food price inflation,Aug 1 2002,9.791311
42760,Food price inflation,Aug 1 2003,8.918111
42761,Food price inflation,Aug 1 2004,8.187904
42762,Food price inflation,Aug 1 2005,6.464357
42763,Food price inflation,Aug 1 2006,6.84058
42764,Food price inflation,Aug 1 2007,11.231687
42765,Food price inflation,Aug 1 2008,27.707317
42766,Food price inflation,Aug 1 2009,-8.374714
42767,Food price inflation,Aug 1 2010,14.257426
42768,Food price inflation,Aug 1 2011,15.857886
42769,Food price inflation,Aug 1 2012,3.664921
42770,Food price inflation,Aug 1 2013,2.020202
42771,Food price inflation,Aug 1 2014,3.677511
42772,Food price inflation,Aug 1 2015,10.982265
42773,Food price inflation,Aug 1 2016,62.086234
42774,Food price inflation,Aug 1 2017,20.998279
42775,Food price inflation,Aug 1 2018,7.610242
42776,Food price inflation,Aug 1 2019,4.692664
42777,Food price inflation,Aug 1 2020,56.289457
42778,Food price inflation,Sep 1 2001,10.75677
42779,Food price inflation,Sep 1 2002,9.712066
42780,Food price inflation,Sep 1 2003,8.852322
42781,Food price inflation,Sep 1 2004,8.132415
42782,Food price inflation,Sep 1 2005,9.170351
42783,Food price inflation,Sep 1 2006,3.595506
42784,Food price inflation,Sep 1 2007,11.171367
42785,Food price inflation,Sep 1 2008,28.926829
42786,Food price inflation,Sep 1 2009,-7.623912
42787,Food price inflation,Sep 1 2010,15.077821
42788,Food price inflation,Sep 1 2011,12.933221
42789,Food price inflation,Sep 1 2012,2.769461
42790,Food price inflation,Sep 1 2013,2.112163
42791,Food price inflation,Sep 1 2014,4.992867
42792,Food price inflation,Sep 1 2015,9.171196
42793,Food price inflation,Sep 1 2016,76.248839
42794,Food price inflation,Sep 1 2017,15.384615
42795,Food price inflation,Sep 1 2018,5.763889
42796,Food price inflation,Sep 1 2019,5.38411
42797,Food price inflation,Sep 1 2020,56.261682
42798,Food price inflation,Oct 1 2001,10.661204
42799,Food price inflation,Oct 1 2002,9.634093
42800,Food price inflation,Oct 1 2003,8.787498
42801,Food price inflation,Oct 1 2004,8.077672
42802,Food price inflation,Oct 1 2005,11.294091
42803,Food price inflation,Oct 1 2006,0.438116
42804,Food price inflation,Oct 1 2007,11.232279
42805,Food price inflation,Oct 1 2008,28.186275
42806,Food price inflation,Oct 1 2009,-5.0
42807,Food price inflation,Oct 1 2010,14.913958
42808,Food price inflation,Oct 1 2011,12.229617
42809,Food price inflation,Oct 1 2012,3.039288
42810,Food price inflation,Oct 1 2013,1.007194
42811,Food price inflation,Oct 1 2014,5.982906
42812,Food price inflation,Oct 1 2015,8.534946
42813,Food price inflation,Oct 1 2016,80.294171
42814,Food price inflation,Oct 1 2017,13.09431
42815,Food price inflation,Oct 1 2018,5.444521
42816,Food price inflation,Oct 1 2019,5.228758
42817,Food price inflation,Oct 1 2020,58.819876
42818,Food price inflation,Nov 1 2001,10.56732
42819,Food price inflation,Nov 1 2002,9.557363
42820,Food price inflation,Nov 1 2003,8.723615
42821,Food price inflation,Nov 1 2004,8.023662
42822,Food price inflation,Nov 1 2005,13.754974
42823,Food price inflation,Nov 1 2006,-0.638978
42824,Food price inflation,Nov 1 2007,10.986066
42825,Food price inflation,Nov 1 2008,25.591502
42826,Food price inflation,Nov 1 2009,-5.675702
42827,Food price inflation,Nov 1 2010,16.747338
42828,Food price inflation,Nov 1 2011,10.945274
42829,Food price inflation,Nov 1 2012,5.381166
42830,Food price inflation,Nov 1 2013,-0.992908
42831,Food price inflation,Nov 1 2014,7.449857
42832,Food price inflation,Nov 1 2015,10.533333
42833,Food price inflation,Nov 1 2016,75.755148
42834,Food price inflation,Nov 1 2017,13.239875
42835,Food price inflation,Nov 1 2018,5.845942
42836,Food price inflation,Nov 1 2019,5.003249
42837,Food price inflation,Nov 1 2020,60.272277
42838,Food price inflation,Dec 1 2001,10.475075
42839,Food price inflation,Dec 1 2002,9.481845
42840,Food price inflation,Dec 1 2003,8.660655
42841,Food price inflation,Dec 1 2004,7.970369
42842,Food price inflation,Dec 1 2005,14.800986
42843,Food price inflation,Dec 1 2006,-2.202412
42844,Food price inflation,Dec 1 2007,12.439678
42845,Food price inflation,Dec 1 2008,21.506915
42846,Food price inflation,Dec 1 2009,-4.925432
42847,Food price inflation,Dec 1 2010,16.568627
42848,Food price inflation,Dec 1 2011,10.933558
42849,Food price inflation,Dec 1 2012,6.368461
42850,Food price inflation,Dec 1 2013,-1.140413
42851,Food price inflation,Dec 1 2014,8.651766
42852,Food price inflation,Dec 1 2015,9.887193
42853,Food price inflation,Dec 1 2016,77.200829
42854,Food price inflation,Dec 1 2017,12.374323
42855,Food price inflation,Dec 1 2018,5.987612
42856,Food price inflation,Dec 1 2019,4.935065
42857,Food price inflation,Dec 1 2020,66.831683
