,symbol,date,rate
42858,Food price inflation,Jan 1 2001,0.567372
42859,Food price inflation,Jan 1 2002,6.987697
42860,Food price inflation,Jan 1 2003,-0.988208
42861,Food price inflation,Jan 1 2004,0.830323
42862,Food price inflation,Jan 1 2005,-0.873401
42863,Food price inflation,Jan 1 2006,-0.579005
42864,Food price inflation,Jan 1 2007,2.126941
42865,Food price inflation,Jan 1 2008,5.309913
42866,Food price inflation,Jan 1 2009,5.450271
42867,Food price inflation,Jan 1 2010,1.391676
42868,Food price inflation,Jan 1 2011,0.913827
42869,Food price inflation,Jan 1 2012,1.069216
42870,Food price inflation,Jan 1 2013,2.335277
42871,Food price inflation,Jan 1 2014,0.323492
42872,Food price inflation,Jan 1 2015,1.468533
42873,Food price inflation,Jan 1 2016,2.196853
42874,Food price inflation,Jan 1 2017,1.700043
42875,Food price inflation,Jan 1 2018,2.306442
42876,Food price inflation,Jan 1 2019,1.633939
42877,Food price inflation,Jan 1 2020,2.448245
42878,Food price inflation,Jan 1 2021,1.903129
42879,Food price inflation,Feb 1 2001,0.181493
42880,Food price inflation,Feb 1 2002,5.894836
42881,Food price inflation,Feb 1 2003,0.367211
42882,Food price inflation,Feb 1 2004,-0.18294
42883,Food price inflation,Feb 1 2005,1.141294
42884,Food price inflation,Feb 1 2006,-1.746151
42885,Food price inflation,Feb 1 2007,1.5215
42886,Food price inflation,Feb 1 2008,5.891576
42887,Food price inflation,Feb 1 2009,5.376643
42888,Food price inflation,Feb 1 2010,1.06191
42889,Food price inflation,Feb 1 2011,1.607232
42890,Food price inflation,Feb 1 2012,1.02691
42891,Food price inflation,Feb 1 2013,1.861756
42892,Food price inflation,Feb 1 2014,0.570726
42893,Food price inflation,Feb 1 2015,1.650252
42894,Food price inflation,Feb 1 2016,1.643983
42895,Food price inflation,Feb 1 2017,2.058873
42896,Food price inflation,Feb 1 2018,1.815907
42897,Food price inflation,Feb 1 2019,2.746626
42898,Food price inflation,Feb 1 2020,2.50586
42899,Food price inflation,Feb 1 2021,0.138569
42900,Food price inflation,Mar 1 2001,1.145764
42901,Food price inflation,Mar 1 2002,6.201891
42902,Food price inflation,Mar 1 2003,-0.247104
42903,Food price inflation,Mar 1 2004,-0.231192
42904,Food price inflation,Mar 1 2005,-0.753127
42905,Food price inflation,Mar 1 2006,-0.466972
42906,Food price inflation,Mar 1 2007,1.721681
42907,Food price inflation,Mar 1 2008,6.823702
42908,Food price inflation,Mar 1 2009,4.521975
42909,Food price inflation,Mar 1 2010,1.113862
42910,Food price inflation,Mar 1 2011,1.335035
42911,Food price inflation,Mar 1 2012,1.223853
42912,Food price inflation,Mar 1 2013,1.721131
42913,Food price inflation,Mar 1 2014,0.157315
42914,Food price inflation,Mar 1 2015,2.017457
42915,Food price inflation,Mar 1 2016,2.008307
42916,Food price inflation,Mar 1 2017,1.603216
42917,Food price inflation,Mar 1 2018,2.043374
42918,Food price inflation,Mar 1 2019,3.241477
42919,Food price inflation,Mar 1 2020,2.528701
42920,Food price inflation,Mar 1 2021,-0.073321
42921,Food price inflation,Apr 1 2001,2.184293
42922,Food price inflation,Apr 1 2002,4.469935
42923,Food price inflation,Apr 1 2003,-0.024855
42924,Food price inflation,Apr 1 2004,-0.157447
42925,Food price inflation,Apr 1 2005,-0.933634
42926,Food price inflation,Apr 1 2006,-0.188489
42927,Food price inflation,Apr 1 2007,2.786516
42928,Food price inflation,Apr 1 2008,6.467154
42929,Food price inflation,Apr 1 2009,3.758101
42930,Food price inflation,Apr 1 2010,1.275086
42931,Food price inflation,Apr 1 2011,1.317416
42932,Food price inflation,Apr 1 2012,0.597928
42933,Food price inflation,Apr 1 2013,2.857243
42934,Food price inflation,Apr 1 2014,-0.400327
42935,Food price inflation,Apr 1 2015,2.680701
42936,Food price inflation,Apr 1 2016,1.579315
42937,Food price inflation,Apr 1 2017,1.451002
42938,Food price inflation,Apr 1 2018,2.520068
42939,Food price inflation,Apr 1 2019,2.651547
42940,Food price inflation,Apr 1 2020,3.540278
42941,Food price inflation,Apr 1 2021,-0.527465
42942,Food price inflation,May 1 2001,3.334511
42943,Food price inflation,May 1 2002,2.660705
42944,Food price inflation,May 1 2003,-0.547386
42945,Food price inflation,May 1 2004,0.512855
42946,Food price inflation,May 1 2005,-0.448018
42947,Food price inflation,May 1 2006,0.883414
42948,Food price inflation,May 1 2007,0.268486
42949,Food price inflation,May 1 2008,7.913484
42950,Food price inflation,May 1 2009,2.985193
42951,Food price inflation,May 1 2010,1.097193
42952,Food price inflation,May 1 2011,1.484927
42953,Food price inflation,May 1 2012,1.322302
42954,Food price inflation,May 1 2013,3.041539
42955,Food price inflation,May 1 2014,-0.449862
