,symbol,date,price
43350,Food price inflation,Jan 1 2001,-1.851566
43351,Food price inflation,Jan 1 2002,0.125766
43352,Food price inflation,Jan 1 2003,0.112419
43353,Food price inflation,Jan 1 2004,7.393792
43354,Food price inflation,Jan 1 2005,5.518576
43355,Food price inflation,Jan 1 2006,8.969559
43356,Food price inflation,Jan 1 2007,20.377339
43357,Food price inflation,Jan 1 2008,8.822365
43358,Food price inflation,Jan 1 2009,10.384979
43359,Food price inflation,Jan 1 2010,-1.569093
43360,Food price inflation,Jan 1 2011,12.036169
43361,Food price inflation,Jan 1 2012,15.794823
43362,Food price inflation,Jan 1 2013,54.494295
43363,Food price inflation,Jan 1 2014,88.35328
43364,Food price inflation,Jan 1 2015,17.291707
43365,Food price inflation,Jan 1 2016,64.239603
43366,Food price inflation,Jan 1 2017,35.807972
43367,Food price inflation,Jan 1 2018,-0.558917
43368,Food price inflation,Jan 1 2019,6.116208
43369,Food price inflation,Jan 1 2020,47.344728
43370,Food price inflation,Jan 1 2021,97.669261
43371,Food price inflation,Feb 1 2001,-1.669243
43372,Food price inflation,Feb 1 2002,0.062873
43373,Food price inflation,Feb 1 2003,0.790449
43374,Food price inflation,Feb 1 2004,7.18418
43375,Food price inflation,Feb 1 2005,5.810727
43376,Food price inflation,Feb 1 2006,9.334596
43377,Food price inflation,Feb 1 2007,19.976922
43378,Food price inflation,Feb 1 2008,13.187072
43379,Food price inflation,Feb 1 2009,3.181881
43380,Food price inflation,Feb 1 2010,3.615675
43381,Food price inflation,Feb 1 2011,5.757359
43382,Food price inflation,Feb 1 2012,27.084485
43383,Food price inflation,Feb 1 2013,49.02577
43384,Food price inflation,Feb 1 2014,79.854732
43385,Food price inflation,Feb 1 2015,24.944215
43386,Food price inflation,Feb 1 2016,57.138073
43387,Food price inflation,Feb 1 2017,34.833073
43388,Food price inflation,Feb 1 2018,0.68592
43389,Food price inflation,Feb 1 2019,7.900795
43390,Food price inflation,Feb 1 2020,51.475124
43391,Food price inflation,Feb 1 2021,88.378326
43392,Food price inflation,Mar 1 2001,-1.486298
43393,Food price inflation,Mar 1 2002,0.0
43394,Food price inflation,Mar 1 2003,1.469118
43395,Food price inflation,Mar 1 2004,6.977176
43396,Food price inflation,Mar 1 2005,6.100368
43397,Food price inflation,Mar 1 2006,9.694511
43398,Food price inflation,Mar 1 2007,18.585626
43399,Food price inflation,Mar 1 2008,16.535433
43400,Food price inflation,Mar 1 2009,2.831081
43401,Food price inflation,Mar 1 2010,1.885801
43402,Food price inflation,Mar 1 2011,4.08874
43403,Food price inflation,Mar 1 2012,39.306072
43404,Food price inflation,Mar 1 2013,51.205302
43405,Food price inflation,Mar 1 2014,74.320161
43406,Food price inflation,Mar 1 2015,24.280533
43407,Food price inflation,Mar 1 2016,53.129133
43408,Food price inflation,Mar 1 2017,33.888127
43409,Food price inflation,Mar 1 2018,-0.018432
43410,Food price inflation,Mar 1 2019,8.500615
43411,Food price inflation,Mar 1 2020,61.701907
43412,Food price inflation,Mar 1 2021,72.410352
43413,Food price inflation,Apr 1 2001,-1.30273
43414,Food price inflation,Apr 1 2002,-0.062854
43415,Food price inflation,Apr 1 2003,2.148428
43416,Food price inflation,Apr 1 2004,6.772732
43417,Food price inflation,Apr 1 2005,6.387531
43418,Food price inflation,Apr 1 2006,10.049411
43419,Food price inflation,Apr 1 2007,13.183652
43420,Food price inflation,Apr 1 2008,22.864609
43421,Food price inflation,Apr 1 2009,-0.824139
43422,Food price inflation,Apr 1 2010,3.746147
43423,Food price inflation,Apr 1 2011,4.302048
43424,Food price inflation,Apr 1 2012,41.0231
43425,Food price inflation,Apr 1 2013,58.868737
43426,Food price inflation,Apr 1 2014,60.06319
43427,Food price inflation,Apr 1 2015,34.303568
43428,Food price inflation,Apr 1 2016,46.454846
43429,Food price inflation,Apr 1 2017,32.802954
43430,Food price inflation,Apr 1 2018,-0.531589
43431,Food price inflation,Apr 1 2019,8.191161
43432,Food price inflation,Apr 1 2020,78.876223
43433,Food price inflation,Apr 1 2021,57.449128
43434,Food price inflation,May 1 2001,-1.118533
43435,Food price inflation,May 1 2002,-0.125687
43436,Food price inflation,May 1 2003,2.828378
43437,Food price inflation,May 1 2004,6.570799
43438,Food price inflation,May 1 2005,6.672246
43439,Food price inflation,May 1 2006,10.399401
43440,Food price inflation,May 1 2007,5.392634
43441,Food price inflation,May 1 2008,26.564806
43442,Food price inflation,May 1 2009,-1.015159
43443,Food price inflation,May 1 2010,3.852817
43444,Food price inflation,May 1 2011,4.497231
43445,Food price inflation,May 1 2012,41.625694
43446,Food price inflation,May 1 2013,74.156898
43447,Food price inflation,May 1 2014,47.43299
43448,Food price inflation,May 1 2015,36.412261
43449,Food price inflation,May 1 2016,51.478842
43450,Food price inflation,May 1 2017,25.899403
43451,Food price inflation,May 1 2018,0.003131
43452,Food price inflation,May 1 2019,9.726571
43453,Food price inflation,May 1 2020,97.407267
43454,Food price inflation,May 1 2021,43.390087
43455,Food price inflation,Jun 1 2001,-0.933707
43456,Food price inflation,Jun 1 2002,-0.188501
43457,Food price inflation,Jun 1 2003,3.508971
43458,Food price inflation,Jun 1 2004,6.371333
43459,Food price inflation,Jun 1 2005,6.954545
43460,Food price inflation,Jun 1 2006,10.744581
43461,Food price inflation,Jun 1 2007,1.081296
43462,Food price inflation,Jun 1 2008,30.414912
