,symbol,date,price
43842,Food price inflation,Jan 1 2001,-0.947848
43843,Food price inflation,Jan 1 2002,0.679867
43844,Food price inflation,Jan 1 2003,0.582426
43845,Food price inflation,Jan 1 2004,3.710725
43846,Food price inflation,Jan 1 2005,4.542177
43847,Food price inflation,Jan 1 2006,4.950192
43848,Food price inflation,Jan 1 2007,4.526869
43849,Food price inflation,Jan 1 2008,4.687762
43850,Food price inflation,Jan 1 2009,10.76833
43851,Food price inflation,Jan 1 2010,-1.051267
43852,Food price inflation,Jan 1 2011,3.022814
43853,Food price inflation,Jan 1 2012,7.703657
43854,Food price inflation,Jan 1 2013,4.295499
43855,Food price inflation,Jan 1 2014,3.621353
43856,Food price inflation,Jan 1 2015,2.335899
43857,Food price inflation,Jan 1 2016,0.813943
43858,Food price inflation,Jan 1 2017,1.528057
43859,Food price inflation,Jan 1 2018,0.088661
43860,Food price inflation,Jan 1 2019,1.338583
43861,Food price inflation,Jan 1 2020,1.816239
43862,Food price inflation,Jan 1 2021,0.575076
43863,Food price inflation,Feb 1 2001,-0.798129
43864,Food price inflation,Feb 1 2002,0.64549
43865,Food price inflation,Feb 1 2003,0.860759
43866,Food price inflation,Feb 1 2004,3.784639
43867,Food price inflation,Feb 1 2005,4.584041
43868,Food price inflation,Feb 1 2006,4.91453
43869,Food price inflation,Feb 1 2007,4.480652
43870,Food price inflation,Feb 1 2008,5.334169
43871,Food price inflation,Feb 1 2009,9.983482
43872,Food price inflation,Feb 1 2010,-0.838525
43873,Food price inflation,Feb 1 2011,3.204634
43874,Food price inflation,Feb 1 2012,7.183998
43875,Food price inflation,Feb 1 2013,4.064485
43876,Food price inflation,Feb 1 2014,4.262511
43877,Food price inflation,Feb 1 2015,1.719946
43878,Food price inflation,Feb 1 2016,1.257082
43879,Food price inflation,Feb 1 2017,0.99691
43880,Food price inflation,Feb 1 2018,-0.157853
43881,Food price inflation,Feb 1 2019,1.887352
43882,Food price inflation,Feb 1 2020,2.03666
43883,Food price inflation,Feb 1 2021,-0.423126
43884,Food price inflation,Mar 1 2001,-0.648136
43885,Food price inflation,Mar 1 2002,0.611154
43886,Food price inflation,Mar 1 2003,1.138952
43887,Food price inflation,Mar 1 2004,3.858108
