,symbol,date,price
44826,Food price inflation,Jan 1 2001,8.794747
44827,Food price inflation,Jan 1 2002,13.599846
44828,Food price inflation,Jan 1 2003,10.526698
44829,Food price inflation,Jan 1 2004,14.506618
44830,Food price inflation,Jan 1 2005,18.24644
44831,Food price inflation,Jan 1 2006,22.808625
44832,Food price inflation,Jan 1 2007,20.876287
44833,Food price inflation,Jan 1 2008,20.741145
44834,Food price inflation,Jan 1 2009,25.90897
44835,Food price inflation,Jan 1 2010,2.665675
44836,Food price inflation,Jan 1 2011,30.857861
44837,Food price inflation,Jan 1 2012,13.955299
44838,Food price inflation,Jan 1 2013,13.80932
44839,Food price inflation,Jan 1 2014,3.211871
44840,Food price inflation,Jan 1 2015,14.613285
44841,Food price inflation,Jan 1 2016,4.5
44842,Food price inflation,Jan 1 2017,7.655502
44843,Food price inflation,Jan 1 2018,2.577778
44844,Food price inflation,Jan 1 2019,0.519931
44845,Food price inflation,Jan 1 2020,0.431034
44846,Food price inflation,Jan 1 2021,3.175966
44847,Food price inflation,Feb 1 2001,9.295564
44848,Food price inflation,Feb 1 2002,13.255301
44849,Food price inflation,Feb 1 2003,11.143295
44850,Food price inflation,Feb 1 2004,13.228645
44851,Food price inflation,Feb 1 2005,23.201969
44852,Food price inflation,Feb 1 2006,19.919277
44853,Food price inflation,Feb 1 2007,19.656763
44854,Food price inflation,Feb 1 2008,18.77538
44855,Food price inflation,Feb 1 2009,25.944131
44856,Food price inflation,Feb 1 2010,6.242099
44857,Food price inflation,Feb 1 2011,25.033415
44858,Food price inflation,Feb 1 2012,20.191954
44859,Food price inflation,Feb 1 2013,10.643564
44860,Food price inflation,Feb 1 2014,5.201342
44861,Food price inflation,Feb 1 2015,11.830516
44862,Food price inflation,Feb 1 2016,9.381238
44863,Food price inflation,Feb 1 2017,2.919708
44864,Food price inflation,Feb 1 2018,2.659574
44865,Food price inflation,Feb 1 2019,-0.345423
44866,Food price inflation,Feb 1 2020,1.039861
44867,Food price inflation,Feb 1 2021,2.315609
44868,Food price inflation,Mar 1 2001,9.789604
44869,Food price inflation,Mar 1 2002,12.918498
44870,Food price inflation,Mar 1 2003,13.199023
44871,Food price inflation,Mar 1 2004,10.834438
44872,Food price inflation,Mar 1 2005,25.545354
44873,Food price inflation,Mar 1 2006,19.209913
44874,Food price inflation,Mar 1 2007,18.83719
44875,Food price inflation,Mar 1 2008,19.734268
44876,Food price inflation,Mar 1 2009,24.462585
44877,Food price inflation,Mar 1 2010,7.069616
44878,Food price inflation,Mar 1 2011,21.06446
44879,Food price inflation,Mar 1 2012,20.28327
44880,Food price inflation,Mar 1 2013,12.893082
44881,Food price inflation,Mar 1 2014,6.703807
44882,Food price inflation,Mar 1 2015,9.606683
44883,Food price inflation,Mar 1 2016,8.6
44884,Food price inflation,Mar 1 2017,3.683241
44885,Food price inflation,Mar 1 2018,2.131439
44886,Food price inflation,Mar 1 2019,0.869565
44887,Food price inflation,Mar 1 2020,1.206897
44888,Food price inflation,Mar 1 2021,2.044293
44889,Food price inflation,Apr 1 2001,10.277004
44890,Food price inflation,Apr 1 2002,12.58918
44891,Food price inflation,Apr 1 2003,15.226041
44892,Food price inflation,Apr 1 2004,8.910236
44893,Food price inflation,Apr 1 2005,24.54189
44894,Food price inflation,Apr 1 2006,19.395366
44895,Food price inflation,Apr 1 2007,18.883729
44896,Food price inflation,Apr 1 2008,19.546756
44897,Food price inflation,Apr 1 2009,25.232729
44898,Food price inflation,Apr 1 2010,12.655282
44899,Food price inflation,Apr 1 2011,15.030544
44900,Food price inflation,Apr 1 2012,26.138251
44901,Food price inflation,Apr 1 2013,9.352661
44902,Food price inflation,Apr 1 2014,4.122027
44903,Food price inflation,Apr 1 2015,9.067213
44904,Food price inflation,Apr 1 2016,9.969789
44905,Food price inflation,Apr 1 2017,1.831502
44906,Food price inflation,Apr 1 2018,2.697842
44907,Food price inflation,Apr 1 2019,-0.262697
44908,Food price inflation,Apr 1 2020,3.424056
44909,Food price inflation,Apr 1 2021,1.528014
44910,Food price inflation,May 1 2001,10.757896
44911,Food price inflation,May 1 2002,12.267098
44912,Food price inflation,May 1 2003,15.747066
44913,Food price inflation,May 1 2004,10.785836
44914,Food price inflation,May 1 2005,21.694169
44915,Food price inflation,May 1 2006,22.683645
44916,Food price inflation,May 1 2007,17.276989
44917,Food price inflation,May 1 2008,21.807595
44918,Food price inflation,May 1 2009,19.616171
44919,Food price inflation,May 1 2010,19.433577
44920,Food price inflation,May 1 2011,8.177923
44921,Food price inflation,May 1 2012,28.334615
44922,Food price inflation,May 1 2013,9.619555
44923,Food price inflation,May 1 2014,3.812264
44924,Food price inflation,May 1 2015,8.548588
44925,Food price inflation,May 1 2016,9.547739
44926,Food price inflation,May 1 2017,1.743119
44927,Food price inflation,May 1 2018,1.983769
44928,Food price inflation,May 1 2019,1.061008
44929,Food price inflation,May 1 2020,2.887139
44930,Food price inflation,May 1 2021,2.55102
44931,Food price inflation,Jun 1 2001,11.232411
44932,Food price inflation,Jun 1 2002,11.952017
44933,Food price inflation,Jun 1 2003,16.538015
44934,Food price inflation,Jun 1 2004,10.762689
44935,Food price inflation,Jun 1 2005,21.438186
44936,Food price inflation,Jun 1 2006,25.720681
44937,Food price inflation,Jun 1 2007,14.658497
44938,Food price inflation,Jun 1 2008,23.129248
44939,Food price inflation,Jun 1 2009,16.493365
44940,Food price inflation,Jun 1 2010,31.095801
44941,Food price inflation,Jun 1 2011,0.081771
44942,Food price inflation,Jun 1 2012,24.055637
44943,Food price inflation,Jun 1 2013,12.585444
44944,Food price inflation,Jun 1 2014,3.482143
44945,Food price inflation,Jun 1 2015,9.658016
44946,Food price inflation,Jun 1 2016,9.415263
44947,Food price inflation,Jun 1 2017,0.543478
44948,Food price inflation,Jun 1 2018,1.351351
44949,Food price inflation,Jun 1 2019,1.422222
44950,Food price inflation,Jun 1 2020,2.19106
44951,Food price inflation,Jun 1 2021,3.913788
44952,Food price inflation,Jul 1 2001,11.700675
44953,Food price inflation,Jul 1 2002,11.643712
44954,Food price inflation,Jul 1 2003,17.258261
44955,Food price inflation,Jul 1 2004,8.625539
44956,Food price inflation,Jul 1 2005,25.364096
44957,Food price inflation,Jul 1 2006,23.18196
44958,Food price inflation,Jul 1 2007,17.214289
44959,Food price inflation,Jul 1 2008,25.312694
44960,Food price inflation,Jul 1 2009,10.080557
44961,Food price inflation,Jul 1 2010,33.231301
44962,Food price inflation,Jul 1 2011,1.611497
44963,Food price inflation,Jul 1 2012,22.567579
44964,Food price inflation,Jul 1 2013,4.824561
44965,Food price inflation,Jul 1 2014,11.354127
44966,Food price inflation,Jul 1 2015,11.45458
44967,Food price inflation,Jul 1 2016,6.80494
44968,Food price inflation,Jul 1 2017,1.47668
44969,Food price inflation,Jul 1 2018,0.62333
44970,Food price inflation,Jul 1 2019,1.504425
44971,Food price inflation,Jul 1 2020,2.266783
44972,Food price inflation,Aug 1 2001,12.162809
44973,Food price inflation,Aug 1 2002,11.341967
44974,Food price inflation,Aug 1 2003,15.941582
44975,Food price inflation,Aug 1 2004,10.493478
44976,Food price inflation,Aug 1 2005,24.664826
44977,Food price inflation,Aug 1 2006,24.697955
44978,Food price inflation,Aug 1 2007,16.711795
44979,Food price inflation,Aug 1 2008,30.214477
44980,Food price inflation,Aug 1 2009,5.205969
44981,Food price inflation,Aug 1 2010,39.158227
44982,Food price inflation,Aug 1 2011,-0.30409
44983,Food price inflation,Aug 1 2012,15.392033
44984,Food price inflation,Aug 1 2013,7.678133
44985,Food price inflation,Aug 1 2014,14.812702
44986,Food price inflation,Aug 1 2015,8.06108
44987,Food price inflation,Aug 1 2016,7.288848
44988,Food price inflation,Aug 1 2017,1.93318
44989,Food price inflation,Aug 1 2018,-0.088261
44990,Food price inflation,Aug 1 2019,2.031802
44991,Food price inflation,Aug 1 2020,2.077922
44992,Food price inflation,Sep 1 2001,12.618934
44993,Food price inflation,Sep 1 2002,11.046573
44994,Food price inflation,Sep 1 2003,14.988566
44995,Food price inflation,Sep 1 2004,13.25946
44996,Food price inflation,Sep 1 2005,23.136538
44997,Food price inflation,Sep 1 2006,27.454611
44998,Food price inflation,Sep 1 2007,13.965803
44999,Food price inflation,Sep 1 2008,34.625273
45000,Food price inflation,Sep 1 2009,6.816107
45001,Food price inflation,Sep 1 2010,29.253349
45002,Food price inflation,Sep 1 2011,4.294198
45003,Food price inflation,Sep 1 2012,14.655992
45004,Food price inflation,Sep 1 2013,3.0
45005,Food price inflation,Sep 1 2014,15.68932
45006,Food price inflation,Sep 1 2015,10.991944
45007,Food price inflation,Sep 1 2016,6.13715
45008,Food price inflation,Sep 1 2017,1.844866
45009,Food price inflation,Sep 1 2018,0.0
45010,Food price inflation,Sep 1 2019,1.497797
45011,Food price inflation,Sep 1 2020,4.079861
45012,Food price inflation,Oct 1 2001,13.069167
45013,Food price inflation,Oct 1 2002,10.757333
45014,Food price inflation,Oct 1 2003,14.238456
45015,Food price inflation,Oct 1 2004,15.02571
45016,Food price inflation,Oct 1 2005,22.302171
45017,Food price inflation,Oct 1 2006,26.41747
45018,Food price inflation,Oct 1 2007,16.564194
45019,Food price inflation,Oct 1 2008,33.402049
45020,Food price inflation,Oct 1 2009,3.545283
45021,Food price inflation,Oct 1 2010,26.707532
45022,Food price inflation,Oct 1 2011,6.898218
45023,Food price inflation,Oct 1 2012,18.230416
45024,Food price inflation,Oct 1 2013,3.726221
45025,Food price inflation,Oct 1 2014,18.169786
45026,Food price inflation,Oct 1 2015,6.007936
45027,Food price inflation,Oct 1 2016,5.188397
45028,Food price inflation,Oct 1 2017,3.652515
45029,Food price inflation,Oct 1 2018,-0.261552
45030,Food price inflation,Oct 1 2019,0.786713
45031,Food price inflation,Oct 1 2020,4.423244
45032,Food price inflation,Nov 1 2001,13.513619
45033,Food price inflation,Nov 1 2002,10.474056
45034,Food price inflation,Nov 1 2003,15.091421
45035,Food price inflation,Nov 1 2004,16.698042
45036,Food price inflation,Nov 1 2005,22.645962
45037,Food price inflation,Nov 1 2006,24.239922
45038,Food price inflation,Nov 1 2007,18.726978
45039,Food price inflation,Nov 1 2008,29.803446
45040,Food price inflation,Nov 1 2009,0.351024
45041,Food price inflation,Nov 1 2010,27.407148
45042,Food price inflation,Nov 1 2011,12.290743
45043,Food price inflation,Nov 1 2012,14.857646
45044,Food price inflation,Nov 1 2013,7.330459
