,symbol,date,price
47040,Food price inflation,Jan 1 2001,9.749487
47041,Food price inflation,Jan 1 2002,3.898342
47042,Food price inflation,Jan 1 2003,15.81675
47043,Food price inflation,Jan 1 2004,21.424736
47044,Food price inflation,Jan 1 2005,10.657429
47045,Food price inflation,Jan 1 2006,2.61194
47046,Food price inflation,Jan 1 2007,9.881423
47047,Food price inflation,Jan 1 2008,17.338129
47048,Food price inflation,Jan 1 2009,13.304721
47049,Food price inflation,Jan 1 2010,2.034632
47050,Food price inflation,Jan 1 2011,8.421723
47051,Food price inflation,Jan 1 2012,6.789278
47052,Food price inflation,Jan 1 2013,12.055698
47053,Food price inflation,Jan 1 2014,8.747547
47054,Food price inflation,Jan 1 2015,11.043452
47055,Food price inflation,Jan 1 2016,8.320357
47056,Food price inflation,Jan 1 2017,6.3125
47057,Food price inflation,Jan 1 2018,6.790123
47058,Food price inflation,Jan 1 2019,6.424443
47059,Food price inflation,Jan 1 2020,13.190565
47060,Food price inflation,Jan 1 2021,9.976236
47061,Food price inflation,Feb 1 2001,9.068588
47062,Food price inflation,Feb 1 2002,4.941985
47063,Food price inflation,Feb 1 2003,16.502867
47064,Food price inflation,Feb 1 2004,20.351494
47065,Food price inflation,Feb 1 2005,9.285343
47066,Food price inflation,Feb 1 2006,4.019528
47067,Food price inflation,Feb 1 2007,10.168961
47068,Food price inflation,Feb 1 2008,17.182619
47069,Food price inflation,Feb 1 2009,10.506544
47070,Food price inflation,Feb 1 2010,2.741529
47071,Food price inflation,Feb 1 2011,10.129149
47072,Food price inflation,Feb 1 2012,6.745493
47073,Food price inflation,Feb 1 2013,12.157254
47074,Food price inflation,Feb 1 2014,10.35376
47075,Food price inflation,Feb 1 2015,9.118251
47076,Food price inflation,Feb 1 2016,8.954622
47077,Food price inflation,Feb 1 2017,4.485716
47078,Food price inflation,Feb 1 2018,7.978032
47079,Food price inflation,Feb 1 2019,7.541701
47080,Food price inflation,Feb 1 2020,11.172701
47081,Food price inflation,Feb 1 2021,10.232835
47082,Food price inflation,Mar 1 2001,8.399239
47083,Food price inflation,Mar 1 2002,5.980707
47084,Food price inflation,Mar 1 2003,17.17233
47085,Food price inflation,Mar 1 2004,19.316416
47086,Food price inflation,Mar 1 2005,8.643457
47087,Food price inflation,Mar 1 2006,3.924749
47088,Food price inflation,Mar 1 2007,11.750936
47089,Food price inflation,Mar 1 2008,18.181818
47090,Food price inflation,Mar 1 2009,8.034976
47091,Food price inflation,Mar 1 2010,3.674943
47092,Food price inflation,Mar 1 2011,10.697331
47093,Food price inflation,Mar 1 2012,6.937959
47094,Food price inflation,Mar 1 2013,11.353712
47095,Food price inflation,Mar 1 2014,10.652261
47096,Food price inflation,Mar 1 2015,8.447852
47097,Food price inflation,Mar 1 2016,9.650527
47098,Food price inflation,Mar 1 2017,4.087343
47099,Food price inflation,Mar 1 2018,6.953778
47100,Food price inflation,Mar 1 2019,7.851172
47101,Food price inflation,Mar 1 2020,13.16616
47102,Food price inflation,Mar 1 2021,8.451587
47103,Food price inflation,Apr 1 2001,7.741146
47104,Food price inflation,Apr 1 2002,7.014542
47105,Food price inflation,Apr 1 2003,17.825739
47106,Food price inflation,Apr 1 2004,18.317503
47107,Food price inflation,Apr 1 2005,8.414885
47108,Food price inflation,Apr 1 2006,4.299517
47109,Food price inflation,Apr 1 2007,14.574649
47110,Food price inflation,Apr 1 2008,14.378116
47111,Food price inflation,Apr 1 2009,5.937795
47112,Food price inflation,Apr 1 2010,4.937722
47113,Food price inflation,Apr 1 2011,10.92624
47114,Food price inflation,Apr 1 2012,8.531575
47115,Food price inflation,Apr 1 2013,10.651408
