,symbol,date,price
48024,Food price inflation,Jan 1 2001,-3.634477
48025,Food price inflation,Jan 1 2002,-0.660764
48026,Food price inflation,Jan 1 2003,5.130327
48027,Food price inflation,Jan 1 2004,3.147352
48028,Food price inflation,Jan 1 2005,15.499279
48029,Food price inflation,Jan 1 2006,11.055963
48030,Food price inflation,Jan 1 2007,7.295081
48031,Food price inflation,Jan 1 2008,22.011719
48032,Food price inflation,Jan 1 2009,27.575998
48033,Food price inflation,Jan 1 2010,7.59076
48034,Food price inflation,Jan 1 2011,16.592049
48035,Food price inflation,Jan 1 2012,23.018511
48036,Food price inflation,Jan 1 2013,1.338843
48037,Food price inflation,Jan 1 2014,4.492835
48038,Food price inflation,Jan 1 2015,2.108035
48039,Food price inflation,Jan 1 2016,0.939087
48040,Food price inflation,Jan 1 2017,2.368756
48041,Food price inflation,Jan 1 2018,-1.130281
48042,Food price inflation,Jan 1 2019,5.324393
48043,Food price inflation,Jan 1 2020,10.927108
48044,Food price inflation,Jan 1 2021,0.851966
48045,Food price inflation,Feb 1 2001,-3.438005
48046,Food price inflation,Feb 1 2002,3.433753
48047,Food price inflation,Feb 1 2003,4.523806
48048,Food price inflation,Feb 1 2004,4.843198
48049,Food price inflation,Feb 1 2005,14.400332
48050,Food price inflation,Feb 1 2006,10.095825
48051,Food price inflation,Feb 1 2007,7.555001
48052,Food price inflation,Feb 1 2008,25.231555
48053,Food price inflation,Feb 1 2009,22.157202
48054,Food price inflation,Feb 1 2010,9.093454
48055,Food price inflation,Feb 1 2011,17.225395
48056,Food price inflation,Feb 1 2012,21.190739
48057,Food price inflation,Feb 1 2013,1.50756
48058,Food price inflation,Feb 1 2014,3.338388
48059,Food price inflation,Feb 1 2015,1.482163
48060,Food price inflation,Feb 1 2016,2.393281
48061,Food price inflation,Feb 1 2017,0.497117
48062,Food price inflation,Feb 1 2018,0.268222
48063,Food price inflation,Feb 1 2019,5.531038
48064,Food price inflation,Feb 1 2020,9.320488
48065,Food price inflation,Feb 1 2021,0.97608
48066,Food price inflation,Mar 1 2001,-3.240266
48067,Food price inflation,Mar 1 2002,2.41588
48068,Food price inflation,Mar 1 2003,3.678315
48069,Food price inflation,Mar 1 2004,8.583781
48070,Food price inflation,Mar 1 2005,12.823949
48071,Food price inflation,Mar 1 2006,8.887188
48072,Food price inflation,Mar 1 2007,8.075954
48073,Food price inflation,Mar 1 2008,30.639224
48074,Food price inflation,Mar 1 2009,17.053599
48075,Food price inflation,Mar 1 2010,10.726458
48076,Food price inflation,Mar 1 2011,18.327682
48077,Food price inflation,Mar 1 2012,17.851399
48078,Food price inflation,Mar 1 2013,1.814631
48079,Food price inflation,Mar 1 2014,2.891665
48080,Food price inflation,Mar 1 2015,2.834712
48081,Food price inflation,Mar 1 2016,1.531671
48082,Food price inflation,Mar 1 2017,0.106906
48083,Food price inflation,Mar 1 2018,0.518971
48084,Food price inflation,Mar 1 2019,4.68309
48085,Food price inflation,Mar 1 2020,10.42491
48086,Food price inflation,Mar 1 2021,1.790635
48087,Food price inflation,Apr 1 2001,-3.041248
48088,Food price inflation,Apr 1 2002,2.53606
48089,Food price inflation,Apr 1 2003,3.36728
48090,Food price inflation,Apr 1 2004,9.890707
48091,Food price inflation,Apr 1 2005,12.376679
48092,Food price inflation,Apr 1 2006,8.562152
48093,Food price inflation,Apr 1 2007,8.334818
48094,Food price inflation,Apr 1 2008,34.112011
48095,Food price inflation,Apr 1 2009,14.011182
48096,Food price inflation,Apr 1 2010,9.557783
48097,Food price inflation,Apr 1 2011,24.436377
48098,Food price inflation,Apr 1 2012,11.874246
48099,Food price inflation,Apr 1 2013,1.701732
48100,Food price inflation,Apr 1 2014,3.992333
48101,Food price inflation,Apr 1 2015,2.249432
48102,Food price inflation,Apr 1 2016,1.955315
48103,Food price inflation,Apr 1 2017,-0.544819
48104,Food price inflation,Apr 1 2018,1.003128
48105,Food price inflation,Apr 1 2019,4.27578
48106,Food price inflation,Apr 1 2020,11.780199
48107,Food price inflation,Apr 1 2021,1.508717
48108,Food price inflation,May 1 2001,-2.84094
48109,Food price inflation,May 1 2002,3.375117
48110,Food price inflation,May 1 2003,2.340792
48111,Food price inflation,May 1 2004,12.205356
48112,Food price inflation,May 1 2005,11.052003
48113,Food price inflation,May 1 2006,8.179811
48114,Food price inflation,May 1 2007,9.193212
48115,Food price inflation,May 1 2008,42.354644
48116,Food price inflation,May 1 2009,6.49548
48117,Food price inflation,May 1 2010,9.2297
48118,Food price inflation,May 1 2011,28.335915
48119,Food price inflation,May 1 2012,8.453182
48120,Food price inflation,May 1 2013,1.487859
48121,Food price inflation,May 1 2014,4.534992
48122,Food price inflation,May 1 2015,1.851336
48123,Food price inflation,May 1 2016,2.550718
48124,Food price inflation,May 1 2017,-2.318039
48125,Food price inflation,May 1 2018,3.365766
48126,Food price inflation,May 1 2019,3.417626
48127,Food price inflation,May 1 2020,12.109342
48128,Food price inflation,May 1 2021,1.540398
48129,Food price inflation,Jun 1 2001,-2.639328
48130,Food price inflation,Jun 1 2002,3.703701
48131,Food price inflation,Jun 1 2003,1.625837
48132,Food price inflation,Jun 1 2004,14.46074
48133,Food price inflation,Jun 1 2005,9.957895
48134,Food price inflation,Jun 1 2006,8.082933
48135,Food price inflation,Jun 1 2007,9.856571
48136,Food price inflation,Jun 1 2008,45.553466
48137,Food price inflation,Jun 1 2009,3.392068
48138,Food price inflation,Jun 1 2010,9.327733
48139,Food price inflation,Jun 1 2011,30.151567
48140,Food price inflation,Jun 1 2012,6.300952
48141,Food price inflation,Jun 1 2013,1.640441
48142,Food price inflation,Jun 1 2014,4.911619
48143,Food price inflation,Jun 1 2015,1.536478
48144,Food price inflation,Jun 1 2016,2.794965
48145,Food price inflation,Jun 1 2017,-3.099626
48146,Food price inflation,Jun 1 2018,5.103947
48147,Food price inflation,Jun 1 2019,2.442362
48148,Food price inflation,Jun 1 2020,12.459583
48149,Food price inflation,Jun 1 2021,1.475612
48150,Food price inflation,Jul 1 2001,-2.4364
48151,Food price inflation,Jul 1 2002,3.410519
48152,Food price inflation,Jul 1 2003,1.523803
48153,Food price inflation,Jul 1 2004,15.496064
48154,Food price inflation,Jul 1 2005,9.519815
48155,Food price inflation,Jul 1 2006,8.54769
48156,Food price inflation,Jul 1 2007,11.125451
48157,Food price inflation,Jul 1 2008,44.693814
48158,Food price inflation,Jul 1 2009,2.327332
48159,Food price inflation,Jul 1 2010,9.612127
48160,Food price inflation,Jul 1 2011,32.632253
48161,Food price inflation,Jul 1 2012,3.604914
48162,Food price inflation,Jul 1 2013,2.222528
48163,Food price inflation,Jul 1 2014,5.07931
48164,Food price inflation,Jul 1 2015,1.374441
48165,Food price inflation,Jul 1 2016,2.636202
48166,Food price inflation,Jul 1 2017,-2.523045
48167,Food price inflation,Jul 1 2018,4.990836
48168,Food price inflation,Jul 1 2019,2.337708
48169,Food price inflation,Jul 1 2020,11.887698
48170,Food price inflation,Aug 1 2001,-2.232143
48171,Food price inflation,Aug 1 2002,3.532438
48172,Food price inflation,Aug 1 2003,1.320755
48173,Food price inflation,Aug 1 2004,16.537611
48174,Food price inflation,Aug 1 2005,9.084781
48175,Food price inflation,Aug 1 2006,8.407
48176,Food price inflation,Aug 1 2007,11.913103
48177,Food price inflation,Aug 1 2008,44.148774
48178,Food price inflation,Aug 1 2009,1.736786
48179,Food price inflation,Aug 1 2010,9.996077
48180,Food price inflation,Aug 1 2011,34.060824
48181,Food price inflation,Aug 1 2012,2.040873
48182,Food price inflation,Aug 1 2013,2.959857
48183,Food price inflation,Aug 1 2014,4.985247
48184,Food price inflation,Aug 1 2015,1.02122
48185,Food price inflation,Aug 1 2016,2.394325
48186,Food price inflation,Aug 1 2017,-1.356805
48187,Food price inflation,Aug 1 2018,4.794794
48188,Food price inflation,Aug 1 2019,1.697325
48189,Food price inflation,Aug 1 2020,11.745158
48190,Food price inflation,Sep 1 2001,-2.026543
48191,Food price inflation,Sep 1 2002,3.965608
48192,Food price inflation,Sep 1 2003,0.916684
48193,Food price inflation,Sep 1 2004,17.120883
48194,Food price inflation,Sep 1 2005,9.084781
48195,Food price inflation,Sep 1 2006,7.726757
