,symbol,date,price
920,Citrus Fruit,Jan 1 2008,67.85
921,Citrus Fruit,Jan 1 2009,68.23
922,Citrus Fruit,Jan 1 2010,68.68
923,Citrus Fruit,Jan 1 2011,70.91
924,Citrus Fruit,Jan 1 2012,71.73
925,Citrus Fruit,Jan 1 2013,71.09
926,Citrus Fruit,Jan 1 2014,73.5
927,Citrus Fruit,Jan 1 2015,74.56
928,Citrus Fruit,Jan 1 2016,151.94
929,Citrus Fruit,Jan 1 2017,174.83
930,Citrus Fruit,Jan 1 2018,178.7
931,Citrus Fruit,Jan 1 2019,221.3
932,Fruit,Jan 1 2008,67.85
933,Fruit,Jan 1 2009,68.23
934,Fruit,Jan 1 2010,68.68
935,Fruit,Jan 1 2011,70.91
936,Fruit,Jan 1 2012,71.73
937,Fruit,Jan 1 2013,71.09
938,Fruit,Jan 1 2014,73.5
939,Fruit,Jan 1 2015,74.56
940,Fruit,Jan 1 2016,151.94
941,Fruit,Jan 1 2017,174.83
942,Fruit,Jan 1 2018,178.7
943,Fruit,Jan 1 2019,221.3
944,Meat,Jan 1 1996,47.15
945,Meat,Jan 1 1997,48.18
946,Meat,Jan 1 1998,49.34
947,Meat,Jan 1 1999,49.34
948,Meat,Jan 1 2000,49.34
949,Meat,Jan 1 2001,49.34
950,Meat,Jan 1 2002,55.28
951,Meat,Jan 1 2003,55.28
952,Meat,Jan 1 2004,55.28
953,Meat,Jan 1 2005,55.28
954,Meat,Jan 1 2006,55.28
955,Meat,Jan 1 2007,67.85
956,Meat,Jan 1 2008,67.85
957,Meat,Jan 1 2009,68.23
958,Meat,Jan 1 2010,68.68
959,Meat,Jan 1 2011,70.91
960,Meat,Jan 1 2012,71.73
961,Meat,Jan 1 2013,71.09
962,Meat,Jan 1 2014,73.5
963,Meat,Jan 1 2015,74.56
964,Meat,Jan 1 2016,151.94
965,Meat,Jan 1 2017,174.83
966,Meat,Jan 1 2018,178.7
967,Meat,Jan 1 2019,221.3
968,Milk,Jan 1 1996,44.94
969,Milk,Jan 1 1997,45.36
970,Milk,Jan 1 1998,67.85
971,Milk,Jan 1 1999,67.85
972,Milk,Jan 1 2000,67.85
973,Milk,Jan 1 2001,67.85
974,Milk,Jan 1 2002,67.85
975,Milk,Jan 1 2003,67.85
976,Milk,Jan 1 2004,67.85
977,Milk,Jan 1 2005,67.85
978,Milk,Jan 1 2006,67.85
979,Milk,Jan 1 2007,67.85
980,Milk,Jan 1 2008,67.85
981,Milk,Jan 1 2009,68.23
982,Milk,Jan 1 2010,68.68
983,Milk,Jan 1 2011,70.91
984,Milk,Jan 1 2012,71.73
985,Milk,Jan 1 2013,71.09
986,Milk,Jan 1 2014,73.5
987,Milk,Jan 1 2015,74.56
988,Milk,Jan 1 2016,151.94
989,Milk,Jan 1 2017,174.83
990,Milk,Jan 1 2018,178.7
991,Milk,Jan 1 2019,221.3
992,Roots and Tubers,Jan 1 2008,67.85
993,Roots and Tubers,Jan 1 2009,68.23
994,Roots and Tubers,Jan 1 2010,68.68
995,Roots and Tubers,Jan 1 2011,70.91
996,Roots and Tubers,Jan 1 2012,71.73
997,Roots and Tubers,Jan 1 2013,71.09
998,Roots and Tubers,Jan 1 2014,73.5
999,Roots and Tubers,Jan 1 2015,74.56
1000,Roots and Tubers,Jan 1 2016,151.94
1001,Roots and Tubers,Jan 1 2017,174.83
1002,Roots and Tubers,Jan 1 2018,178.7
1003,Roots and Tubers,Jan 1 2019,221.3
1004,Vegetables,Jan 1 2008,67.85
1005,Vegetables,Jan 1 2009,68.23
1006,Vegetables,Jan 1 2010,68.68
1007,Vegetables,Jan 1 2011,70.91
1008,Vegetables,Jan 1 2012,71.73
1009,Vegetables,Jan 1 2013,71.09
1010,Vegetables,Jan 1 2014,73.5
1011,Vegetables,Jan 1 2015,74.56
1012,Vegetables,Jan 1 2016,151.94
1013,Vegetables,Jan 1 2017,174.83
1014,Vegetables,Jan 1 2018,178.7
1015,Vegetables,Jan 1 2019,221.3
