,symbol,date,price
1016,Cereals,Jan 1 1991,7.38
1017,Cereals,Jan 1 1992,5.84
1018,Cereals,Jan 1 1993,8.68
1019,Cereals,Jan 1 1994,8.6
1020,Cereals,Jan 1 1995,9.91
1021,Cereals,Jan 1 1996,12.76
1022,Cereals,Jan 1 1997,8.99
1023,Cereals,Jan 1 1998,7.97
1024,Cereals,Jan 1 1999,7.39
1025,Cereals,Jan 1 2000,6.99
1026,Cereals,Jan 1 2001,7.37
1027,Cereals,Jan 1 2002,22.21
1028,Cereals,Jan 1 2003,21.26
1029,Cereals,Jan 1 2004,21.13
1030,Cereals,Jan 1 2005,18.6
1031,Cereals,Jan 1 2006,24.27
1032,Cereals,Jan 1 2007,32.17
1033,Cereals,Jan 1 2008,39.59
1034,Cereals,Jan 1 2009,37.26
1035,Cereals,Jan 1 2010,45.23
1036,Cereals,Jan 1 2011,61.95
1037,Cereals,Jan 1 2012,73.48
1038,Cereals,Jan 1 2013,95.5
1039,Cereals,Jan 1 2014,101.32
1040,Cereals,Jan 1 2015,108.13
1041,Cereals,Jan 1 2016,173.27
1042,Cereals,Jan 1 2017,190.19
1043,Cereals,Jan 1 2018,306.44
1044,Cereals,Jan 1 2019,433.16
1045,Citrus Fruit,Jan 1 1991,19.7
1046,Citrus Fruit,Jan 1 1992,31.26
1047,Citrus Fruit,Jan 1 1993,34.06
1048,Citrus Fruit,Jan 1 1994,25.35
1049,Citrus Fruit,Jan 1 1995,14.49
1050,Citrus Fruit,Jan 1 1996,10.09
1051,Citrus Fruit,Jan 1 1997,10.48
1052,Citrus Fruit,Jan 1 1998,6.57
1053,Citrus Fruit,Jan 1 1999,10.85
1054,Citrus Fruit,Jan 1 2000,9.5
1055,Citrus Fruit,Jan 1 2001,4.34
1056,Citrus Fruit,Jan 1 2002,28.38
1057,Citrus Fruit,Jan 1 2003,42.77
1058,Citrus Fruit,Jan 1 2004,44.89
1059,Citrus Fruit,Jan 1 2005,30.32
1060,Citrus Fruit,Jan 1 2006,44.38
1061,Citrus Fruit,Jan 1 2007,47.76
1062,Citrus Fruit,Jan 1 2008,36.09
1063,Citrus Fruit,Jan 1 2009,58.34
1064,Citrus Fruit,Jan 1 2010,38.73
1065,Citrus Fruit,Jan 1 2011,41.15
1066,Citrus Fruit,Jan 1 2012,54.0
1067,Citrus Fruit,Jan 1 2013,68.22
1068,Citrus Fruit,Jan 1 2014,108.8
1069,Citrus Fruit,Jan 1 2015,88.5
1070,Citrus Fruit,Jan 1 2016,107.98
1071,Citrus Fruit,Jan 1 2017,107.23
1072,Citrus Fruit,Jan 1 2018,138.57
1073,Citrus Fruit,Jan 1 2019,169.57
1074,Coarse Grain,Jan 1 1991,7.55
1075,Coarse Grain,Jan 1 1992,5.36
1076,Coarse Grain,Jan 1 1993,8.72
1077,Coarse Grain,Jan 1 1994,8.75
1078,Coarse Grain,Jan 1 1995,9.52
1079,Coarse Grain,Jan 1 1996,12.94
1080,Coarse Grain,Jan 1 1997,9.01
