,symbol,date,price
1306,Cereals,Jan 1 1997,80.96
1307,Cereals,Jan 1 1998,86.01
1308,Cereals,Jan 1 1999,72.73
1309,Cereals,Jan 1 2000,68.09
1310,Cereals,Jan 1 2001,70.41
1311,Cereals,Jan 1 2002,63.93
1312,Cereals,Jan 1 2003,83.45
1313,Cereals,Jan 1 2004,88.45
1314,Cereals,Jan 1 2005,67.64
1315,Cereals,Jan 1 2006,78.61
1316,Cereals,Jan 1 2007,84.85
1317,Cereals,Jan 1 2008,94.33
1318,Cereals,Jan 1 2009,78.05
1319,Cereals,Jan 1 2010,99.18
1320,Cereals,Jan 1 2011,115.39
1321,Cereals,Jan 1 2012,129.76
1322,Cereals,Jan 1 2013,133.7
1323,Cereals,Jan 1 2014,113.98
1324,Cereals,Jan 1 2015,97.48
1325,Cereals,Jan 1 2016,88.54
1326,Cereals,Jan 1 2017,91.65
1327,Cereals,Jan 1 2018,91.78
1328,Cereals,Jan 1 2019,104.25
1329,Coarse Grain,Jan 1 1997,68.54
1330,Coarse Grain,Jan 1 1998,89.1
1331,Coarse Grain,Jan 1 1999,66.76
1332,Coarse Grain,Jan 1 2000,63.36
1333,Coarse Grain,Jan 1 2001,64.39
1334,Coarse Grain,Jan 1 2002,63.46
1335,Coarse Grain,Jan 1 2003,79.05
1336,Coarse Grain,Jan 1 2004,86.38
1337,Coarse Grain,Jan 1 2005,69.66
1338,Coarse Grain,Jan 1 2006,89.21
1339,Coarse Grain,Jan 1 2007,86.42
1340,Coarse Grain,Jan 1 2008,89.79
1341,Coarse Grain,Jan 1 2009,79.29
1342,Coarse Grain,Jan 1 2010,101.29
1343,Coarse Grain,Jan 1 2011,120.0
1344,Coarse Grain,Jan 1 2012,132.52
1345,Coarse Grain,Jan 1 2013,137.68
1346,Coarse Grain,Jan 1 2014,112.58
1347,Coarse Grain,Jan 1 2015,100.69
1348,Coarse Grain,Jan 1 2016,86.73
1349,Coarse Grain,Jan 1 2017,91.17
1350,Coarse Grain,Jan 1 2018,92.0
1351,Coarse Grain,Jan 1 2019,109.49
1352,Fruit,Jan 1 1997,54.17
1353,Fruit,Jan 1 1998,56.8
1354,Fruit,Jan 1 1999,54.15
