,symbol,date,price
3179,Cereals,Jan 1 1991,47.98
3180,Cereals,Jan 1 1992,47.14
3181,Cereals,Jan 1 1993,46.83
3182,Cereals,Jan 1 1994,42.38
3183,Cereals,Jan 1 1995,46.8
3184,Cereals,Jan 1 1996,52.74
3185,Cereals,Jan 1 1997,47.52
3186,Cereals,Jan 1 1998,55.07
3187,Cereals,Jan 1 1999,57.52
3188,Cereals,Jan 1 2000,51.04
3189,Cereals,Jan 1 2001,56.68
3190,Cereals,Jan 1 2002,64.43
3191,Cereals,Jan 1 2003,63.37
3192,Cereals,Jan 1 2004,61.14
3193,Cereals,Jan 1 2005,58.0
3194,Cereals,Jan 1 2006,64.78
3195,Cereals,Jan 1 2007,78.43
3196,Cereals,Jan 1 2008,72.05
3197,Cereals,Jan 1 2009,70.14
3198,Cereals,Jan 1 2010,70.34
3199,Cereals,Jan 1 2011,77.92
3200,Cereals,Jan 1 2012,88.11
3201,Cereals,Jan 1 2013,87.96
3202,Cereals,Jan 1 2014,90.77
3203,Cereals,Jan 1 2015,99.42
3204,Cereals,Jan 1 2016,109.81
3205,Cereals,Jan 1 2017,113.07
3206,Cereals,Jan 1 2018,113.4
3207,Cereals,Jan 1 2019,120.64
3208,Citrus Fruit,Jan 1 1991,109.88
3209,Citrus Fruit,Jan 1 1992,96.0
3210,Citrus Fruit,Jan 1 1993,48.5
3211,Citrus Fruit,Jan 1 1994,64.98
3212,Citrus Fruit,Jan 1 1995,84.97
3213,Citrus Fruit,Jan 1 1996,85.19
3214,Citrus Fruit,Jan 1 1997,52.17
3215,Citrus Fruit,Jan 1 1998,57.11
3216,Citrus Fruit,Jan 1 1999,57.71
3217,Citrus Fruit,Jan 1 2000,54.12
3218,Citrus Fruit,Jan 1 2001,47.69
3219,Citrus Fruit,Jan 1 2002,63.24
3220,Citrus Fruit,Jan 1 2003,63.37
3221,Citrus Fruit,Jan 1 2004,61.14
3222,Citrus Fruit,Jan 1 2005,58.0
3223,Citrus Fruit,Jan 1 2006,64.77
3224,Citrus Fruit,Jan 1 2007,78.43
3225,Citrus Fruit,Jan 1 2008,72.04
3226,Citrus Fruit,Jan 1 2009,70.14
3227,Citrus Fruit,Jan 1 2010,70.34
3228,Citrus Fruit,Jan 1 2011,77.92
3229,Citrus Fruit,Jan 1 2012,88.1
3230,Citrus Fruit,Jan 1 2013,87.96
3231,Citrus Fruit,Jan 1 2014,90.77
3232,Citrus Fruit,Jan 1 2015,99.42
3233,Citrus Fruit,Jan 1 2016,109.81
3234,Citrus Fruit,Jan 1 2017,113.07
3235,Citrus Fruit,Jan 1 2018,113.4
3236,Citrus Fruit,Jan 1 2019,120.64
3237,Coarse Grain,Jan 1 1991,42.97
3238,Coarse Grain,Jan 1 1992,42.24
3239,Coarse Grain,Jan 1 1993,41.94
3240,Coarse Grain,Jan 1 1994,37.98
3241,Coarse Grain,Jan 1 1995,41.94
3242,Coarse Grain,Jan 1 1996,48.38
3243,Coarse Grain,Jan 1 1997,41.94
3244,Coarse Grain,Jan 1 1998,51.62
3245,Coarse Grain,Jan 1 1999,54.85
3246,Coarse Grain,Jan 1 2000,48.38
3247,Coarse Grain,Jan 1 2001,55.43
3248,Coarse Grain,Jan 1 2002,64.68
3249,Coarse Grain,Jan 1 2003,63.37
3250,Coarse Grain,Jan 1 2004,61.14
3251,Coarse Grain,Jan 1 2005,58.0
3252,Coarse Grain,Jan 1 2006,64.78
3253,Coarse Grain,Jan 1 2007,78.44
3254,Coarse Grain,Jan 1 2008,72.05
3255,Coarse Grain,Jan 1 2009,70.14
3256,Coarse Grain,Jan 1 2010,70.34
3257,Coarse Grain,Jan 1 2011,77.92
3258,Coarse Grain,Jan 1 2012,88.11
3259,Coarse Grain,Jan 1 2013,87.96
3260,Coarse Grain,Jan 1 2014,90.77
3261,Coarse Grain,Jan 1 2015,99.42
3262,Coarse Grain,Jan 1 2016,109.81
3263,Coarse Grain,Jan 1 2017,113.07
3264,Coarse Grain,Jan 1 2018,113.4
3265,Coarse Grain,Jan 1 2019,120.64
3266,Fruit,Jan 1 1991,142.77
3267,Fruit,Jan 1 1992,125.48
3268,Fruit,Jan 1 1993,64.88
3269,Fruit,Jan 1 1994,87.17
3270,Fruit,Jan 1 1995,112.62
3271,Fruit,Jan 1 1996,113.73
3272,Fruit,Jan 1 1997,73.68
3273,Fruit,Jan 1 1998,82.3
3274,Fruit,Jan 1 1999,83.09
3275,Fruit,Jan 1 2000,83.38
3276,Fruit,Jan 1 2001,83.36
3277,Fruit,Jan 1 2002,70.25
3278,Fruit,Jan 1 2003,63.34
3279,Fruit,Jan 1 2004,61.12
3280,Fruit,Jan 1 2005,58.0
3281,Fruit,Jan 1 2006,64.78
3282,Fruit,Jan 1 2007,78.43
3283,Fruit,Jan 1 2008,72.04
3284,Fruit,Jan 1 2009,70.14
