,symbol,date,price
4772,Cereals,Jan 1 1991,126.64
4773,Cereals,Jan 1 1992,128.33
4774,Cereals,Jan 1 1993,124.95
4775,Cereals,Jan 1 1994,113.13
4776,Cereals,Jan 1 1995,116.51
4777,Cereals,Jan 1 1996,124.95
4778,Cereals,Jan 1 1997,136.35
4779,Cereals,Jan 1 1998,129.18
4780,Cereals,Jan 1 1999,134.24
4781,Cereals,Jan 1 2000,130.44
4782,Cereals,Jan 1 2001,132.97
4783,Cereals,Jan 1 2002,130.02
4784,Cereals,Jan 1 2003,126.64
4785,Cereals,Jan 1 2004,122.84
4786,Cereals,Jan 1 2005,114.82
4787,Cereals,Jan 1 2006,122.42
4788,Cereals,Jan 1 2007,133.61
4789,Cereals,Jan 1 2008,139.95
4790,Cereals,Jan 1 2009,140.48
4791,Cereals,Jan 1 2010,143.98
4792,Cereals,Jan 1 2011,156.07
4793,Cereals,Jan 1 2012,170.2
4794,Cereals,Jan 1 2013,170.07
4795,Cereals,Jan 1 2014,194.46
4796,Cereals,Jan 1 2015,52.77
4797,Cereals,Jan 1 2016,52.77
4798,Cereals,Jan 1 2017,52.77
4799,Cereals,Jan 1 2018,52.77
4800,Cereals,Jan 1 2019,52.77
4801,Citrus Fruit,Jan 1 1991,85.7
4802,Citrus Fruit,Jan 1 1992,86.84
4803,Citrus Fruit,Jan 1 1993,84.56
4804,Citrus Fruit,Jan 1 1994,76.56
4805,Citrus Fruit,Jan 1 1995,110.12
4806,Citrus Fruit,Jan 1 1996,109.27
4807,Citrus Fruit,Jan 1 1997,105.03
4808,Citrus Fruit,Jan 1 1998,101.65
4809,Citrus Fruit,Jan 1 1999,101.22
4810,Citrus Fruit,Jan 1 2000,105.03
4811,Citrus Fruit,Jan 1 2001,109.69
4812,Citrus Fruit,Jan 1 2002,95.72
4813,Citrus Fruit,Jan 1 2003,93.18
4814,Citrus Fruit,Jan 1 2004,91.06
4815,Citrus Fruit,Jan 1 2005,71.15
4816,Citrus Fruit,Jan 1 2006,85.13
4817,Citrus Fruit,Jan 1 2007,92.91
4818,Citrus Fruit,Jan 1 2008,97.32
