,symbol,date,price
4975,Cereals,Jan 1 1998,50.37
4976,Cereals,Jan 1 1999,51.53
4977,Cereals,Jan 1 2000,65.7
4978,Cereals,Jan 1 2001,73.26
4979,Cereals,Jan 1 2002,58.59
4980,Cereals,Jan 1 2003,69.83
4981,Cereals,Jan 1 2004,78.96
4982,Cereals,Jan 1 2005,52.15
4983,Cereals,Jan 1 2006,59.89
4984,Cereals,Jan 1 2007,97.9
4985,Cereals,Jan 1 2008,106.39
4986,Cereals,Jan 1 2009,72.48
4987,Cereals,Jan 1 2010,85.78
4988,Cereals,Jan 1 2011,112.51
4989,Cereals,Jan 1 2012,131.84
4990,Cereals,Jan 1 2013,107.38
4991,Cereals,Jan 1 2014,103.71
4992,Cereals,Jan 1 2015,101.42
4993,Cereals,Jan 1 2016,94.87
4994,Cereals,Jan 1 2017,100.24
4995,Cereals,Jan 1 2018,101.26
4996,Cereals,Jan 1 2019,99.38
4997,Coarse Grain,Jan 1 1998,56.7
4998,Coarse Grain,Jan 1 1999,55.34
4999,Coarse Grain,Jan 1 2000,66.15
5000,Coarse Grain,Jan 1 2001,77.7
5001,Coarse Grain,Jan 1 2002,65.51
5002,Coarse Grain,Jan 1 2003,71.48
5003,Coarse Grain,Jan 1 2004,79.15
5004,Coarse Grain,Jan 1 2005,52.95
5005,Coarse Grain,Jan 1 2006,59.26
5006,Coarse Grain,Jan 1 2007,96.12
5007,Coarse Grain,Jan 1 2008,109.62
5008,Coarse Grain,Jan 1 2009,74.91
5009,Coarse Grain,Jan 1 2010,92.28
5010,Coarse Grain,Jan 1 2011,118.52
5011,Coarse Grain,Jan 1 2012,128.21
5012,Coarse Grain,Jan 1 2013,111.02
5013,Coarse Grain,Jan 1 2014,100.84
5014,Coarse Grain,Jan 1 2015,100.04
5015,Coarse Grain,Jan 1 2016,99.12
5016,Coarse Grain,Jan 1 2017,100.3
5017,Coarse Grain,Jan 1 2018,100.63
5018,Coarse Grain,Jan 1 2019,99.05
5019,Fruit,Jan 1 1998,62.86
5020,Fruit,Jan 1 1999,63.75
5021,Fruit,Jan 1 2000,57.5
5022,Fruit,Jan 1 2001,56.39
5023,Fruit,Jan 1 2002,62.97
5024,Fruit,Jan 1 2003,56.16
5025,Fruit,Jan 1 2004,56.72
5026,Fruit,Jan 1 2005,68.13
5027,Fruit,Jan 1 2006,67.73
5028,Fruit,Jan 1 2007,94.89
5029,Fruit,Jan 1 2008,104.48
5030,Fruit,Jan 1 2009,94.51
5031,Fruit,Jan 1 2010,103.91
5032,Fruit,Jan 1 2011,91.8
5033,Fruit,Jan 1 2012,120.77
5034,Fruit,Jan 1 2013,108.48
5035,Fruit,Jan 1 2014,105.53
5036,Fruit,Jan 1 2015,98.13
5037,Fruit,Jan 1 2016,96.34
5038,Fruit,Jan 1 2017,61.92
5039,Fruit,Jan 1 2018,94.34
5040,Fruit,Jan 1 2019,91.81
5041,Meat,Jan 1 1998,56.66
5042,Meat,Jan 1 1999,43.67
5043,Meat,Jan 1 2000,48.58
5044,Meat,Jan 1 2001,69.25
5045,Meat,Jan 1 2002,61.42
5046,Meat,Jan 1 2003,69.69
5047,Meat,Jan 1 2004,73.56
5048,Meat,Jan 1 2005,87.15
5049,Meat,Jan 1 2006,84.02
5050,Meat,Jan 1 2007,86.25
5051,Meat,Jan 1 2008,94.58
5052,Meat,Jan 1 2009,93.21
5053,Meat,Jan 1 2010,88.88
5054,Meat,Jan 1 2011,93.72
5055,Meat,Jan 1 2012,102.37
5056,Meat,Jan 1 2013,108.9
5057,Meat,Jan 1 2014,103.86
5058,Meat,Jan 1 2015,99.44
5059,Meat,Jan 1 2016,96.7
5060,Meat,Jan 1 2017,81.66
5061,Meat,Jan 1 2018,88.96
5062,Meat,Jan 1 2019,83.9
5063,Milk,Jan 1 1998,58.09
5064,Milk,Jan 1 1999,44.01
5065,Milk,Jan 1 2000,55.98
5066,Milk,Jan 1 2001,59.88
5067,Milk,Jan 1 2002,56.86
5068,Milk,Jan 1 2003,54.71
5069,Milk,Jan 1 2004,67.32
5070,Milk,Jan 1 2005,69.34
5071,Milk,Jan 1 2006,69.15
5072,Milk,Jan 1 2007,79.31
5073,Milk,Jan 1 2008,96.34
5074,Milk,Jan 1 2009,77.87
5075,Milk,Jan 1 2010,82.89
5076,Milk,Jan 1 2011,101.01
5077,Milk,Jan 1 2012,104.9
5078,Milk,Jan 1 2013,102.86
5079,Milk,Jan 1 2014,108.61
5080,Milk,Jan 1 2015,98.71
5081,Milk,Jan 1 2016,92.68
5082,Milk,Jan 1 2017,108.95
5083,Milk,Jan 1 2018,109.31
5084,Milk,Jan 1 2019,111.36
5085,Pulses,Jan 1 1998,93.87
5086,Pulses,Jan 1 1999,59.73
5087,Pulses,Jan 1 2000,63.26
5088,Pulses,Jan 1 2001,66.9
5089,Pulses,Jan 1 2002,66.98
5090,Pulses,Jan 1 2003,65.72
5091,Pulses,Jan 1 2004,47.26
5092,Pulses,Jan 1 2005,51.2
5093,Pulses,Jan 1 2006,52.79
5094,Pulses,Jan 1 2007,58.09
5095,Pulses,Jan 1 2008,69.74
5096,Pulses,Jan 1 2009,90.28
5097,Pulses,Jan 1 2010,80.91
5098,Pulses,Jan 1 2011,85.63
5099,Pulses,Jan 1 2012,85.58
5100,Pulses,Jan 1 2013,93.1
5101,Pulses,Jan 1 2014,124.94
5102,Pulses,Jan 1 2015,93.42
5103,Pulses,Jan 1 2016,81.63
5104,Pulses,Jan 1 2017,77.9
5105,Pulses,Jan 1 2018,72.6
5106,Pulses,Jan 1 2019,56.21
5107,Roots and Tubers,Jan 1 1998,132.12
5108,Roots and Tubers,Jan 1 1999,105.39
5109,Roots and Tubers,Jan 1 2000,89.67
5110,Roots and Tubers,Jan 1 2001,61.07
5111,Roots and Tubers,Jan 1 2002,70.61
5112,Roots and Tubers,Jan 1 2003,108.74
5113,Roots and Tubers,Jan 1 2004,74.47
5114,Roots and Tubers,Jan 1 2005,57.21
5115,Roots and Tubers,Jan 1 2006,71.12
