,symbol,date,price
5463,Cereals,Jan 1 1991,11.34
5464,Cereals,Jan 1 1992,11.2
5465,Cereals,Jan 1 1993,12.72
5466,Cereals,Jan 1 1994,12.65
5467,Cereals,Jan 1 1995,13.71
5468,Cereals,Jan 1 1996,18.8
5469,Cereals,Jan 1 1997,29.73
5470,Cereals,Jan 1 1998,31.53
5471,Cereals,Jan 1 1999,29.51
5472,Cereals,Jan 1 2000,40.22
5473,Cereals,Jan 1 2001,39.76
5474,Cereals,Jan 1 2002,45.14
5475,Cereals,Jan 1 2003,53.68
5476,Cereals,Jan 1 2004,81.26
5477,Cereals,Jan 1 2005,87.4
5478,Cereals,Jan 1 2006,90.99
5479,Cereals,Jan 1 2007,68.3
5480,Cereals,Jan 1 2008,85.12
5481,Cereals,Jan 1 2009,102.04
5482,Cereals,Jan 1 2010,96.76
5483,Cereals,Jan 1 2011,100.19
5484,Cereals,Jan 1 2012,119.38
5485,Cereals,Jan 1 2013,106.06
5486,Cereals,Jan 1 2014,98.61
5487,Cereals,Jan 1 2015,118.52
5488,Cereals,Jan 1 2016,126.54
5489,Cereals,Jan 1 2017,193.97
5490,Cereals,Jan 1 2018,134.71
5491,Cereals,Jan 1 2019,171.41
5492,Coarse Grain,Jan 1 1991,9.42
5493,Coarse Grain,Jan 1 1992,9.17
5494,Coarse Grain,Jan 1 1993,10.94
5495,Coarse Grain,Jan 1 1994,10.05
5496,Coarse Grain,Jan 1 1995,10.44
5497,Coarse Grain,Jan 1 1996,16.65
5498,Coarse Grain,Jan 1 1997,29.24
5499,Coarse Grain,Jan 1 1998,29.4
5500,Coarse Grain,Jan 1 1999,26.94
5501,Coarse Grain,Jan 1 2000,36.19
5502,Coarse Grain,Jan 1 2001,35.61
5503,Coarse Grain,Jan 1 2002,34.56
5504,Coarse Grain,Jan 1 2003,37.29
5505,Coarse Grain,Jan 1 2004,53.28
5506,Coarse Grain,Jan 1 2005,64.63
5507,Coarse Grain,Jan 1 2006,60.29
5508,Coarse Grain,Jan 1 2007,67.02
5509,Coarse Grain,Jan 1 2008,81.97
5510,Coarse Grain,Jan 1 2009,88.78
5511,Coarse Grain,Jan 1 2010,92.04
5512,Coarse Grain,Jan 1 2011,93.88
5513,Coarse Grain,Jan 1 2012,109.77
5514,Coarse Grain,Jan 1 2013,110.14
5515,Coarse Grain,Jan 1 2014,98.5
5516,Coarse Grain,Jan 1 2015,113.82
5517,Coarse Grain,Jan 1 2016,137.2
5518,Coarse Grain,Jan 1 2017,199.07
5519,Coarse Grain,Jan 1 2018,122.22
5520,Coarse Grain,Jan 1 2019,164.67
5521,Fruit,Jan 1 1991,10.92
5522,Fruit,Jan 1 1992,9.39
5523,Fruit,Jan 1 1993,10.57
5524,Fruit,Jan 1 1994,18.19
5525,Fruit,Jan 1 1995,19.86
5526,Fruit,Jan 1 1996,18.12
5527,Fruit,Jan 1 1997,27.61
5528,Fruit,Jan 1 1998,26.98
5529,Fruit,Jan 1 1999,33.12
5530,Fruit,Jan 1 2000,54.62
5531,Fruit,Jan 1 2001,58.49
5532,Fruit,Jan 1 2002,58.06
5533,Fruit,Jan 1 2003,60.83
5534,Fruit,Jan 1 2004,56.91
5535,Fruit,Jan 1 2005,108.61
5536,Fruit,Jan 1 2006,70.69
5537,Fruit,Jan 1 2007,74.98
5538,Fruit,Jan 1 2008,72.02
5539,Fruit,Jan 1 2009,77.03
5540,Fruit,Jan 1 2010,77.97
5541,Fruit,Jan 1 2011,85.69
5542,Fruit,Jan 1 2012,81.51
5543,Fruit,Jan 1 2013,92.72
5544,Fruit,Jan 1 2014,98.52
5545,Fruit,Jan 1 2015,94.54
5546,Fruit,Jan 1 2016,116.4
5547,Fruit,Jan 1 2017,110.59
5548,Fruit,Jan 1 2018,111.56
5549,Fruit,Jan 1 2019,103.73
5550,Meat,Jan 1 1991,6.7
5551,Meat,Jan 1 1992,6.5
5552,Meat,Jan 1 1993,6.98
5553,Meat,Jan 1 1994,8.05
5554,Meat,Jan 1 1995,9.96
5555,Meat,Jan 1 1996,8.7
5556,Meat,Jan 1 1997,13.88
5557,Meat,Jan 1 1998,12.49
5558,Meat,Jan 1 1999,17.63
5559,Meat,Jan 1 2000,20.47
5560,Meat,Jan 1 2001,20.97
5561,Meat,Jan 1 2002,22.63
5562,Meat,Jan 1 2003,26.2
5563,Meat,Jan 1 2004,36.06
5564,Meat,Jan 1 2005,36.87
5565,Meat,Jan 1 2006,40.31
5566,Meat,Jan 1 2007,51.51
5567,Meat,Jan 1 2008,66.47
5568,Meat,Jan 1 2009,71.68
5569,Meat,Jan 1 2010,83.95
5570,Meat,Jan 1 2011,90.52
5571,Meat,Jan 1 2012,89.21
5572,Meat,Jan 1 2013,93.64
5573,Meat,Jan 1 2014,95.41
5574,Meat,Jan 1 2015,101.41
5575,Meat,Jan 1 2016,103.18
5576,Meat,Jan 1 2017,111.95
5577,Meat,Jan 1 2018,106.91
5578,Meat,Jan 1 2019,110.05
5579,Milk,Jan 1 1991,3.9
5580,Milk,Jan 1 1992,3.94
5581,Milk,Jan 1 1993,3.63
5582,Milk,Jan 1 1994,4.53
5583,Milk,Jan 1 1995,6.3
