,symbol,date,price
6652,Cereals,Jan 1 1991,30.8
6653,Cereals,Jan 1 1992,31.11
6654,Cereals,Jan 1 1993,34.22
6655,Cereals,Jan 1 1994,42.31
6656,Cereals,Jan 1 1995,84.3
6657,Cereals,Jan 1 1996,74.83
6658,Cereals,Jan 1 1997,76.65
6659,Cereals,Jan 1 1998,86.12
6660,Cereals,Jan 1 2012,86.79
6661,Cereals,Jan 1 2013,95.82
6662,Cereals,Jan 1 2014,106.2
6663,Cereals,Jan 1 2015,94.04
6664,Cereals,Jan 1 2016,99.76
6665,Cereals,Jan 1 2017,105.12
6666,Cereals,Jan 1 2018,110.61
6667,Cereals,Jan 1 2019,118.42
6668,Citrus Fruit,Jan 1 2012,66.16
6669,Citrus Fruit,Jan 1 2013,95.82
6670,Citrus Fruit,Jan 1 2014,106.2
6671,Citrus Fruit,Jan 1 2015,94.04
6672,Citrus Fruit,Jan 1 2016,99.76
6673,Citrus Fruit,Jan 1 2017,105.12
6674,Citrus Fruit,Jan 1 2018,110.61
6675,Citrus Fruit,Jan 1 2019,120.0
6676,Coarse Grain,Jan 1 1991,30.8
6677,Coarse Grain,Jan 1 1992,31.11
6678,Coarse Grain,Jan 1 1993,34.22
6679,Coarse Grain,Jan 1 1994,42.31
6680,Coarse Grain,Jan 1 1995,84.3
6681,Coarse Grain,Jan 1 1996,74.83
6682,Coarse Grain,Jan 1 1997,76.65
6683,Coarse Grain,Jan 1 1998,86.12
6684,Coarse Grain,Jan 1 2012,85.87
6685,Coarse Grain,Jan 1 2013,95.82
6686,Coarse Grain,Jan 1 2014,106.2
6687,Coarse Grain,Jan 1 2015,94.04
6688,Coarse Grain,Jan 1 2016,99.76
6689,Coarse Grain,Jan 1 2017,105.12
6690,Coarse Grain,Jan 1 2018,110.61
6691,Coarse Grain,Jan 1 2019,118.43
6692,Fruit,Jan 1 2012,66.16
6693,Fruit,Jan 1 2013,95.82
6694,Fruit,Jan 1 2014,106.2
6695,Fruit,Jan 1 2015,94.04
6696,Fruit,Jan 1 2016,99.76
6697,Fruit,Jan 1 2017,105.12
6698,Fruit,Jan 1 2018,110.61
6699,Fruit,Jan 1 2019,120.0
6700,Roots and Tubers,Jan 1 2012,98.3
6701,Roots and Tubers,Jan 1 2013,95.82
6702,Roots and Tubers,Jan 1 2014,106.2
6703,Roots and Tubers,Jan 1 2015,94.04
6704,Roots and Tubers,Jan 1 2016,99.76
6705,Roots and Tubers,Jan 1 2017,105.12
6706,Roots and Tubers,Jan 1 2018,110.61
6707,Roots and Tubers,Jan 1 2019,118.94
