,symbol,date,price
7102,Cereals,Jan 1 1991,20.6
7103,Cereals,Jan 1 1992,21.87
7104,Cereals,Jan 1 1993,26.29
7105,Cereals,Jan 1 1994,39.32
7106,Cereals,Jan 1 1995,51.3
7107,Cereals,Jan 1 1996,89.15
7108,Cereals,Jan 1 1997,68.36
7109,Cereals,Jan 1 1998,65.04
7110,Cereals,Jan 1 1999,54.88
7111,Cereals,Jan 1 2000,83.69
7112,Cereals,Jan 1 2001,45.76
7113,Cereals,Jan 1 2002,43.27
7114,Cereals,Jan 1 2003,60.38
7115,Cereals,Jan 1 2004,70.02
7116,Cereals,Jan 1 2005,71.22
7117,Cereals,Jan 1 2006,78.73
7118,Cereals,Jan 1 2007,59.64
7119,Cereals,Jan 1 2008,63.85
7120,Cereals,Jan 1 2009,67.8
7121,Cereals,Jan 1 2010,72.09
7122,Cereals,Jan 1 2011,84.96
7123,Cereals,Jan 1 2012,93.95
7124,Cereals,Jan 1 2013,107.25
7125,Cereals,Jan 1 2014,100.1
7126,Cereals,Jan 1 2015,101.37
7127,Cereals,Jan 1 2016,98.52
7128,Cereals,Jan 1 2017,100.07
7129,Cereals,Jan 1 2018,102.48
7130,Cereals,Jan 1 2019,105.18
7131,Citrus Fruit,Jan 1 1991,43.41
7132,Citrus Fruit,Jan 1 1992,42.28
7133,Citrus Fruit,Jan 1 1993,37.45
7134,Citrus Fruit,Jan 1 1994,45.63
7135,Citrus Fruit,Jan 1 1995,46.9
7136,Citrus Fruit,Jan 1 1996,69.92
7137,Citrus Fruit,Jan 1 1997,40.66
7138,Citrus Fruit,Jan 1 1998,48.75
7139,Citrus Fruit,Jan 1 1999,61.82
7140,Citrus Fruit,Jan 1 2000,58.97
7141,Citrus Fruit,Jan 1 2001,57.8
7142,Citrus Fruit,Jan 1 2002,57.71
7143,Citrus Fruit,Jan 1 2003,52.34
7144,Citrus Fruit,Jan 1 2004,55.18
7145,Citrus Fruit,Jan 1 2005,55.22
7146,Citrus Fruit,Jan 1 2006,66.58
7147,Citrus Fruit,Jan 1 2007,64.39
7148,Citrus Fruit,Jan 1 2008,68.66
7149,Citrus Fruit,Jan 1 2009,70.65
7150,Citrus Fruit,Jan 1 2010,74.01
7151,Citrus Fruit,Jan 1 2011,101.59
7152,Citrus Fruit,Jan 1 2012,95.2
7153,Citrus Fruit,Jan 1 2013,112.81
7154,Citrus Fruit,Jan 1 2014,103.43
7155,Citrus Fruit,Jan 1 2015,96.64
7156,Citrus Fruit,Jan 1 2016,99.93
7157,Citrus Fruit,Jan 1 2017,99.49
7158,Citrus Fruit,Jan 1 2018,101.25
7159,Citrus Fruit,Jan 1 2019,196.21
7160,Coarse Grain,Jan 1 1991,17.88
7161,Coarse Grain,Jan 1 1992,19.61
7162,Coarse Grain,Jan 1 1993,23.47
7163,Coarse Grain,Jan 1 1994,35.24
7164,Coarse Grain,Jan 1 1995,49.58
7165,Coarse Grain,Jan 1 1996,87.76
7166,Coarse Grain,Jan 1 1997,71.82
7167,Coarse Grain,Jan 1 1998,63.56
7168,Coarse Grain,Jan 1 1999,50.4
7169,Coarse Grain,Jan 1 2000,137.37
7170,Coarse Grain,Jan 1 2001,53.15
7171,Coarse Grain,Jan 1 2002,49.68
7172,Coarse Grain,Jan 1 2003,72.51
7173,Coarse Grain,Jan 1 2004,64.97
7174,Coarse Grain,Jan 1 2005,64.6
7175,Coarse Grain,Jan 1 2006,83.42
7176,Coarse Grain,Jan 1 2007,61.91
7177,Coarse Grain,Jan 1 2008,64.04
7178,Coarse Grain,Jan 1 2009,69.87
7179,Coarse Grain,Jan 1 2010,77.74
7180,Coarse Grain,Jan 1 2011,86.59
7181,Coarse Grain,Jan 1 2012,101.31
7182,Coarse Grain,Jan 1 2013,126.47
7183,Coarse Grain,Jan 1 2014,113.67
7184,Coarse Grain,Jan 1 2015,112.75
7185,Coarse Grain,Jan 1 2016,73.58
7186,Coarse Grain,Jan 1 2017,103.46
7187,Coarse Grain,Jan 1 2018,110.26
7188,Coarse Grain,Jan 1 2019,118.2
7189,Fruit,Jan 1 1991,33.88
7190,Fruit,Jan 1 1992,40.65
7191,Fruit,Jan 1 1993,37.7
7192,Fruit,Jan 1 1994,45.25
7193,Fruit,Jan 1 1995,53.53
7194,Fruit,Jan 1 1996,78.16
