,symbol,date,price
8487,Cereals,Jan 1 1991,10.67
8488,Cereals,Jan 1 1992,11.86
8489,Cereals,Jan 1 1993,12.66
8490,Cereals,Jan 1 1994,13.68
8491,Cereals,Jan 1 1995,15.68
8492,Cereals,Jan 1 1996,18.37
8493,Cereals,Jan 1 1997,22.03
8494,Cereals,Jan 1 1998,24.11
8495,Cereals,Jan 1 1999,25.91
8496,Cereals,Jan 1 2000,27.78
8497,Cereals,Jan 1 2001,28.58
8498,Cereals,Jan 1 2002,29.98
8499,Cereals,Jan 1 2003,32.35
8500,Cereals,Jan 1 2004,38.95
8501,Cereals,Jan 1 2005,44.68
8502,Cereals,Jan 1 2006,52.07
8503,Cereals,Jan 1 2007,60.9
8504,Cereals,Jan 1 2008,84.79
8505,Cereals,Jan 1 2009,110.3
8506,Cereals,Jan 1 2010,110.34
8507,Cereals,Jan 1 2011,103.2
8508,Cereals,Jan 1 2012,103.12
8509,Cereals,Jan 1 2013,102.81
8510,Cereals,Jan 1 2014,103.12
8511,Cereals,Jan 1 2015,99.71
8512,Cereals,Jan 1 2016,97.16
8513,Cereals,Jan 1 2017,91.69
8514,Cereals,Jan 1 2018,92.27
8515,Cereals,Jan 1 2019,100.67
8516,Citrus Fruit,Jan 1 1991,22.99
8517,Citrus Fruit,Jan 1 1992,25.61
8518,Citrus Fruit,Jan 1 1993,27.59
8519,Citrus Fruit,Jan 1 1994,41.38
8520,Citrus Fruit,Jan 1 1995,48.28
8521,Citrus Fruit,Jan 1 1996,68.14
8522,Citrus Fruit,Jan 1 1997,21.53
8523,Citrus Fruit,Jan 1 1998,27.45
8524,Citrus Fruit,Jan 1 1999,26.38
8525,Citrus Fruit,Jan 1 2000,26.7
8526,Citrus Fruit,Jan 1 2001,26.23
8527,Citrus Fruit,Jan 1 2002,26.55
8528,Citrus Fruit,Jan 1 2003,26.35
8529,Citrus Fruit,Jan 1 2004,34.29
8530,Citrus Fruit,Jan 1 2005,42.3
8531,Citrus Fruit,Jan 1 2006,59.08
8532,Citrus Fruit,Jan 1 2007,68.24
8533,Citrus Fruit,Jan 1 2008,94.48
8534,Citrus Fruit,Jan 1 2009,108.71
8535,Citrus Fruit,Jan 1 2010,123.14
8536,Citrus Fruit,Jan 1 2011,117.35
8537,Citrus Fruit,Jan 1 2012,120.15
8538,Citrus Fruit,Jan 1 2013,86.35
8539,Citrus Fruit,Jan 1 2014,92.26
8540,Citrus Fruit,Jan 1 2015,99.12
8541,Citrus Fruit,Jan 1 2016,108.62
8542,Citrus Fruit,Jan 1 2017,109.38
8543,Citrus Fruit,Jan 1 2018,184.47
8544,Citrus Fruit,Jan 1 2019,248.62
8545,Coarse Grain,Jan 1 1991,7.78
8546,Coarse Grain,Jan 1 1992,8.6
8547,Coarse Grain,Jan 1 1993,8.65
8548,Coarse Grain,Jan 1 1994,10.86
8549,Coarse Grain,Jan 1 1995,10.9
8550,Coarse Grain,Jan 1 1996,15.81
8551,Coarse Grain,Jan 1 1997,21.86
8552,Coarse Grain,Jan 1 1998,19.5
8553,Coarse Grain,Jan 1 1999,21.42
8554,Coarse Grain,Jan 1 2000,24.33
8555,Coarse Grain,Jan 1 2001,24.84
8556,Coarse Grain,Jan 1 2002,24.66
8557,Coarse Grain,Jan 1 2003,26.02
8558,Coarse Grain,Jan 1 2004,30.86
8559,Coarse Grain,Jan 1 2005,33.52
8560,Coarse Grain,Jan 1 2006,41.89
8561,Coarse Grain,Jan 1 2007,64.27
8562,Coarse Grain,Jan 1 2008,67.6
8563,Coarse Grain,Jan 1 2009,71.86
8564,Coarse Grain,Jan 1 2010,72.8
8565,Coarse Grain,Jan 1 2011,82.41
8566,Coarse Grain,Jan 1 2012,80.52
8567,Coarse Grain,Jan 1 2013,73.09
8568,Coarse Grain,Jan 1 2014,80.53
8569,Coarse Grain,Jan 1 2015,126.61
8570,Coarse Grain,Jan 1 2016,92.86
8571,Coarse Grain,Jan 1 2017,74.97
8572,Coarse Grain,Jan 1 2018,79.87
8573,Coarse Grain,Jan 1 2019,75.08
8574,Fruit,Jan 1 1991,5.36
8575,Fruit,Jan 1 1992,7.01
8576,Fruit,Jan 1 1993,8.13
8577,Fruit,Jan 1 1994,9.5
8578,Fruit,Jan 1 1995,12.04
8579,Fruit,Jan 1 1996,13.65
8580,Fruit,Jan 1 1997,24.31
8581,Fruit,Jan 1 1998,33.02
8582,Fruit,Jan 1 1999,33.14
8583,Fruit,Jan 1 2000,31.96
8584,Fruit,Jan 1 2001,35.59
8585,Fruit,Jan 1 2002,45.78
8586,Fruit,Jan 1 2003,50.14
8587,Fruit,Jan 1 2004,53.85
