,symbol,date,price
10067,Cereals,Jan 1 1991,111.34
10068,Cereals,Jan 1 1992,115.04
10069,Cereals,Jan 1 1993,97.75
10070,Cereals,Jan 1 1994,91.62
10071,Cereals,Jan 1 1995,92.17
10072,Cereals,Jan 1 1996,88.75
10073,Cereals,Jan 1 1997,81.93
10074,Cereals,Jan 1 1998,77.06
10075,Cereals,Jan 1 1999,76.73
10076,Cereals,Jan 1 2000,80.63
10077,Cereals,Jan 1 2001,79.51
10078,Cereals,Jan 1 2002,70.96
10079,Cereals,Jan 1 2003,72.78
10080,Cereals,Jan 1 2004,78.69
10081,Cereals,Jan 1 2005,68.01
10082,Cereals,Jan 1 2006,73.31
10083,Cereals,Jan 1 2007,113.38
10084,Cereals,Jan 1 2008,128.64
10085,Cereals,Jan 1 2009,77.54
10086,Cereals,Jan 1 2010,88.12
10087,Cereals,Jan 1 2011,125.55
10088,Cereals,Jan 1 2012,138.61
10089,Cereals,Jan 1 2013,129.77
10090,Cereals,Jan 1 2014,104.74
10091,Cereals,Jan 1 2015,103.03
10092,Cereals,Jan 1 2016,92.23
10093,Cereals,Jan 1 2017,97.67
10094,Cereals,Jan 1 2018,112.59
10095,Cereals,Jan 1 2019,116.07
10096,Coarse Grain,Jan 1 1991,111.01
10097,Coarse Grain,Jan 1 1992,115.85
10098,Coarse Grain,Jan 1 1993,99.18
10099,Coarse Grain,Jan 1 1994,93.77
10100,Coarse Grain,Jan 1 1995,96.4
10101,Coarse Grain,Jan 1 1996,93.06
10102,Coarse Grain,Jan 1 1997,85.6
10103,Coarse Grain,Jan 1 1998,80.29
10104,Coarse Grain,Jan 1 1999,80.62
10105,Coarse Grain,Jan 1 2000,83.86
10106,Coarse Grain,Jan 1 2001,82.02
10107,Coarse Grain,Jan 1 2002,73.93
10108,Coarse Grain,Jan 1 2003,76.0
10109,Coarse Grain,Jan 1 2004,75.05
10110,Coarse Grain,Jan 1 2005,70.25
10111,Coarse Grain,Jan 1 2006,75.27
10112,Coarse Grain,Jan 1 2007,119.11
10113,Coarse Grain,Jan 1 2008,125.07
10114,Coarse Grain,Jan 1 2009,75.98
10115,Coarse Grain,Jan 1 2010,90.5
10116,Coarse Grain,Jan 1 2011,125.03
10117,Coarse Grain,Jan 1 2012,142.88
10118,Coarse Grain,Jan 1 2013,126.01
10119,Coarse Grain,Jan 1 2014,101.17
10120,Coarse Grain,Jan 1 2015,105.94
10121,Coarse Grain,Jan 1 2016,92.89
10122,Coarse Grain,Jan 1 2017,98.28
10123,Coarse Grain,Jan 1 2018,115.73
10124,Coarse Grain,Jan 1 2019,115.12
10125,Fruit,Jan 1 1991,110.92
10126,Fruit,Jan 1 1992,81.24
10127,Fruit,Jan 1 1993,66.33
10128,Fruit,Jan 1 1994,73.01
10129,Fruit,Jan 1 1995,84.08
10130,Fruit,Jan 1 1996,84.76
10131,Fruit,Jan 1 1997,96.04
10132,Fruit,Jan 1 1998,98.99
10133,Fruit,Jan 1 1999,92.5
10134,Fruit,Jan 1 2000,79.14
10135,Fruit,Jan 1 2001,92.81
10136,Fruit,Jan 1 2002,88.12
