,symbol,date,price
10299,Cereals,Jan 1 1991,57.53
10300,Cereals,Jan 1 1992,74.5
10301,Cereals,Jan 1 1993,62.34
10302,Cereals,Jan 1 1994,47.3
10303,Cereals,Jan 1 1995,47.6
10304,Cereals,Jan 1 1996,48.71
10305,Cereals,Jan 1 1997,52.99
10306,Cereals,Jan 1 1998,51.78
10307,Cereals,Jan 1 1999,53.15
10308,Cereals,Jan 1 2000,56.51
10309,Cereals,Jan 1 2001,53.52
10310,Cereals,Jan 1 2002,47.41
10311,Cereals,Jan 1 2003,59.4
10312,Cereals,Jan 1 2004,143.53
10313,Cereals,Jan 1 2005,135.99
10314,Cereals,Jan 1 2006,140.68
10315,Cereals,Jan 1 2007,279.33
10316,Cereals,Jan 1 2008,114.04
10317,Cereals,Jan 1 2009,119.59
10318,Cereals,Jan 1 2010,103.55
10319,Cereals,Jan 1 2011,106.2
10320,Cereals,Jan 1 2012,91.06
10321,Cereals,Jan 1 2013,102.87
10322,Cereals,Jan 1 2014,102.33
10323,Cereals,Jan 1 2015,89.49
10324,Cereals,Jan 1 2016,108.18
10325,Cereals,Jan 1 2017,110.7
10326,Cereals,Jan 1 2018,115.01
10327,Cereals,Jan 1 2019,124.23
10328,Citrus Fruit,Jan 1 1991,15.5
10329,Citrus Fruit,Jan 1 1992,16.26
10330,Citrus Fruit,Jan 1 1993,16.16
10331,Citrus Fruit,Jan 1 1994,23.95
10332,Citrus Fruit,Jan 1 1995,19.97
10333,Citrus Fruit,Jan 1 1996,22.35
10334,Citrus Fruit,Jan 1 1997,22.06
10335,Citrus Fruit,Jan 1 1998,22.04
10336,Citrus Fruit,Jan 1 1999,32.61
10337,Citrus Fruit,Jan 1 2000,27.54
10338,Citrus Fruit,Jan 1 2001,29.95
10339,Citrus Fruit,Jan 1 2002,25.83
10340,Citrus Fruit,Jan 1 2003,19.62
10341,Citrus Fruit,Jan 1 2004,28.44
10342,Citrus Fruit,Jan 1 2005,36.97
10343,Citrus Fruit,Jan 1 2006,28.81
10344,Citrus Fruit,Jan 1 2007,40.28
10345,Citrus Fruit,Jan 1 2008,68.18
10346,Citrus Fruit,Jan 1 2009,48.56
10347,Citrus Fruit,Jan 1 2010,71.59
10348,Citrus Fruit,Jan 1 2011,57.99
10349,Citrus Fruit,Jan 1 2012,75.83
10350,Citrus Fruit,Jan 1 2013,80.6
10351,Citrus Fruit,Jan 1 2014,91.58
10352,Citrus Fruit,Jan 1 2015,93.45
10353,Citrus Fruit,Jan 1 2016,114.97
10354,Citrus Fruit,Jan 1 2017,210.0
10355,Citrus Fruit,Jan 1 2018,185.83
10356,Citrus Fruit,Jan 1 2019,233.64
10357,Coarse Grain,Jan 1 1991,15.6
10358,Coarse Grain,Jan 1 1992,15.93
10359,Coarse Grain,Jan 1 1993,16.98
10360,Coarse Grain,Jan 1 1994,23.08
10361,Coarse Grain,Jan 1 1995,17.56
10362,Coarse Grain,Jan 1 1996,19.61
10363,Coarse Grain,Jan 1 1997,20.54
10364,Coarse Grain,Jan 1 1998,19.31
10365,Coarse Grain,Jan 1 1999,18.61
10366,Coarse Grain,Jan 1 2000,21.71
10367,Coarse Grain,Jan 1 2001,21.49
10368,Coarse Grain,Jan 1 2002,22.92
10369,Coarse Grain,Jan 1 2003,34.16
10370,Coarse Grain,Jan 1 2004,54.19
10371,Coarse Grain,Jan 1 2005,49.07
10372,Coarse Grain,Jan 1 2006,61.99
10373,Coarse Grain,Jan 1 2007,51.79
10374,Coarse Grain,Jan 1 2008,87.67
10375,Coarse Grain,Jan 1 2009,75.8
10376,Coarse Grain,Jan 1 2010,78.88
10377,Coarse Grain,Jan 1 2011,86.46
10378,Coarse Grain,Jan 1 2012,89.71
10379,Coarse Grain,Jan 1 2013,92.66
10380,Coarse Grain,Jan 1 2014,92.79
10381,Coarse Grain,Jan 1 2015,107.69
10382,Coarse Grain,Jan 1 2016,99.52
10383,Coarse Grain,Jan 1 2017,105.79
10384,Coarse Grain,Jan 1 2018,112.93
10385,Coarse Grain,Jan 1 2019,122.26
10386,Fruit,Jan 1 1991,14.62
10387,Fruit,Jan 1 1992,15.81
10388,Fruit,Jan 1 1993,15.19
10389,Fruit,Jan 1 1994,17.47
10390,Fruit,Jan 1 1995,21.05
10391,Fruit,Jan 1 1996,18.58
10392,Fruit,Jan 1 1997,24.03
