,symbol,date,price
11430,Fruit,Jan 1 1991,10.05
11431,Fruit,Jan 1 1992,10.05
11432,Fruit,Jan 1 1993,16.36
11433,Fruit,Jan 1 1994,17.73
11434,Fruit,Jan 1 1995,20.64
11435,Fruit,Jan 1 1996,25.0
11436,Fruit,Jan 1 1997,23.88
11437,Fruit,Jan 1 1998,23.37
11438,Fruit,Jan 1 1999,25.79
11439,Fruit,Jan 1 2000,28.52
11440,Fruit,Jan 1 2001,36.21
11441,Fruit,Jan 1 2002,37.2
11442,Fruit,Jan 1 2003,37.52
11443,Fruit,Jan 1 2004,48.39
11444,Fruit,Jan 1 2005,70.09
11445,Fruit,Jan 1 2006,80.55
11446,Fruit,Jan 1 2007,88.52
11447,Fruit,Jan 1 2008,110.26
11448,Fruit,Jan 1 2009,108.87
11449,Fruit,Jan 1 2010,99.94
11450,Fruit,Jan 1 2011,116.28
11451,Fruit,Jan 1 2012,113.1
11452,Fruit,Jan 1 2013,116.1
11453,Fruit,Jan 1 2014,116.51
11454,Fruit,Jan 1 2015,92.24
11455,Fruit,Jan 1 2016,91.26
11456,Fruit,Jan 1 2017,92.55
11457,Fruit,Jan 1 2018,98.43
11458,Fruit,Jan 1 2019,100.16
11459,Meat,Jan 1 1991,26.53
11460,Meat,Jan 1 1992,26.53
11461,Meat,Jan 1 1993,40.46
11462,Meat,Jan 1 1994,43.7
11463,Meat,Jan 1 1995,47.13
11464,Meat,Jan 1 1996,48.16
11465,Meat,Jan 1 1997,51.54
11466,Meat,Jan 1 1998,53.75
11467,Meat,Jan 1 1999,53.75
11468,Meat,Jan 1 2000,49.82
11469,Meat,Jan 1 2001,56.59
11470,Meat,Jan 1 2002,57.24
11471,Meat,Jan 1 2003,59.57
11472,Meat,Jan 1 2004,59.11
11473,Meat,Jan 1 2005,60.43
11474,Meat,Jan 1 2006,72.34
11475,Meat,Jan 1 2007,76.64
11476,Meat,Jan 1 2008,79.34
11477,Meat,Jan 1 2009,83.93
11478,Meat,Jan 1 2010,99.94
11479,Meat,Jan 1 2011,116.28
11480,Meat,Jan 1 2012,113.1
11481,Meat,Jan 1 2013,116.1
11482,Meat,Jan 1 2014,116.51
11483,Meat,Jan 1 2015,92.24
11484,Meat,Jan 1 2016,91.26
11485,Meat,Jan 1 2017,92.55
11486,Meat,Jan 1 2018,98.43
11487,Meat,Jan 1 2019,100.21
11488,Roots and Tubers,Jan 1 1991,17.56
11489,Roots and Tubers,Jan 1 1992,17.56
11490,Roots and Tubers,Jan 1 1993,22.47
11491,Roots and Tubers,Jan 1 1994,22.82
11492,Roots and Tubers,Jan 1 1995,28.09
11493,Roots and Tubers,Jan 1 1996,35.11
11494,Roots and Tubers,Jan 1 1997,31.6
11495,Roots and Tubers,Jan 1 1998,35.11
11496,Roots and Tubers,Jan 1 1999,35.11
11497,Roots and Tubers,Jan 1 2000,28.09
11498,Roots and Tubers,Jan 1 2001,35.11
11499,Roots and Tubers,Jan 1 2002,36.89
11500,Roots and Tubers,Jan 1 2003,37.52
11501,Roots and Tubers,Jan 1 2004,48.39
11502,Roots and Tubers,Jan 1 2005,70.09
11503,Roots and Tubers,Jan 1 2006,80.55
11504,Roots and Tubers,Jan 1 2007,88.52
11505,Roots and Tubers,Jan 1 2008,110.26
11506,Roots and Tubers,Jan 1 2009,108.87
11507,Roots and Tubers,Jan 1 2010,99.94
11508,Roots and Tubers,Jan 1 2011,116.28
11509,Roots and Tubers,Jan 1 2012,113.1
11510,Roots and Tubers,Jan 1 2013,116.1
11511,Roots and Tubers,Jan 1 2014,116.51
11512,Roots and Tubers,Jan 1 2015,92.24
11513,Roots and Tubers,Jan 1 2016,91.26
11514,Roots and Tubers,Jan 1 2017,92.55
11515,Roots and Tubers,Jan 1 2018,98.43
11516,Roots and Tubers,Jan 1 2019,100.16
