,symbol,date,price
11733,Cereals,Jan 1 1992,47.99
11734,Cereals,Jan 1 1993,44.82
11735,Cereals,Jan 1 1994,44.13
11736,Cereals,Jan 1 1995,47.29
11737,Cereals,Jan 1 1996,71.49
11738,Cereals,Jan 1 1997,69.07
11739,Cereals,Jan 1 1998,48.43
11740,Cereals,Jan 1 1999,41.34
11741,Cereals,Jan 1 2000,64.88
11742,Cereals,Jan 1 2001,60.93
11743,Cereals,Jan 1 2002,64.11
11744,Cereals,Jan 1 2003,68.58
11745,Cereals,Jan 1 2004,72.81
11746,Cereals,Jan 1 2005,65.39
11747,Cereals,Jan 1 2006,88.85
11748,Cereals,Jan 1 2007,135.04
11749,Cereals,Jan 1 2008,68.3
11750,Cereals,Jan 1 2009,67.82
11751,Cereals,Jan 1 2010,121.96
11752,Cereals,Jan 1 2011,123.29
11753,Cereals,Jan 1 2012,155.67
11754,Cereals,Jan 1 2013,113.19
11755,Cereals,Jan 1 2014,104.94
11756,Cereals,Jan 1 2015,102.27
11757,Cereals,Jan 1 2016,92.8
11758,Cereals,Jan 1 2017,96.36
11759,Cereals,Jan 1 2018,116.14
11760,Cereals,Jan 1 2019,120.24
11761,Coarse Grain,Jan 1 1992,34.19
11762,Coarse Grain,Jan 1 1993,39.63
11763,Coarse Grain,Jan 1 1994,39.05
11764,Coarse Grain,Jan 1 1995,39.9
11765,Coarse Grain,Jan 1 1996,68.38
11766,Coarse Grain,Jan 1 1997,63.38
11767,Coarse Grain,Jan 1 1998,46.78
11768,Coarse Grain,Jan 1 1999,40.41
11769,Coarse Grain,Jan 1 2000,63.01
11770,Coarse Grain,Jan 1 2001,56.55
11771,Coarse Grain,Jan 1 2002,60.75
11772,Coarse Grain,Jan 1 2003,66.37
11773,Coarse Grain,Jan 1 2004,74.5
11774,Coarse Grain,Jan 1 2005,67.04
11775,Coarse Grain,Jan 1 2006,91.77
11776,Coarse Grain,Jan 1 2007,132.73
11777,Coarse Grain,Jan 1 2008,63.1
11778,Coarse Grain,Jan 1 2009,62.73
11779,Coarse Grain,Jan 1 2010,117.39
11780,Coarse Grain,Jan 1 2011,133.75
11781,Coarse Grain,Jan 1 2012,154.86
11782,Coarse Grain,Jan 1 2013,107.62
11783,Coarse Grain,Jan 1 2014,104.47
11784,Coarse Grain,Jan 1 2015,104.19
11785,Coarse Grain,Jan 1 2016,91.34
11786,Coarse Grain,Jan 1 2017,97.02
11787,Coarse Grain,Jan 1 2018,119.8
11788,Coarse Grain,Jan 1 2019,123.36
11789,Fruit,Jan 1 1992,8.4
11790,Fruit,Jan 1 1993,13.28
11791,Fruit,Jan 1 1994,4.88
11792,Fruit,Jan 1 1995,28.83
11793,Fruit,Jan 1 1996,61.75
11794,Fruit,Jan 1 1997,42.06
11795,Fruit,Jan 1 1998,69.12
11796,Fruit,Jan 1 1999,35.57
11797,Fruit,Jan 1 2000,24.75
11798,Fruit,Jan 1 2001,26.08
11799,Fruit,Jan 1 2002,35.09
11800,Fruit,Jan 1 2003,43.52
11801,Fruit,Jan 1 2004,54.98
11802,Fruit,Jan 1 2005,47.09
11803,Fruit,Jan 1 2006,61.34
11804,Fruit,Jan 1 2007,55.45
11805,Fruit,Jan 1 2008,63.3
11806,Fruit,Jan 1 2009,60.46
11807,Fruit,Jan 1 2010,74.79
11808,Fruit,Jan 1 2011,76.95
11809,Fruit,Jan 1 2012,69.72
11810,Fruit,Jan 1 2013,80.73
11811,Fruit,Jan 1 2014,95.06
11812,Fruit,Jan 1 2015,102.69
11813,Fruit,Jan 1 2016,102.26
11814,Fruit,Jan 1 2017,101.54
11815,Fruit,Jan 1 2018,135.85
11816,Fruit,Jan 1 2019,103.85
