,symbol,date,price
13210,Cereals,Jan 1 1994,46.5
13211,Cereals,Jan 1 1995,86.42
13212,Cereals,Jan 1 1996,96.32
13213,Cereals,Jan 1 1997,100.69
13214,Cereals,Jan 1 1998,95.53
13215,Cereals,Jan 1 1999,108.43
13216,Cereals,Jan 1 2000,105.06
13217,Cereals,Jan 1 2001,99.69
13218,Cereals,Jan 1 2002,101.08
13219,Cereals,Jan 1 2003,110.41
13220,Cereals,Jan 1 2004,107.7
13221,Cereals,Jan 1 2005,79.89
13222,Cereals,Jan 1 2006,76.24
13223,Cereals,Jan 1 2007,97.39
13224,Cereals,Jan 1 2008,88.8
13225,Cereals,Jan 1 2009,108.47
13226,Cereals,Jan 1 2010,111.86
13227,Cereals,Jan 1 2011,116.41
13228,Cereals,Jan 1 2012,101.38
13229,Cereals,Jan 1 2013,97.15
13230,Cereals,Jan 1 2014,103.85
13231,Cereals,Jan 1 2015,100.85
13232,Cereals,Jan 1 2016,95.31
13233,Cereals,Jan 1 2017,99.63
13234,Cereals,Jan 1 2018,96.68
13235,Cereals,Jan 1 2019,115.43
13236,Citrus Fruit,Jan 1 1994,69.44
13237,Citrus Fruit,Jan 1 1995,89.19
13238,Citrus Fruit,Jan 1 1996,74.93
13239,Citrus Fruit,Jan 1 1997,67.9
13240,Citrus Fruit,Jan 1 1998,71.4
13241,Citrus Fruit,Jan 1 1999,48.76
13242,Citrus Fruit,Jan 1 2000,50.41
13243,Citrus Fruit,Jan 1 2001,49.91
13244,Citrus Fruit,Jan 1 2002,49.03
13245,Citrus Fruit,Jan 1 2003,52.39
13246,Citrus Fruit,Jan 1 2004,62.02
13247,Citrus Fruit,Jan 1 2005,62.39
13248,Citrus Fruit,Jan 1 2006,64.73
13249,Citrus Fruit,Jan 1 2007,62.11
13250,Citrus Fruit,Jan 1 2008,97.32
13251,Citrus Fruit,Jan 1 2009,61.02
13252,Citrus Fruit,Jan 1 2010,83.96
13253,Citrus Fruit,Jan 1 2011,100.68
13254,Citrus Fruit,Jan 1 2012,109.58
13255,Citrus Fruit,Jan 1 2013,116.04
13256,Citrus Fruit,Jan 1 2014,114.42
13257,Citrus Fruit,Jan 1 2015,92.66
13258,Citrus Fruit,Jan 1 2016,92.92
13259,Citrus Fruit,Jan 1 2017,90.3
13260,Citrus Fruit,Jan 1 2018,92.96
13261,Citrus Fruit,Jan 1 2019,90.59
13262,Coarse Grain,Jan 1 1994,40.87
13263,Coarse Grain,Jan 1 1995,74.67
13264,Coarse Grain,Jan 1 1996,89.29
13265,Coarse Grain,Jan 1 1997,91.41
13266,Coarse Grain,Jan 1 1998,86.8
13267,Coarse Grain,Jan 1 1999,98.3
13268,Coarse Grain,Jan 1 2000,94.97
13269,Coarse Grain,Jan 1 2001,90.09
13270,Coarse Grain,Jan 1 2002,91.38
13271,Coarse Grain,Jan 1 2003,99.82
13272,Coarse Grain,Jan 1 2004,92.63
13273,Coarse Grain,Jan 1 2005,85.41
13274,Coarse Grain,Jan 1 2006,78.19
13275,Coarse Grain,Jan 1 2007,105.21
13276,Coarse Grain,Jan 1 2008,88.42
13277,Coarse Grain,Jan 1 2009,115.64
13278,Coarse Grain,Jan 1 2010,111.38
13279,Coarse Grain,Jan 1 2011,117.94
13280,Coarse Grain,Jan 1 2012,99.25
13281,Coarse Grain,Jan 1 2013,94.68
13282,Coarse Grain,Jan 1 2014,100.88
13283,Coarse Grain,Jan 1 2015,102.15
13284,Coarse Grain,Jan 1 2016,96.96
13285,Coarse Grain,Jan 1 2017,100.93
13286,Coarse Grain,Jan 1 2018,95.78
13287,Coarse Grain,Jan 1 2019,115.69
13288,Fruit,Jan 1 1994,49.23
13289,Fruit,Jan 1 1995,74.04
13290,Fruit,Jan 1 1996,67.24
13291,Fruit,Jan 1 1997,63.71
13292,Fruit,Jan 1 1998,61.64
13293,Fruit,Jan 1 1999,72.62
13294,Fruit,Jan 1 2000,63.27
13295,Fruit,Jan 1 2001,64.45
13296,Fruit,Jan 1 2002,62.8
13297,Fruit,Jan 1 2003,68.35
13298,Fruit,Jan 1 2004,70.38
13299,Fruit,Jan 1 2005,67.18
13300,Fruit,Jan 1 2006,69.53
13301,Fruit,Jan 1 2007,52.33
13302,Fruit,Jan 1 2008,73.73
13303,Fruit,Jan 1 2009,61.18
13304,Fruit,Jan 1 2010,83.03
13305,Fruit,Jan 1 2011,85.28
13306,Fruit,Jan 1 2012,98.99
13307,Fruit,Jan 1 2013,102.1
13308,Fruit,Jan 1 2014,115.4
13309,Fruit,Jan 1 2015,91.51
13310,Fruit,Jan 1 2016,93.09
13311,Fruit,Jan 1 2017,107.71
13312,Fruit,Jan 1 2018,105.81
13313,Fruit,Jan 1 2019,117.01
13314,Meat,Jan 1 1994,23.83
13315,Meat,Jan 1 1995,40.85
13316,Meat,Jan 1 1996,37.41
13317,Meat,Jan 1 1997,38.37
13318,Meat,Jan 1 1998,39.01
13319,Meat,Jan 1 1999,43.8
13320,Meat,Jan 1 2000,42.89
13321,Meat,Jan 1 2001,38.9
13322,Meat,Jan 1 2002,50.94
13323,Meat,Jan 1 2003,54.44
13324,Meat,Jan 1 2004,53.58
13325,Meat,Jan 1 2005,70.9
13326,Meat,Jan 1 2006,63.55
13327,Meat,Jan 1 2007,69.78
13328,Meat,Jan 1 2008,73.13
13329,Meat,Jan 1 2009,79.57
13330,Meat,Jan 1 2010,70.16
13331,Meat,Jan 1 2011,107.07
13332,Meat,Jan 1 2012,113.59
13333,Meat,Jan 1 2013,108.98
13334,Meat,Jan 1 2014,97.52
13335,Meat,Jan 1 2015,101.39
13336,Meat,Jan 1 2016,101.09
13337,Meat,Jan 1 2017,112.13
13338,Meat,Jan 1 2018,129.48
13339,Meat,Jan 1 2019,139.25
13340,Milk,Jan 1 1994,75.56
13341,Milk,Jan 1 1995,119.33
13342,Milk,Jan 1 1996,97.4
13343,Milk,Jan 1 1997,95.41
13344,Milk,Jan 1 1998,91.56
13345,Milk,Jan 1 1999,85.81
13346,Milk,Jan 1 2000,91.57
13347,Milk,Jan 1 2001,94.45
13348,Milk,Jan 1 2002,99.27
13349,Milk,Jan 1 2003,101.19
13350,Milk,Jan 1 2004,106.36
13351,Milk,Jan 1 2005,65.52
13352,Milk,Jan 1 2006,62.55
13353,Milk,Jan 1 2007,75.33
13354,Milk,Jan 1 2008,66.9
