,symbol,date,price
14311,Cereals,Jan 1 1993,58.3
14312,Cereals,Jan 1 1994,58.3
14313,Cereals,Jan 1 1995,60.02
14314,Cereals,Jan 1 1996,60.02
14315,Cereals,Jan 1 1997,60.02
14316,Cereals,Jan 1 1998,60.02
14317,Cereals,Jan 1 2010,75.61
14318,Cereals,Jan 1 2011,113.41
14319,Cereals,Jan 1 2012,75.61
14320,Cereals,Jan 1 2013,75.61
14321,Cereals,Jan 1 2014,122.08
14322,Cereals,Jan 1 2015,94.51
14323,Cereals,Jan 1 2016,83.41
14324,Cereals,Jan 1 2017,75.54
14325,Cereals,Jan 1 2018,90.65
14326,Cereals,Jan 1 2019,91.96
14327,Citrus Fruit,Jan 1 2010,97.04
14328,Citrus Fruit,Jan 1 2011,121.98
14329,Citrus Fruit,Jan 1 2012,97.04
14330,Citrus Fruit,Jan 1 2013,97.04
14331,Citrus Fruit,Jan 1 2014,91.37
14332,Citrus Fruit,Jan 1 2015,112.19
14333,Citrus Fruit,Jan 1 2016,96.44
14334,Citrus Fruit,Jan 1 2017,78.07
14335,Citrus Fruit,Jan 1 2018,94.29
14336,Citrus Fruit,Jan 1 2019,107.08
14337,Coarse Grain,Jan 1 1993,58.3
14338,Coarse Grain,Jan 1 1994,58.3
14339,Coarse Grain,Jan 1 1995,60.02
14340,Coarse Grain,Jan 1 1996,60.02
14341,Coarse Grain,Jan 1 1997,60.02
14342,Coarse Grain,Jan 1 1998,60.02
14343,Coarse Grain,Jan 1 2010,75.61
14344,Coarse Grain,Jan 1 2011,113.41
14345,Coarse Grain,Jan 1 2012,75.61
14346,Coarse Grain,Jan 1 2013,75.61
14347,Coarse Grain,Jan 1 2014,122.08
14348,Coarse Grain,Jan 1 2015,94.51
14349,Coarse Grain,Jan 1 2016,83.41
14350,Coarse Grain,Jan 1 2017,75.54
14351,Coarse Grain,Jan 1 2018,90.65
14352,Coarse Grain,Jan 1 2019,91.96
14353,Fruit,Jan 1 2010,63.99
14354,Fruit,Jan 1 2011,58.93
14355,Fruit,Jan 1 2012,63.99
14356,Fruit,Jan 1 2013,63.99
14357,Fruit,Jan 1 2014,97.57
14358,Fruit,Jan 1 2015,91.79
14359,Fruit,Jan 1 2016,110.46
14360,Fruit,Jan 1 2017,84.59
14361,Fruit,Jan 1 2018,93.25
14362,Fruit,Jan 1 2019,58.33
14363,Meat,Jan 1 2010,85.59
14364,Meat,Jan 1 2011,85.59
14365,Meat,Jan 1 2012,85.59
14366,Meat,Jan 1 2013,88.44
14367,Meat,Jan 1 2014,88.44
14368,Meat,Jan 1 2015,102.47
14369,Meat,Jan 1 2016,109.09
14370,Meat,Jan 1 2017,102.15
14371,Meat,Jan 1 2018,88.78
14372,Meat,Jan 1 2019,98.62
14373,Pulses,Jan 1 2010,97.43
14374,Pulses,Jan 1 2011,97.9
14375,Pulses,Jan 1 2012,97.9
14376,Pulses,Jan 1 2013,97.43
14377,Pulses,Jan 1 2014,98.93
14378,Pulses,Jan 1 2015,100.61
14379,Pulses,Jan 1 2016,100.46
14380,Pulses,Jan 1 2017,101.21
14381,Pulses,Jan 1 2018,100.65
14382,Pulses,Jan 1 2019,101.3
14383,Roots and Tubers,Jan 1 1993,62.26
14384,Roots and Tubers,Jan 1 1994,64.41
14385,Roots and Tubers,Jan 1 1995,66.56
14386,Roots and Tubers,Jan 1 1996,66.56
14387,Roots and Tubers,Jan 1 1997,66.56
14388,Roots and Tubers,Jan 1 1998,66.56
14389,Roots and Tubers,Jan 1 2010,76.02
14390,Roots and Tubers,Jan 1 2011,66.63
14391,Roots and Tubers,Jan 1 2012,76.02
14392,Roots and Tubers,Jan 1 2013,76.02
14393,Roots and Tubers,Jan 1 2014,96.32
14394,Roots and Tubers,Jan 1 2015,103.6
14395,Roots and Tubers,Jan 1 2016,100.07
14396,Roots and Tubers,Jan 1 2017,104.62
14397,Roots and Tubers,Jan 1 2018,106.27
14398,Roots and Tubers,Jan 1 2019,103.02
14399,Vegetables,Jan 1 2010,94.82
14400,Vegetables,Jan 1 2011,86.73
14401,Vegetables,Jan 1 2012,94.82
14402,Vegetables,Jan 1 2013,94.82
14403,Vegetables,Jan 1 2014,93.27
14404,Vegetables,Jan 1 2015,108.68
14405,Vegetables,Jan 1 2016,98.05
14406,Vegetables,Jan 1 2017,106.41
14407,Vegetables,Jan 1 2018,99.97
14408,Vegetables,Jan 1 2019,102.25
