,symbol,date,price
14409,Cereals,Jan 1 1991,13.45
14410,Cereals,Jan 1 1992,13.76
14411,Cereals,Jan 1 1993,13.13
14412,Cereals,Jan 1 1994,16.53
14413,Cereals,Jan 1 1995,20.37
14414,Cereals,Jan 1 1996,23.91
14415,Cereals,Jan 1 1997,22.99
14416,Cereals,Jan 1 1998,24.9
14417,Cereals,Jan 1 1999,38.62
14418,Cereals,Jan 1 2000,47.39
14419,Cereals,Jan 1 2001,41.22
14420,Cereals,Jan 1 2002,52.16
14421,Cereals,Jan 1 2003,58.5
14422,Cereals,Jan 1 2004,37.15
14423,Cereals,Jan 1 2005,54.54
14424,Cereals,Jan 1 2006,71.89
14425,Cereals,Jan 1 2007,94.84
14426,Cereals,Jan 1 2008,95.76
14427,Cereals,Jan 1 2009,100.96
14428,Cereals,Jan 1 2010,92.54
14429,Cereals,Jan 1 2011,74.45
14430,Cereals,Jan 1 2012,85.7
14431,Cereals,Jan 1 2013,93.34
14432,Cereals,Jan 1 2014,94.64
14433,Cereals,Jan 1 2015,95.05
14434,Cereals,Jan 1 2016,110.31
14435,Cereals,Jan 1 2017,100.96
14436,Cereals,Jan 1 2018,120.94
14437,Cereals,Jan 1 2019,136.44
14438,Citrus Fruit,Jan 1 1991,115.41
14439,Citrus Fruit,Jan 1 1992,120.53
14440,Citrus Fruit,Jan 1 1993,137.58
14441,Citrus Fruit,Jan 1 1994,137.58
14442,Citrus Fruit,Jan 1 1995,137.58
14443,Citrus Fruit,Jan 1 1996,137.58
14444,Citrus Fruit,Jan 1 1997,139.31
14445,Citrus Fruit,Jan 1 1998,150.92
14446,Citrus Fruit,Jan 1 1999,133.99
14447,Citrus Fruit,Jan 1 2000,113.37
14448,Citrus Fruit,Jan 1 2001,102.71
14449,Citrus Fruit,Jan 1 2002,97.32
14450,Citrus Fruit,Jan 1 2003,68.43
14451,Citrus Fruit,Jan 1 2004,78.48
14452,Citrus Fruit,Jan 1 2005,59.81
14453,Citrus Fruit,Jan 1 2006,66.0
14454,Citrus Fruit,Jan 1 2007,104.13
14455,Citrus Fruit,Jan 1 2008,105.14
14456,Citrus Fruit,Jan 1 2009,110.85
14457,Citrus Fruit,Jan 1 2010,101.61
14458,Citrus Fruit,Jan 1 2011,81.75
14459,Citrus Fruit,Jan 1 2012,94.1
14460,Citrus Fruit,Jan 1 2013,102.49
14461,Citrus Fruit,Jan 1 2014,103.91
14462,Citrus Fruit,Jan 1 2015,104.36
14463,Citrus Fruit,Jan 1 2016,91.72
14464,Citrus Fruit,Jan 1 2017,101.82
14465,Citrus Fruit,Jan 1 2018,107.25
14466,Citrus Fruit,Jan 1 2019,114.19
