,symbol,date,price
15235,Cereals,Jan 1 1991,14.43
15236,Cereals,Jan 1 1992,16.11
15237,Cereals,Jan 1 1993,22.56
15238,Cereals,Jan 1 1994,22.37
15239,Cereals,Jan 1 1995,27.5
15240,Cereals,Jan 1 1996,50.99
15241,Cereals,Jan 1 1997,41.89
15242,Cereals,Jan 1 1998,34.92
15243,Cereals,Jan 1 1999,40.79
15244,Cereals,Jan 1 2000,61.51
15245,Cereals,Jan 1 2001,49.69
15246,Cereals,Jan 1 2002,51.47
15247,Cereals,Jan 1 2003,68.81
15248,Cereals,Jan 1 2004,54.64
15249,Cereals,Jan 1 2005,49.85
15250,Cereals,Jan 1 2006,60.43
15251,Cereals,Jan 1 2007,102.39
15252,Cereals,Jan 1 2008,79.23
15253,Cereals,Jan 1 2009,67.56
15254,Cereals,Jan 1 2010,86.31
15255,Cereals,Jan 1 2011,115.43
15256,Cereals,Jan 1 2012,134.29
15257,Cereals,Jan 1 2013,111.8
15258,Cereals,Jan 1 2014,102.53
15259,Cereals,Jan 1 2015,103.5
15260,Cereals,Jan 1 2016,93.99
15261,Cereals,Jan 1 2017,99.43
15262,Cereals,Jan 1 2018,108.74
15263,Cereals,Jan 1 2019,107.81
15264,Coarse Grain,Jan 1 1991,15.77
15265,Coarse Grain,Jan 1 1992,16.77
15266,Coarse Grain,Jan 1 1993,23.68
15267,Coarse Grain,Jan 1 1994,23.46
15268,Coarse Grain,Jan 1 1995,29.5
15269,Coarse Grain,Jan 1 1996,49.73
15270,Coarse Grain,Jan 1 1997,39.83
15271,Coarse Grain,Jan 1 1998,35.34
15272,Coarse Grain,Jan 1 1999,39.15
15273,Coarse Grain,Jan 1 2000,61.82
15274,Coarse Grain,Jan 1 2001,49.3
15275,Coarse Grain,Jan 1 2002,52.29
15276,Coarse Grain,Jan 1 2003,70.31
15277,Coarse Grain,Jan 1 2004,56.54
15278,Coarse Grain,Jan 1 2005,52.69
15279,Coarse Grain,Jan 1 2006,62.01
15280,Coarse Grain,Jan 1 2007,106.16
15281,Coarse Grain,Jan 1 2008,74.3
15282,Coarse Grain,Jan 1 2009,68.69
15283,Coarse Grain,Jan 1 2010,86.48
15284,Coarse Grain,Jan 1 2011,117.4
15285,Coarse Grain,Jan 1 2012,135.47
15286,Coarse Grain,Jan 1 2013,115.95
15287,Coarse Grain,Jan 1 2014,100.59
15288,Coarse Grain,Jan 1 2015,101.76
15289,Coarse Grain,Jan 1 2016,97.65
15290,Coarse Grain,Jan 1 2017,101.57
15291,Coarse Grain,Jan 1 2018,109.55
15292,Coarse Grain,Jan 1 2019,105.94
15293,Fruit,Jan 1 1991,16.43
15294,Fruit,Jan 1 1992,14.55
15295,Fruit,Jan 1 1993,14.56
15296,Fruit,Jan 1 1994,15.43
15297,Fruit,Jan 1 1995,26.57
15298,Fruit,Jan 1 1996,27.93
15299,Fruit,Jan 1 1997,30.72
15300,Fruit,Jan 1 1998,32.83
15301,Fruit,Jan 1 1999,32.53
15302,Fruit,Jan 1 2000,38.72
15303,Fruit,Jan 1 2001,29.28
15304,Fruit,Jan 1 2002,31.62
15305,Fruit,Jan 1 2003,40.9
15306,Fruit,Jan 1 2004,30.53
15307,Fruit,Jan 1 2005,39.06
15308,Fruit,Jan 1 2006,44.99
15309,Fruit,Jan 1 2007,87.68
15310,Fruit,Jan 1 2008,60.16
15311,Fruit,Jan 1 2009,52.18
15312,Fruit,Jan 1 2010,79.28
15313,Fruit,Jan 1 2011,80.7
15314,Fruit,Jan 1 2012,96.09
15315,Fruit,Jan 1 2013,81.48
15316,Fruit,Jan 1 2014,45.96
15317,Fruit,Jan 1 2015,95.69
15318,Fruit,Jan 1 2016,158.35
15319,Fruit,Jan 1 2017,181.68
15320,Fruit,Jan 1 2018,75.6
15321,Fruit,Jan 1 2019,107.9
15322,Meat,Jan 1 1991,18.64
15323,Meat,Jan 1 1992,21.51
15324,Meat,Jan 1 1993,25.49
15325,Meat,Jan 1 1994,32.77
15326,Meat,Jan 1 1995,42.19
15327,Meat,Jan 1 1996,47.81
15328,Meat,Jan 1 1997,57.14
15329,Meat,Jan 1 1998,58.88
15330,Meat,Jan 1 1999,52.95
15331,Meat,Jan 1 2000,60.08
15332,Meat,Jan 1 2001,77.43
15333,Meat,Jan 1 2002,67.53
15334,Meat,Jan 1 2003,60.76
15335,Meat,Jan 1 2004,67.24
15336,Meat,Jan 1 2005,67.38
15337,Meat,Jan 1 2006,70.15
15338,Meat,Jan 1 2007,70.45
15339,Meat,Jan 1 2008,82.42
15340,Meat,Jan 1 2009,80.81
15341,Meat,Jan 1 2010,78.96
15342,Meat,Jan 1 2011,91.48
15343,Meat,Jan 1 2012,102.21
15344,Meat,Jan 1 2013,105.67
15345,Meat,Jan 1 2014,105.6
15346,Meat,Jan 1 2015,98.71
15347,Meat,Jan 1 2016,98.22
15348,Meat,Jan 1 2017,112.94
15349,Meat,Jan 1 2018,119.39
15350,Meat,Jan 1 2019,132.76
15351,Milk,Jan 1 1991,15.93
15352,Milk,Jan 1 1992,17.92
15353,Milk,Jan 1 1993,21.89
15354,Milk,Jan 1 1994,27.8
15355,Milk,Jan 1 1995,33.69
15356,Milk,Jan 1 1996,39.3
15357,Milk,Jan 1 1997,50.16
15358,Milk,Jan 1 1998,63.25
15359,Milk,Jan 1 1999,67.69
15360,Milk,Jan 1 2000,71.78
15361,Milk,Jan 1 2001,78.05
15362,Milk,Jan 1 2002,82.3
15363,Milk,Jan 1 2003,81.37
15364,Milk,Jan 1 2004,71.67
15365,Milk,Jan 1 2005,73.23
15366,Milk,Jan 1 2006,72.74
15367,Milk,Jan 1 2007,82.79
15368,Milk,Jan 1 2008,93.99
15369,Milk,Jan 1 2009,69.81
15370,Milk,Jan 1 2010,81.87
15371,Milk,Jan 1 2011,99.66
15372,Milk,Jan 1 2012,100.28
