,symbol,date,price
19613,Cereals,Jan 1 1991,20.77
19614,Cereals,Jan 1 1992,47.85
19615,Cereals,Jan 1 1993,57.5
19616,Cereals,Jan 1 1994,66.83
19617,Cereals,Jan 1 1995,79.18
19618,Cereals,Jan 1 1996,80.69
19619,Cereals,Jan 1 1997,82.61
19620,Cereals,Jan 1 1998,66.37
19621,Cereals,Jan 1 1999,68.11
19622,Cereals,Jan 1 2000,80.31
19623,Cereals,Jan 1 2001,80.12
19624,Cereals,Jan 1 2002,76.73
19625,Cereals,Jan 1 2003,62.21
19626,Cereals,Jan 1 2004,69.82
19627,Cereals,Jan 1 2005,75.17
19628,Cereals,Jan 1 2006,86.72
19629,Cereals,Jan 1 2007,89.63
19630,Cereals,Jan 1 2008,98.04
19631,Cereals,Jan 1 2009,103.69
19632,Cereals,Jan 1 2010,90.17
19633,Cereals,Jan 1 2011,101.51
19634,Cereals,Jan 1 2012,114.63
19635,Cereals,Jan 1 2013,112.86
19636,Cereals,Jan 1 2014,110.82
19637,Cereals,Jan 1 2015,71.43
19638,Cereals,Jan 1 2016,116.22
19639,Cereals,Jan 1 2017,112.02
19640,Cereals,Jan 1 2018,109.24
19641,Cereals,Jan 1 2019,112.11
19642,Citrus Fruit,Jan 1 1991,96.65
19643,Citrus Fruit,Jan 1 1992,59.96
19644,Citrus Fruit,Jan 1 1993,57.59
19645,Citrus Fruit,Jan 1 1994,48.18
19646,Citrus Fruit,Jan 1 1995,53.54
19647,Citrus Fruit,Jan 1 1996,62.73
19648,Citrus Fruit,Jan 1 1997,47.45
19649,Citrus Fruit,Jan 1 1998,46.78
19650,Citrus Fruit,Jan 1 1999,41.85
19651,Citrus Fruit,Jan 1 2000,35.88
19652,Citrus Fruit,Jan 1 2001,37.08
19653,Citrus Fruit,Jan 1 2002,50.62
19654,Citrus Fruit,Jan 1 2003,45.07
19655,Citrus Fruit,Jan 1 2004,42.23
19656,Citrus Fruit,Jan 1 2005,40.7
19657,Citrus Fruit,Jan 1 2006,46.77
19658,Citrus Fruit,Jan 1 2007,58.87
19659,Citrus Fruit,Jan 1 2008,69.36
19660,Citrus Fruit,Jan 1 2009,62.99
19661,Citrus Fruit,Jan 1 2010,59.9
19662,Citrus Fruit,Jan 1 2011,49.08
19663,Citrus Fruit,Jan 1 2012,65.19
19664,Citrus Fruit,Jan 1 2013,70.49
19665,Citrus Fruit,Jan 1 2014,76.04
19666,Citrus Fruit,Jan 1 2015,95.5
19667,Citrus Fruit,Jan 1 2016,128.46
19668,Citrus Fruit,Jan 1 2017,115.46
19669,Citrus Fruit,Jan 1 2018,116.8
19670,Citrus Fruit,Jan 1 2019,111.85
19671,Coarse Grain,Jan 1 1991,52.66
19672,Coarse Grain,Jan 1 1992,67.34
19673,Coarse Grain,Jan 1 1993,73.38
19674,Coarse Grain,Jan 1 1994,67.4
19675,Coarse Grain,Jan 1 1995,82.24
19676,Coarse Grain,Jan 1 1996,69.85
19677,Coarse Grain,Jan 1 1997,75.64
19678,Coarse Grain,Jan 1 1998,45.02
19679,Coarse Grain,Jan 1 1999,45.87
19680,Coarse Grain,Jan 1 2000,61.48
19681,Coarse Grain,Jan 1 2001,65.31
19682,Coarse Grain,Jan 1 2002,64.94
19683,Coarse Grain,Jan 1 2003,55.98
19684,Coarse Grain,Jan 1 2004,62.66
19685,Coarse Grain,Jan 1 2005,69.82
19686,Coarse Grain,Jan 1 2006,80.49
19687,Coarse Grain,Jan 1 2007,79.24
19688,Coarse Grain,Jan 1 2008,81.93
19689,Coarse Grain,Jan 1 2009,86.64
19690,Coarse Grain,Jan 1 2010,66.44
19691,Coarse Grain,Jan 1 2011,101.77
19692,Coarse Grain,Jan 1 2012,110.31
19693,Coarse Grain,Jan 1 2013,101.28
19694,Coarse Grain,Jan 1 2014,90.87
19695,Coarse Grain,Jan 1 2015,82.91
19696,Coarse Grain,Jan 1 2016,118.43
19697,Coarse Grain,Jan 1 2017,96.95
19698,Coarse Grain,Jan 1 2018,82.76
19699,Coarse Grain,Jan 1 2019,97.23
19700,Fruit,Jan 1 1991,34.41
19701,Fruit,Jan 1 1992,35.61
19702,Fruit,Jan 1 1993,40.77
19703,Fruit,Jan 1 1994,42.3
19704,Fruit,Jan 1 1995,54.14
19705,Fruit,Jan 1 1996,57.84
19706,Fruit,Jan 1 1997,34.62
19707,Fruit,Jan 1 1998,34.53
19708,Fruit,Jan 1 1999,32.32
19709,Fruit,Jan 1 2000,32.66
19710,Fruit,Jan 1 2001,35.22
19711,Fruit,Jan 1 2002,42.28
19712,Fruit,Jan 1 2003,40.22
19713,Fruit,Jan 1 2004,40.84
19714,Fruit,Jan 1 2005,40.13
19715,Fruit,Jan 1 2006,48.53
19716,Fruit,Jan 1 2007,56.48
19717,Fruit,Jan 1 2008,65.19
19718,Fruit,Jan 1 2009,66.08
19719,Fruit,Jan 1 2010,62.24
19720,Fruit,Jan 1 2011,50.47
19721,Fruit,Jan 1 2012,56.07
19722,Fruit,Jan 1 2013,63.46
19723,Fruit,Jan 1 2014,78.69
19724,Fruit,Jan 1 2015,95.23
