,symbol,date,price
20831,Cereals,Jan 1 1991,34.43
20832,Cereals,Jan 1 1992,34.02
20833,Cereals,Jan 1 1993,33.62
20834,Cereals,Jan 1 1994,33.63
20835,Cereals,Jan 1 1995,39.97
20836,Cereals,Jan 1 1996,41.21
20837,Cereals,Jan 1 1997,43.76
20838,Cereals,Jan 1 1998,51.35
20839,Cereals,Jan 1 1999,46.26
20840,Cereals,Jan 1 2000,45.06
20841,Cereals,Jan 1 2001,55.15
20842,Cereals,Jan 1 2002,57.73
20843,Cereals,Jan 1 2003,60.22
20844,Cereals,Jan 1 2004,50.16
20845,Cereals,Jan 1 2005,51.77
20846,Cereals,Jan 1 2006,54.2
20847,Cereals,Jan 1 2007,54.25
20848,Cereals,Jan 1 2008,62.59
20849,Cereals,Jan 1 2009,62.7
20850,Cereals,Jan 1 2010,62.7
20851,Cereals,Jan 1 2011,62.8
20852,Cereals,Jan 1 2012,62.91
20853,Cereals,Jan 1 2013,62.91
20854,Cereals,Jan 1 2014,99.89
20855,Cereals,Jan 1 2015,100.0
20856,Cereals,Jan 1 2016,100.11
20857,Cereals,Jan 1 2017,100.11
20858,Cereals,Jan 1 2018,100.11
20859,Cereals,Jan 1 2019,102.53
20860,Citrus Fruit,Jan 1 1991,61.08
20861,Citrus Fruit,Jan 1 1992,65.72
20862,Citrus Fruit,Jan 1 1993,74.17
20863,Citrus Fruit,Jan 1 1994,39.71
20864,Citrus Fruit,Jan 1 1995,75.8
20865,Citrus Fruit,Jan 1 1996,79.48
20866,Citrus Fruit,Jan 1 1997,73.85
20867,Citrus Fruit,Jan 1 1998,87.19
20868,Citrus Fruit,Jan 1 1999,93.87
20869,Citrus Fruit,Jan 1 2000,88.28
20870,Citrus Fruit,Jan 1 2001,83.94
20871,Citrus Fruit,Jan 1 2002,81.48
20872,Citrus Fruit,Jan 1 2003,82.65
20873,Citrus Fruit,Jan 1 2004,89.1
20874,Citrus Fruit,Jan 1 2005,89.89
20875,Citrus Fruit,Jan 1 2006,98.99
20876,Citrus Fruit,Jan 1 2007,98.01
20877,Citrus Fruit,Jan 1 2008,121.94
20878,Citrus Fruit,Jan 1 2009,125.79
20879,Citrus Fruit,Jan 1 2010,116.25
20880,Citrus Fruit,Jan 1 2011,125.7
20881,Citrus Fruit,Jan 1 2012,139.88
20882,Citrus Fruit,Jan 1 2013,136.64
20883,Citrus Fruit,Jan 1 2014,98.78
20884,Citrus Fruit,Jan 1 2015,180.82
20885,Citrus Fruit,Jan 1 2016,148.76
20886,Citrus Fruit,Jan 1 2017,150.96
20887,Citrus Fruit,Jan 1 2018,149.89
20888,Citrus Fruit,Jan 1 2019,103.24
20889,Coarse Grain,Jan 1 1991,53.36
20890,Coarse Grain,Jan 1 1992,53.67
20891,Coarse Grain,Jan 1 1993,54.44
20892,Coarse Grain,Jan 1 1994,55.36
20893,Coarse Grain,Jan 1 1995,55.82
20894,Coarse Grain,Jan 1 1996,56.44
20895,Coarse Grain,Jan 1 1997,56.59
20896,Coarse Grain,Jan 1 1998,58.9
20897,Coarse Grain,Jan 1 1999,58.9
20898,Coarse Grain,Jan 1 2000,61.82
20899,Coarse Grain,Jan 1 2001,59.98
20900,Coarse Grain,Jan 1 2002,62.28
20901,Coarse Grain,Jan 1 2003,64.44
20902,Coarse Grain,Jan 1 2004,61.92
20903,Coarse Grain,Jan 1 2005,59.41
20904,Coarse Grain,Jan 1 2006,56.9
20905,Coarse Grain,Jan 1 2007,59.98
20906,Coarse Grain,Jan 1 2008,69.2
20907,Coarse Grain,Jan 1 2009,76.89
20908,Coarse Grain,Jan 1 2010,76.89
20909,Coarse Grain,Jan 1 2011,84.58
20910,Coarse Grain,Jan 1 2012,92.27
20911,Coarse Grain,Jan 1 2013,92.27
20912,Coarse Grain,Jan 1 2014,92.27
20913,Coarse Grain,Jan 1 2015,99.96
20914,Coarse Grain,Jan 1 2016,107.77
20915,Coarse Grain,Jan 1 2017,108.22
20916,Coarse Grain,Jan 1 2018,107.81
20917,Coarse Grain,Jan 1 2019,111.55
20918,Fruit,Jan 1 1991,34.92
20919,Fruit,Jan 1 1992,36.82
20920,Fruit,Jan 1 1993,39.48
20921,Fruit,Jan 1 1994,34.77
20922,Fruit,Jan 1 1995,32.48
20923,Fruit,Jan 1 1996,39.68
20924,Fruit,Jan 1 1997,53.7
20925,Fruit,Jan 1 1998,61.68
20926,Fruit,Jan 1 1999,54.29
20927,Fruit,Jan 1 2000,57.66
20928,Fruit,Jan 1 2001,50.22
20929,Fruit,Jan 1 2002,43.87
20930,Fruit,Jan 1 2003,52.42
20931,Fruit,Jan 1 2004,50.44
20932,Fruit,Jan 1 2005,55.1
20933,Fruit,Jan 1 2006,52.31
20934,Fruit,Jan 1 2007,58.49
20935,Fruit,Jan 1 2008,74.3
20936,Fruit,Jan 1 2009,82.74
20937,Fruit,Jan 1 2010,75.63
20938,Fruit,Jan 1 2011,73.59
20939,Fruit,Jan 1 2012,76.28
20940,Fruit,Jan 1 2013,79.7
20941,Fruit,Jan 1 2014,91.22
20942,Fruit,Jan 1 2015,103.22
20943,Fruit,Jan 1 2016,111.76
20944,Fruit,Jan 1 2017,105.39
20945,Fruit,Jan 1 2018,112.03
20946,Fruit,Jan 1 2019,111.3
20947,Meat,Jan 1 1991,44.8
20948,Meat,Jan 1 1992,43.18
20949,Meat,Jan 1 1993,53.56
